perjury	kiapo cha uwongo
permanence	umilele
permanent	-a daima
permanent	dawama
permanently	maalum
permanently	maalumu
permeate	-rishai
permissible	halali
permission	idhini
permission	idhini
permission	idhini
permission	kibali
permission	ruhsa
permission	ruhsa
permission	ruhusa
permission	ruhusa
permission	rukhsa
permission	rukhsa
permission	ukubali
permission	vibali
permit	-acha
permit	-ata
permit	-halalisha
permit	-hulu
permit	-idhini
permit	-ruhsa
permit	-ruhusa
permit	-rukhsa
permit	-sabili
permit	cheti
permit	idhini
permit	idhini
permit	laisensi
permit	leseni
permit	lesensi
permit	vyeti
pernicious	harabu
pernicious	haribifu
perpetual	daima
perpetuity	umilele
perplex	-bumbuaza
perplex	-tata
perplex	-tatanisha
perplex	-tatiza
perplex	-vungavunga
perplex	-zonga
perplexity	duku duku
perplexity	dukuduku
perplexity	fadhaa
perplexity	fadhaa
perplexity	furufuru
perplexity	furufuru
perplexity	gamu
perplexity	kibuhuti
perplexity	magamu
perplexity	matata
perplexity	uzuzu
perplexity	vibuhuti
perplexity	wasiwasi
perplexity	zulizuli
persecute	-onea
persecute	-pa adhabu
persecute	-patisha adhabu
persecute	-tesa
persecute	-tia adhabu
persecution	adhabu
persecution	adhabu
persecution	fukuzano
persecution	mafukuzano
persecution	maoneo
persecution	maonevu
persecution	masumbulio
persecution	mateso
persecution	oneo
persecution	sumbulio
persecution	teso
persecution	utesaji
persecution	utesi
persecutor	mtesaji
persecutor	watesaji
perseverance	udumu
perseverance	ulabibu
perseverance	ushupavu
perseverance	ustahimili
perseverance	ustahimilivu
perseverance	uvumilivu
persevere	-dumu
persevere	-stahimili
persevere	-vumilia
persist	-chacharika
persist	-chachatika
persist	-dumu
persist	-kaza
persist	-ng'ang'ania
persist	-stahimili
persistence	hima
persistence	imara
persistence	uvumilivu
persistency	ulabibu
persistent	-imarika
persistent	ng'ang'anivu
persistent	stahimilivu
persistently	-a hima
persistently	mtawalia
persistently	mtawalio
person	isimu
person	mja
person	mwanaadamu
person	waja
person	wanaadamu
personal	a pekee
personal	binafsi
personality	haiba
personality	haiba
personality	heba
personality	heba
personality	nafsi
personality	roho
personality	roho
personality	ubinafsi
personality	utu
personality	utu
personally	binafsi
personally	kinaganaga
personally	kwa nafsi yangu
perspicacity	nadhari
perspicacity	ufahamfu
perspicacity	ufahami
perspicacity	ufahamivu
perspicacity	utambuzi
perspiration	fukuto
perspiration	gugumu
perspiration	jasho
perspiration	kutuzi
perspiration	kutuzi
perspiration	mafukuto
perspiration	majasho
perspire	-toka jasho
persuade	-bembeleza
persuade	-bembeleza
persuade	-dodofya
persuade	-hidi
persuade	-nyenya
persuade	-pembeja
persuade	-shaushi
persuade	-shawishi
persuade	-shindua maneno
persuasion	mashawishi
persuasion	shaushi
persuasion	shawishi
persuasion	shonga
persuasion	shonga
persuasion	ushawishi
persuasive	-a kubembeleza
pertinacity	ulabibu
pertinacity	ustahimili
pertinacity	ustahimilivu
perversion	upotoe
perversion	upotovu
perversity	upotoe
pervert	-pevua
pervert	-popotoa
pervert	-pota
pervert	-potoa
pervert	-potosha
pester	-bemba
pester	-chagiza
pester	-ng'ang'ania
pestilence	kipukusa
pestilence	maradhi
pestilence	marazi
pestilence	vipukusa
pestilence	waba
pet	bembeleza
pet	kipenzi
pet	moyo
pet	vipenzi
petition	-haja
petition	-nasisi
petition	-sihi
petition	dua
petition	dua
petition	mahitaji
petition	maombezi
petition	maombi
petition	maombi
petition	maombo
petition	maomvi
petition	nasaha
petition	nasaha
petition	omba
petition	ujumbe
petition	uombezi
petition	uombi
petition	utashi
petrol	petroli
pettiness	choyo
petulant	tukutu
phantom	kizuka
phantom	njozi
