wafuachuma	16-2842-B
wafumi	170-2565-B
wafunga	12-122-B
wafungaji magoli	66-42-B
wafungwa	119-254-B
waghafala	142-2933-B
wahadi	5-810-B,105-434-B,120-841-B,169-688-B
wahaini	44-1345-B,83-1819-B
wahakiki	37-1991-B
wahalifu	90-1756-B
wahamaji	54-1667-B,103-2731-B,161-2427-B,167-1548-B
wahamiaji	80-2589-B
wahamiji	103-2746-B,113-1709-B,167-1565-B
wahandisi	55-1486-B
waharabu	167-2191-B
wahed	106-1202-B
wahedi	106-1212-B
wahedu	106-1322-B,145-2477-B
waheshimiwa	78-1482-B
wahi	57-1500-B,124-2064-B
wahisani	15-2283-B
wahka	8-824-B,62-579-B,173-1922-B
wahodhi	77-1542-B,100-2463-B
wahoji	86-886-B
wahojiwa	86-847-B
wahudumu	99-279-B,139-1424-B,169-1197-B
wahujumu	134-1957-B
wahuni	107-3203-B,167-1371-B,170-442-B
wahunzi	16-2864-B,98-1415-B
waiga	35-874-B
waima	107-3056-B
waimbajia wa kanisa	27-519-B
waja	112-1986-B
wajadili	40-2085-B,106-2871-B
wajamaa	145-1706-B
wajanja	26-864-B
wajasusi	148-1364-B,161-2347-B
wajasusu	148-1377-B,161-2364-B
wajengaji	20-2581-B
wajeuri	165-170-B
wajibisha	31-233-B,66-605-B,105-36-B
wajibu	105-452-B,130-1821-B,130-1843-B,156-2962-B
wajihi	8-1898-B,8-2185-B,60-291-B,60-1776-B,66-2569-B,72-1949-B,86-755-B,97-2475-B,125-1474-B,135-833-B,154-2841-B,168-3015-B
wajivuni	17-2761-B,141-2660-B
wajoli	31-2879-B
wajuaji	135-0-B
wajume	55-1577-B,74-283-B
waka	17-526-B,21-973-B,70-1978-B,141-246-B
wakaa	83-2200-B,91-1469-B,106-2535-B,129-2946-B,160-974-B,160-985-B
wakaaji	149-2583-B
wakaazi	83-2217-B,129-2961-B
wakabidhi	3-1922-B,73-1926-B,99-1030-B,163-2966-B
wakaguzi	12-138-B,84-2219-B,131-1274-B
wakakamavu	144-2149-B
wakala	4-1606-B,4-1620-B,4-1765-B,8-2913-B,121-2970-B,128-2335-B
wakale	6-2923-B,7-0-B,66-929-B
wakarimu	78-2570-B
wakata	17-2778-B,19-457-B
wakati	25-825-B,100-2081-B,106-2553-B,111-3032-B,137-2204-B
wakati wa	171-1415-B
wakatili	4-2008-B
wakazi	52-1517-B,83-2236-B,105-2565-B,129-2978-B
wake	76-1796-B,77-1144-B
wakef	33-2087-B
wakes	169-1292-B
wakf	33-2106-B,67-592-B
wakfu	33-2124-B,33-2143-B,67-608-B,67-625-B
wakia	107-3072-B
wakifia	57-229-B,57-824-B
