ukabaila	62-2539-B,81-1134-B,120-539-B
ukabidhi	53-322-B
ukabidhu	53-339-B,159-2260-B
ukabila	27-2294-B,57-530-B,57-548-B,102-1330-B,123-2661-B,162-3158-B
ukadiri	8-2974-B,22-570-B,31-2733-B,57-329-B,57-346-B,57-881-B,88-635-B,100-771-B,139-2515-B,157-2288-B
ukadirifu	8-2992-B,10-2638-B,22-590-B,31-2753-B,57-365-B,57-900-B,88-653-B,100-790-B,139-2534-B,157-2307-B
ukafiri	17-418-B,83-879-B,134-2179-B,165-427-B
ukafu	52-487-B,65-1146-B,68-368-B,79-1713-B,81-2456-B,172-2297-B
ukago	121-1596-B
ukaguzi	57-2925-B,84-2142-B
ukahaba	121-783-B
ukaidi	48-1829-B,105-1472-B,125-857-B,152-1405-B
ukaimu	4-1752-B,44-0-B,128-2594-B,153-674-B
ukakamavu	38-2216-B,40-2712-B,162-1523-B
ukakasi	72-2884-B
ukakaya	60-250-B,102-1079-B,124-723-B
ukali	2-2501-B,12-254-B,16-2428-B,19-1346-B,38-509-B,40-589-B,63-249-B,68-2724-B,75-824-B,85-1867-B,110-344-B,139-2870-B,146-1677-B,151-1719-B,151-2352-B,157-2193-B,165-78-B
ukalifu	2-2515-B,12-270-B,16-2445-B,19-1360-B,38-523-B,40-602-B,68-2735-B,75-840-B,85-1883-B,110-358-B,139-2885-B,146-1692-B,151-1734-B,151-2369-B,157-2211-B,158-203-B,165-92-B
ukalimani	86-184-B
ukambaa	35-1523-B,133-523-B
ukambi	97-1023-B
ukame	13-2543-B,44-1303-B,51-2696-B,172-748-B
ukamili	2-1148-B,31-1815-B,34-203-B,68-1065-B,111-2129-B,166-72-B
ukamilifu	2-1171-B,31-1836-B,34-224-B,68-1043-B,111-2148-B,111-2169-B,166-86-B
ukamio	60-403-B,159-1990-B
ukanda	15-1752-B,70-1432-B,156-2535-B,159-1187-B
ukandamizwaji	154-2635-B
ukando	6-324-B,10-1604-B,21-2430-B,35-1964-B,53-716-B,142-950-B
ukano	43-1809-B,143-362-B,143-374-B,158-27-B,158-40-B
ukao	93-1195-B
ukapitalisti	23-164-B
ukarabati	126-2984-B,128-954-B
ukarani	28-1683-B,137-2783-B
ukarimu	15-2303-B,25-2495-B,69-2473-B,78-2683-B,78-2703-B,91-2751-B
ukashifu	41-2558-B,91-2671-B,91-2686-B,144-56-B,144-73-B
ukasisi	118-2750-B
ukata	116-2785-B,119-421-B
ukatavu	1-77-B,105-1489-B,128-1151-B,153-3015-B
ukatazaji	43-1822-B,54-844-B,120-272-B,126-1677-B
ukatibu	28-1697-B,137-2801-B
ukatili	11-1662-B,17-1493-B,38-539-B,47-2796-B,96-1766-B,107-362-B
ukavu	52-501-B,79-1725-B,81-2472-B,172-2307-B
ukawa	42-2728-B,90-1083-B,116-2038-B
ukawiaji	42-2740-B,90-1098-B,116-2057-B
ukawio	42-2755-B,90-1116-B,116-2079-B
ukazi	77-2614-B,129-2869-B
uke	62-1792-B,167-1411-B,173-314-B
ukelele	38-1281-B
ukemi	22-913-B,38-1293-B,141-2313-B
ukengee	17-26-B,146-2841-B,154-117-B
ukengefu	8-1375-B,44-1362-B,45-2266-B,48-1261-B
uketo	1-2799-B,25-2826-B,43-3111-B
ukhiana	162-1543-B
uki	78-647-B
ukilia	122-1917-B
ukimwa	100-2687-B,153-2998-B
ukinaifu	10-520-B,31-898-B,31-3366-B,34-1273-B,82-2303-B,118-1530-B,135-2167-B,138-2250-B
ukindani	34-2413-B,104-2883-B,105-1507-B,106-2792-B,121-1885-B,127-114-B
ukingo	18-1424-B,20-666-B,39-274-B,42-370-B,53-728-B,96-593-B,121-1613-B,137-710-B,140-2418-B
ukinzani	130-150-B
