impartiality	maadili
impatience	matutuo
impatience	shauku
impatience	shauku
impatience	tutuo
impatient	-epesi
impede	-shindisha
impede	-shindiza
impede	-taaradhi
impede	-taaradhia
impede	-viza
impediment	inda
impediment	inda
impediment	kwazo
impediment	makwazo
impediment	mikingamo
impediment	mkingamo
impediment	pingamizi
impediment	pingamizi
impel	-choma
impel	-chonjomoa
impel	-elemea
impel	-gofyagofya
impel	-himia
impel	-lemea
impenetrable	-zito
imperfect	pungufu
imperfection	dosari
imperfection	dosari
imperfection	dosari
imperialism	istiimari
imperialism	ubeberu
imperialist	beberu
imperialist	bepari
imperialist	mabeberu
imperialist	mabepari
imperialistic	kibeberu
imperil	-hatarisha
impertinence	ujuvi
impertinent	kijuvi
impetus	mapinduli
impetus	pinduli
implement	chombo
implement	samani
implement	samani
implement	vyombo
implore	-bembeleza
implore	-nasihi
implore	-ng'ang'ania
implore	-omba
implore	-omboleza
implore	-rongaronga
implore	-sihi
implore	-sujudu
import	-ingiliza
import	-ingiza
importance	karama
importance	makubwa
importance	nguvu
importance	nguvu
importance	takaramu
importance	takaramu
importance	takarimu
importance	ukabaila
importance	ukubwa
importance	umuhimu
important	-kubwa
important	-kuu
important	adhimu
important	aula
important	kikabaila
important	maalum
important	maarufu
important	mashuhuri
important	muhimu
important	tangulifu
important	tukufu
importantly	adhimu
importation	kuingiza
importation	uingizaji
importing	kuingiza
importunate	ng'ang'anivu
importunity	gubu
importunity	kero
importunity	kero
importunity	utashi
impose	-dukisa
impose	-toza
impossibility	mhali
impossibility	muhali
impossibility	umhali
impossible	hayamkini
impossible	hayumkini
impossible	muhali
impossible	nyangalika
imposture	udanganyifu
imposture	ulaghai
imposture	uragai
impotence	uzimbezimbe
impotent	siofaa
impoverishment	ganjo
impoverishment	maganjo
impoverishment	upotevu
impracticability	mhali
impracticability	muhali
impracticability	umhali
imprecation	laana
imprecation	lana
impress	-kandamiza
impression	chapa
impression	maono
impression	ono
imprison	-funga
imprison	-nyara
imprisonment	rimende
imprisonment	rimende
imprisonment	rumande
imprisonment	rumande
imprisonment	rumenda
imprisonment	rumenda
improve	-dubu
improve	-inukia
improve	-nafuu
improve	-ongoa
improve	-pona
improve	-selehi
improve	-suluhi
improve	-suluhu
improvement	nafuu
improvement	ujambo
impudence	ufedhuli
impudence	ufidhuli
impudence	ufyozi
impudence	ujuvi
impudence	ukafu
impudence	ukavu
impudence	unyeti
impudence	usafihi
impudent	-juvi
impudent	chagina
impudent	fidhulika
impudent	kavu
impudent	kijuvi
impudent	tundu
impulse	mchocheo
impulse	michocheo
impulse	usukumizi
impure	najisi
imputation	mashitaka
imputation	mashitakiano
imputation	mashtaka
imputation	mashtakiano
in	bi
in	fi
in	katika
in	katika
in	mnamo
in	ndani
in-law	mkwe
in-law	wakwe
inactive	-jikalia
inactive	goigoi
inactivity	ugoigoi
inactivity	ulitima
inactivity	ultima
inactivity	uritima
inadequacy	mapunguo
inadequacy	punguo
inadequacy	uhaba
inadequacy	uhafifu
inadequacy	upunguaji
inadequate	adimu
inane	chege
inattentive	sahaulifu
inattentiveness	ulegeo
inattentiveness	ulegevu
inattentiveness	upurukushaji
inattentiveness	upurukushani
inattentiveness	upurukusho
inaugurate	-aenzi
inaugurate	-enzi
inaugurate	-ezi
inaugurate	-tawalisha
inaugurate	-tawaza
inaugurate	-zindua
incantation	dua
incendiarism	uchomaji
incense	buhuri
incense	fukizo
incense	mafukizo
incense	ubani
incense	uvumba
incentive	kishawishi
incentive	vishawishi
inception	awali
inception	awali
inception	uanzishaji
incessantly	dabal moja
incessantly	moto mmoja
inch	inchi
