higad sang suba	34-289-S
higadssang dalan	34-348-B
higante	17-1215-B
higayon	27-3418-B
higdaan	3-389-B
higko	3-2153-B,3-2476-B,10-2122-B,15-1046-B
higkoan	37-2062-B
higtan	3-1646-B,39-1585-B
higugmaanay	34-935-B
higugmaon	1-1262-B,2-335-B
higut	22-1981-B,39-1599-B
higutssa balikawang	17-1357-B
hikay	33-3126-B
hikayan	10-2913-B,20-105-B,33-3141-B
hikut	46-870-B
hilabtan	8-3188-B
hilam osan	22-1324-B
hilamnan	22-1474-B
hilamon	17-3080-B
hilant	15-265-B
hilaw	32-2055-B,43-2463-B
hilikuton	44-2449-B,44-2485-S
hilikutonssa kamut	24-1224-B
hililayoan	23-1380-B
hilo	30-2682-B,41-1580-B,44-873-B
hiloan	30-2694-B
hilway	16-1976-B,20-1540-B,20-3314-S,34-2453-B
hilwayon	22-2981-B
hilwayssa	19-3187-B
himalaut	44-1530-B
himalus	44-696-B
himaya	17-1905-B
himpit	29-2715-B
himud osan	13-911-B
himulagon	35-2946-B,38-714-B
himulongon	26-594-B
himuslan	14-1865-B
himutad	38-2237-B
himutaran	27-348-B
himutigon	9-2194-B,33-205-B
hinablussnga babae	26-2969-B
hinablussnga lakaki	26-2469-B
hinakay	14-3227-B,29-701-B,33-41-B
hinakayan	2-12-S,22-687-S,22-1927-B
hinakayanssa malawig nga panhon	22-1943-B
hinali	25-240-B,39-3034-B,46-2108-B
hinambal	10-1176-B,43-3595-B
hinambitan	24-3383-B
hinantalan	30-766-B,38-1504-B
hinay	17-1032-S
hinay hinay	17-1032-B
hinayhinay	37-1008-B
hinayon	19-3251-S
hingabot	23-2835-B
hingabuton	33-2996-B
hingalanan	26-1342-B
hingalitan	14-1882-B
hingalitanssudlon	13-804-B
hinganiban	45-1036-B
hingapinan	14-241-B
hingapusan	29-2676-B
hingapusansng amba	40-1402-B
hingudtohon	16-748-B,27-58-B
hinguyang	14-1587-B
hinguyangon	10-1080-B
hinigugma	3-866-B,8-3265-B,23-2384-B
hinikutanssa kamut	24-1049-B
hinimbonan	7-1751-B
hinimulatan	7-2115-B
hinugang	14-2173-B
hinugasan	45-468-B
hinuptansnga mga hayup	23-1185-B
hipiron	11-2997-B
hisayran	21-3206-B
hisugtan	13-1266-B
hita	22-2304-B,23-312-B,41-1293-B
hitabo	13-3317-B,42-920-S
hiwa sang karne sang baka	38-2841-S
hiwaon	37-722-B
hiwatan	7-1097-B,15-188-B
hiyas	17-739-B,21-2118-B
hombero	15-1432-B
hornal	46-911-B
