public school	eskwelaspubliko
publication	bantalaan
publication	publikasyon
publish	ibalita
publish	ibantala
puff	burhotan
puff	paburhotan
pugilist	boksingero
pugnacious	maawayon
pulchritude	katahuman
pull	batak
pull	batakon
pull	butong
pull	butongon
pulley	muton
pulse	bayo-bayo
pulse	pulso
pulverize	dugmukon
pulverize	pulboson
pump	bombahon
queen	asawassang hari
queen	hara
queen	rayna
queenly	dawssa rayna
queenly	haraanon
queer	kahalamotan
quench	nubwan
question	hulusayon
question	magpamangkut
question	pamangkut
questionable	palamangkuton
questionnaire	listahanssang mga pamangkut
quick	maabitk
quick	madali
quicken	padalion
quicksilver	asogengsbuhi
quiet	malinong
quiet	palinongon
quiet	wala'yshulohambal
quietly	kalinong
quinine	bulongssa malarya
quinine	kinina
quintet	limahan
quintet	limaska tingog
quirk	sambil
quit	lumakat
quit	snaghalin
quit	talikdan
quiver	ligbosan
quiver	mangudog
quiz	pagsalawsaw
quota	kuota
quota	latid
quotation	bili
rabbit	koneho
rabid	masupog
rabies	kagatssang idu-buang
race	kaliwatan
race	karera
race	spalumba
race track	karenahan
rack	salab-itan
racy	madasig
radiant	mabadlalakon
radiant	masili
radio	ibalitassa radyo
radio	radyo
radish	rabanos
raffle	ripa
raft	balsa
rafter	pagbalayons (sang balay)
rag	trapo
rage	akig
rage	dumot
rage	mahigkospahiran
ragged	kahigkuon
raid	maakig
raid	magdumot
raid	smanginit
rail	barandilya
rail	riles
railroad	alaganssang tren
rain	ulan
rain tree	akasya
rainbow	balangaw
rainy	maulan
rainy season	tingulan
raise	pagdugang
raise	pagtaas
raise	pataason
raise	patindogon
rake	kahig
rake	kahigon
rally	pagtinipontipon
ramble	maglihulihu
ramble	magtiyogtiyog
rambling	paglaug
rambling	pagtiyogtiyog
ranch	bakanhan
ranch	rantso
range	iras
range	kubay
rank	iiras
rank	ikubay
rank	kubay
rank	rango
ranking	kinilala
ranking	mataas
rap	nanuktok
rapid	madasig
rapture	kapinsnga kalipayan
rapturous	lubossnga nahalipay
rare	tumalagsahon
rat	ilaga
rate	bili
rate	dasigssang lakat
rather	sangssa
rating	grado
rating	sari
rattan	uway
rattle	magahud
rattle	magansal
raven	uwak
ravenous	hakaban
raw	hilaw
raw	linghod
ray	silak
raze	masunog
razor	nabaha
reach	abtan
reach	dab-uton
read	basahon
read	magbasa
reader	bumasbasa
readily	gilayon
readjust	kaayohon
ready	handa
real	matuod
realize	pagkatuman
really	tunay
realm	ginharian
reap	anihon
rear	saguron
rear	sakdagon
rear	saslikod
reason	katarungan
reason	magpangatarungan
rebel	maggugubot
rebel	manriribuk
rebellious	manoggubot
rebellious	manogribuk
rebuke	pahanumdumon
recall	padumdumon
recede	kumbos
receipt	resibo
receivable	balatonon
receive	batonon
recent	siningskaron lamang
receptacle	bulotangan
reception	pagbaton
recess	pagpahuway
recipe	resipe
recitation	pagpulongpulong
recognize	kilalahon
recoil	lumikaw
recoil	umisul
recommend	itugyan
recommend	patigayonon
recommendations	mgaspagpatigayon
remedial	makatambal
remember	dumdumon
remembrance	handumanan
remind	ipadumdom
reminder	pahanumdum
reminisce	pahanumdum
remit	magbayad
remittance	bayad
remittance	pagbayad
remnant	retaso
remnant	salin
remodel	bag-ohom
remonstrate	namatuk
remorse	paghinulsol
remote	malayo
remoteness	kalayoan
remove	isaylo
remove	kuhaon
remunerate	bayaran
remuneration	kabayaran
render	maghatag
rendezvous	kilitaan
rendition	pagkatuman
renew	bagohon
renewal	pagbag-o
renounce	sikwayon
renounce	subulon
renovate	bago
renovate	pagkaayo
renovation	pagbag-o
renovation	pagkaayo
