population	pumuluyo
populous	madamongspumuluyo
porch	balkonaha
porch	portiko
pork	unodssang baboy
porous	buho-buho
porous	lubotlubot
port	dungkaan
porter	bantay-ganhaan
porting	bahin
porting	katunga
porting	skautod
position	kahimtangan
positive	maathag
positive	pat-ud
possess	angkunon
possession	manggad
possession	pag-angkon
possessive	mag-angkon
possibility	mahitabo
possible	mahimo
possible	matabo
post	haligi
post	idukot
post	ipastil
post	koreo
postage	selyosukon prankiyo
postal	natungodssa koreo
posterity	inapo
posterity	kaliwatan
posture	dagway
posture	tindog
pot	kulon
potato	patatas
potency	gahum
potency	kusog
potentate	hari
potentate	makagalahum
potential	tinagosnga gahum
potter	manogkulon
pottery	dilishonan-kulon
pound	bayhon
pound	kuartangsIngles
pound	libra
pound	pukpukon
pour	ibubo
poverty	kaimolon
poverty	kinulabos
powder	polbora
powder	pulbos
power	gahum
powerful	makagalahum
powerless	wala'yskagamhanan
practical	antigosmagpahito
practical	praktikal
practice	hanason
practice	maghanashanas
practice	paghanashanas
praise	dayawon
praise	pagdayaw
praiseworthy	dalayawon
pray	mag-ampo
pray	mangamuyo
pray	smangadi
prayer	ampo
prayer	pangamuyo
prayerbook	palangadion
preach	pagwali
preaching	pagwali
preamble	unangshambal
precarious	wala'yspat-ud
precaution	halalongan
precedence	unangshilikuton ukon kahitaboan
precious	bilihon
precious	malahalon
predicate	panagsari
prefer	magpalabi
prefer	pumili
preference	pagpalabi
preparation	paghanda
preparation	pagpangaman
prisoner	binilanggo
privacy	kinaugaling
private	personal
private education	eskwela-pribado
privilege	katungdanan
privilege	pribelihiyo
prize	dinag-an
prize	ipremyo
prize	padya
prize	premyo
probability	mahimo
probability	matabo
probable	mahimo
probation	pagtilaw
problem	palaktakon
problem	palaligban
problematical	makalilibug
procedure	paagi
procedure	pagpadayon
proceed	ipadayon
proceed	magpadayon
process	paagi
process	pahito
procession	katay
procession	prosenyon
proclaim	magpahayag
proclaim	magpatalastas
proclamation	pahayag
proclamation	patalastas
procrastination	katamaron
procrastination	uyaya
procure	pangitaon
procure	tinguhaon
procurement	palangitaon
prodigal	buhaha
produce	pabungahon
produce	patubson
product	pinatubas
product	produkto
production	pinatubsan
profane	wala'yskatahuran
profession	palangitan-an
profit	kasapliran
profit	naganansy
profit	nasaplid
profitable	maganansyahan
profitable	masapliran
profound	madulum
profuse	dagaya
program	programa
progress	kauswagan
progress	umuswag
prohibit	dumilian
prohibition	pagdumili
project	bulukuon
project	palasaron
prolong	padugayon
prolong	palawigon
prominent	kinilala
prominent	lutaw
promise	pangako
promote	padelantohon
promoter	tagdelanto
prompt	dalian
prompt	madali
pronounce	ilawag
pronounce	ipahibalo
proof	pamatuod
proof	pruweba
proof	spatunay
proper	nagahilituon
proper	nagakaigo
property	pagkabutang
prophesy	pakton
prophesy	tagnaan
prophet	manalagna
prophet	propeta
prophetic	nagapanagna
proportion	pag-alalangay
proportionate	nagaalangay
propose	buko
propose	palakamaayohon
proposition	bulokuon
proposition	pakamaayohon
proprietor	tag-iya
propriety	kahilabtanan
propriety	kahimtangan
prospect	buas-damlag
prospect	palaabuton
prospective	manginpalaabuton
prosper	umuswag
prosperity	pag-uswag
prosperous	mauswagon
prostrate	naghayanghayang
protect	pangapinan
protective	maapinon
protege	aypon
protege	inakupon
protest	batok
protest	magprotesta
protest	makigbatuk
protest	protesta
proud	bugalon
prove	pamatud-an
proverb	hurubaton
provide	maghandassing kinahanglanon
providence	kabubut-onssang Dios
province	kapuoran
provision	balong
provision	pagkaon
provisional	kitaypuni
provocation	pagpanugyot
provocative	manunugyot
provocative	palasugyot
provoke	painiton
prune	kapunos (sa tanum)
pruning	kinaponans (sa tanum)
public	banwahanon
public	publiko
