wander	manghulonghulong
wanderings	pagtangatanga
want	kinahanglanon
want	magkinahanglan
wanting	nagakinahanglan
war	gera
war	inaway
warbler	ambassang pispis
ward	hulotssa ospital
ward	tatapan
warden	alkaide
wardrobe	aparadossang panapton
ware	balaligya
warm	maalabaab
warmly	mayskaalabaab
warn	magpatunda
warning	patunda
warrant	pamatuod
warrant	sugossang hukom
warrior	mangangaway
wash	bulunakan
wash	bunakan
wash	kalunggo
wash	labhan
wash	lalabhan
washer	manglalaba
washout	hinugasan
waste	usikan
wasteful	buhaha
watch	bantay
watch	magbantay
watch	orsansnga diotay
watchdog	bantay-idu
watchful	mabinantayon
watchman	bantay
watchman	sereno
water	bunyagan
water	tubig
water	tubigan
watermelon	sandiya
waterproof	di-mabasa
watery	tubigon
wave	balud
wave	iparagpag
wavy	mahulag
wax	atutuli
wax	waks
waxen	mamuti
way	nagapalamuti
waylay	dalan
waylay	paagi
wayward	dalamhak
we	kami
we	kita
weak	maluya
weak	matapok
weak-kneed	maluyasang tuhod
weakness	kaluyahon
weakness	katapok
wealth	manggad
wealthy	manggaranon
wean	bulagon
weapon	armas
weapon	hinganiban
wear	magpanapuot
wear	panapton
weariness	kakapoyan
weary	kapoy
weather	panahon
weather	sulayon
weave	lalahon
weave	maglala
weave	paghabul
weave	paglala
weave	smaghabul
weaver	manghahabul
weaver	manoglala
web	lawa
webby	malawaon
wed	ikasal
wed	kasalon
wedding	kasal
wedding bells	linigganayssa kasal
wedge	pitala
Wednesday	Mierkoles
weed	barit
weed	baritan
weed	kuhaansbarit
week	pitoadlaw
week	simana
weekly	pitoadlawan
weekly	simanal
weep	humibi
weep	nanangis
weeping	paghibi
weeping	pagpanangis
weevil	bukbok
weigh	timbangon
weight	timbang
weighty	matimbangon
weird	makahaladlok
welcome	pagpadungogssa pag-abot
welcome	pagtamyaw
welcome	tumamyawssing malipayon
weld	soldahon
welfare	kaayohan
well	bubon
well	maayo
welt	hampakon
welt	papaon
west	katundan
western	katundanon
western	nayonssa katundan
westward	pakatundan
wet	basa
wet	bas-on
wet blanket	wala'ysginkasugtan
whale	balyena
wharf	dungkaan
wharf	pantalan
what	ano
what	ano
what	ngaa
whatever	bisansano
wheat	trigo
wheel	ariring
wheel	bumalik
wheel	patiyogon
wheel	rweda
when	kasan-o
whenever	kutobssan-o
where	diin
whereby	amosman
wherefore	ganisman
wherefore	tungod sini
wherein	diin
wherever	bisansdiin
whet	bairon
whether	bisan
which	diinssina
while	nakaligad
while	samtang
while	tinion
whine	naghuni
whine	umigot
whip	latigo
whip	latigohon
whip	putik
whip	putikon
whirl	budyong
whirl	pabudyongon
whirl	patuyobon
whirl	tuyob
whisper	hutik
whisper	hutikan
whistle	panihol
whistle	paniholan
whistle	pito
whistle	pitohan
whistling	nanihool
white	maputi
white	puti
white ant	anay
whither	diin
who	sin-o
whoever	bisanssin-o
whole	bugos
whole	tanan
wholesale	pakyawan
wholesome	kabug-osan
wholly	binug-os
wholly	tanantanan
whom	kayssin-on
whose	sin-osang tag-iya
why	ngaa
wicked	makasasala
wicked	malain
wicked	smakangililad
wide	masangkad
widow	balosnga babae
widower	balosnga lalaki
width	kalapad
wife	asawa
wild	ilahas
wild	maila
wilderness	banlas
wilderness	desierto
will	but-on
will	idulot
will	ihatag
will	kabubut-on
win	magdaug
wince	mabarikutot
wince	masakitan
wind	barubonan
wind	hangin
windmill	makinassa hangin
window	bintana
window	gawahan
windy	mahangin
