lapsed	périmé
lapwing	vanneau
larboard	bâbord
larceny	larcin
larceny	vol
lard	graisse
lard	larder
lard	piquer
large	ample
large	considérable
large	fort
large	grand
large	gros
large	large
large	vaste
large	étendu
largeness	grandeur
largeness	grosseur
largeness	étendue
largess	largesse
largesse	largesse
largo	largo
lariat	lasso
lark	alouette
lark	blague
lark	farce
larrup	frapper
larva	larve
larvae	larve
larval	larvaire
laryngeal	laryngien
laryngeal	laryngé
laryngitis	laryngite
laryngology	laryngologie
laryngoscope	laryngoscope
lascivious	lascif
lascivious	lubrique
lascivious	luxurieux
laser	laser
lash	cil
lash	cingler
lash	coup
lash	fouetter
lash	fustiger
lash	lanière
lashing	flagellation
lass	fille
lass	gosse
lassitude	lassitude
lasso	lasso
last	dernier
last	durer
last	enfin
last	fini
last	passé
last	persister
last	précédent
last	résister
last	subsister
last	ultime
lasting	continu
lasting	durable
lasting	permanent
lasting	perpétuel
lasting	persistant
lastly	finalement
latch	loquet
latch	targette
latch	verrou
late	ancien
late	défunt
late	en retard
late	retardé
late	récent
late	tard
late	tardif
latecomer	retardataire
lately	dernièrement
lately	récemment
latency	latence
lateness	retard
latent	latent
later	plus tard
later	suivant
later	ultérieur
lateral	latéral
laterally	latéralement
laterite	latérite
latest	dernier
lath	latte
lathe	tour
lather	mousse
lather	mousser
lather	rosser
lather	écume
lather	écumer
latin	latin
latitude	latitude
latrine	latrines
latter-day	moderne
latterly	dernièrement
latterly	récemment
lattice	treillis
laud	glorifier
laud	louange
laud	louer
laudable	louable
laudatory	laudatif
laugh	blaguer
laugh	railler
laugh	rire
laugh at	se moquer de
laughable	cocasse
laughable	dérisoire
laughable	ridicule
laughable	risible
laughter	rire
launch	commencer
launch	déclencher
launch	entamer
launch	lancer
launched	envoyé
launched	lancé
launching	lancement
launder	blanchir
launder	laver
launder	lessiver
launderette	blanchisserie
laundering	blanchissage
laundering	lessivage
laundry	blanchisserie
laundry	buanderie
laundry	lavoir
laundry	lessive
laundry	linge
laureate	lauréat
laurel	laurier
lava	lave
lavatory	lavabo
lavement	lavage
lavender	lavande
lavish	généreux
lavish	prodiguer
lavishness	prodigalité
lavishness	somptuosité
law	droit
law	justice
law	loi
lawful	légal
lawful	légitime
lawfully	légalement
lawfully	légitimement
lawfulness	régularité
lawgiver	législateur
lawless	illégal
lawlessness	illégalité
lawmaker	législateur
lawn	gazon
lawn	pelouse
lawsuit	procès
lawyer	avocat
lawyer	avoué
lawyer	juriste
lax	lâché
lax	négligent
lax	relâché
lax	vague
lay	asseoir
lay	coucher
lay	jeter
lay	mettre
lay	placer
lay	poser
lay	profane
lay	étendre
lay down	coucher
lay down	mettre
lay down	poser
lay down	établir
layer	assise
layer	banc
layer	couche
layer	gisement
layman	profane
layout	agencement
layout	dessin
layout	disposition
layout	plan
layout	présentation
layout	tracé
laze	fainéanter
laze	lézarder
laze	paresser
lazily	paresseusement
laziness	fainéantise
laziness	paresse
lazy	fainéant
lazy	nonchalant
lazybones	fainéant
lazybones	paresseux
