wintry	zimski
wipe	brisanje
wipe	brisati
wipe	izbrisati
wiper	brisač
wiper	klizač
wiper	kontaktna ručica
wire	brzojav
wire	brzojaviti
wire	brzojavna žica
wire	instalirati žicu
wire	provodnik
wire	telegraf
wire	telegrafirati
wire	telegram
wire	žica
wire	žičani
wireless	bežičan
wireless	bežični
wireless	bežično
wireless	radio
wireless	svojstvo priopćajnog sustava u kojem se informacij
wiring	montaža
wiring	ožičavanje
wiring	ožičenje
wiring	provlačiti vodiče
wisdom	mudrost
wise	mudar
wise	mudrom
wise	pametan
wise	razborit
wisecrack	duhovita primjedba
wish	molba
wish	žele
wish	želimo
wish	želite
wish	želja
wish	željeti
wish	žuditi
wisp	pramen
wisp	snopić
wisp	svežanj slame
wistful	tužan
wistful	zamišljen
wistful	željan
wit	dosjetka
wit	dosjetljivost
wit	dovitljivost
wit	duhovitost
wit	pamet
wit	razum
witch	vještica
witch	vračara
with	kod
with	kraj
with	pomoću
with	protiv
with	s
with	sa
with	uz
with	za
with	zajedno
withal	ujedno
withal	uostalom
withal	usto
withdraw	ispisati
withdraw	odustane
withdraw	odustati
withdraw	oduzeti
withdraw	opozvati
withdraw	povući
withdraw	povući se
withdrawal	izuzeće
withdrawal	odlazak
withdrawal	odustajanje
withdrawal	oduzimanje
withdrawal	odvođenje
withdrawal	opoziv
withdrawal	opozivanje
withdrawal	povlačenje
withdrawal	ustezanje
wither	sušiti se
wither	venuti
withhold	uskratiti
withhold	zadržati
within	između
within	tijekom
within	u
within	u okvirima
within	u okviru
within	u roku od
within	u sklopu
within	unutar
within	unutra
without	bez
without	izvan
without	izvana
withstand	izdržati
withstand	odoljeti
withstand	opirati se
withstand	podnijeti
withstand	podnositi
withstand	podnošenje
witless	bedast
witless	glup
witless	nerazuman
witness	posvjedočiti
witness	svjedok
witticism	duhov primjedba
wittingly	namjerno
wittingly	s predumišljajem
wittingly	svjesno
witty	domišljat
witty	dosjetljiv
witty	duhovit
witty	šaljiv
wizard	asistent
wizard	mađioničar
wizard	čarobnjak
wobble	kolebati se
wobble	ljuljati se
wobble	nestabilnost
wobble	promjena
wobbly	kolebljiv
wobbly	nesiguran
woe	bol
woe	jad
woe	nesreća
woe	tuga
woe	zlo
woeful	bijedan
woeful	jadan
woeful	žalostan
wolf	kurjak
wolf	vuk
wolfish	svirep
wolfish	vučji
wolfram	volfram
woman	žena
woman	ženska osoba
womanhood	žene
womanhood	ženski rod
womanhood	ženstvenost
womanly	ženstven
womb	materica
womb	maternica
won	njegovani
won	osvojili
won	pobijediti
won	pobjeđivali
won	postići
wonder	biti radoznao
wonder	iznenađenje
wonder	pitati se
wonder	razmišljati
wonder	razmišljati o čemu
wonder	čuditi se
wonder	čudo
wonder	čuđenje
wonderful	divan
wonderful	izvanredan
wonderful	krasan
wonderful	neobičan
wonderful	predivan
wonderful	prekrasan
wonderful	sjajan
wonderful	čudesan
wondering	razmišljajući
wondering	zadivljen
wondering	začuđen
wondrous	prekrasan
wondrous	začudan
wont	imati običaj
wont	koji ima običaj
wont	navika
wont	običaj
woo	boriti se
woo	udvarati se
wood	drvna
wood	drvo
wood	šuma
woodcock	šljuka
woodcut	drvorez
woodcutter	drvosječa
woodcutter	duborezac
wooden	drven
wooden	drvena
wooden	drvenih
wooden	drvenim
wooden	drvenom
wooden	drvenu
wooden	od drveta
woodland	šuma
woodland	šume
woodland	šumom
woodland	šumovit kraj
woodman	drvosječa
woodman	šumar
woodpecker	djetao
woodpecker	djetlić
