awkward	trapav
awkwardly	neprijatno
awkwardness	nespretnost
awkwardness	neuglednost
awl	šilo
awry	iskrivljen
awry	izobličen
awry	kos
awry	kriv
awry	nakriv
awry	nakrivo
awry	naopak
awry	pogrešan
awry	strm
axial	osni
axial	osovinski
axial	središnji
axially	aksijalano
axially	aksijalno
axiom	aksiom
axiom	aksioma
axiom	činjenica
axiomatic	aksiomatički
axiomatic	aksiomatski
axiomatic	izvjestan
axiomatic	neoboriv
axiomatic	očigledan
axis	aksisa
axis	os
axis	osa
axis	osi
axis	osima
axis	osovina
axis	srednja linija
axis	vitao
axle	os
axle	osovina
axle	osovinski
aye	da
azimuth	azimut
azimuthal	azimutni
azure	azuran
azure	plav
azure	plavetnilo
babbitt	licemjer
babbitt	malograđanin
babble	brbljanje
babble	brbljati
babble	kipjeti
babble	mjehur
babble	pjeniti
babble	tepanje
babble	tepati
babble	unakrsni razgovor
babble	čavrljati
babble	žubor
babble	žuboriti
babe	beba
babe	dijete
babe	komad
babe	neiskusan čovjek
babe	novajlija
baboon	babun
baby	beba
baby	dijete
baby	djetešce
baby	dječji
baby	dojenče
baby	malo od životinje
baby	mladunče
baby	odojče
babyhood	najranije djetinjstvo
babyish	djetinjast
babyish	djetinji
babyish	dječji
baccalaureate	bakalaureat
baccalaureate	matura
baccalaureate	maturu
bacchanal	bakanal
bacchanalian	bakantski
bachelor	diplomac
bachelor	momak
bachelor	momački
bachelor	neženja
bacilli	bacil
bacillus	bacil
back	branič kod nogometa
back	iza
back	kladiti se
back	leđa
back	leđni
back	naličje
back	naslon
back	natrag
back	odozada
back	podupirati
back	potpomoći
back	povlačiti se
back	povrat
back	povratak
back	povratan
back	povratne
back	povratni
back	pozadi
back	pozadina
back	pust
back	star
back	stražnji
back	udaljen
back	unatrag
back	unazadan
back	uzmicati
back	zadnje
back	zadnji
back	zastario
backbone	glavni oslonac
backbone	kičma
backbone	kralježnica
backbone	magistralni
backbone	magistralnu
backbone	osnova
backbone	osnovica
backbone	snaga volje
backbone	suština
backbone	temeljna mreža
backfire	povrat paljenje
backfire	povratno paljenje
background	drugi plan
background	osnovica
background	podloga
background	popratni učinak
background	povjesnica
background	povod
background	pozadina
background	pozadine
background	pozadini
background	tajni razlog
background	šumovi
backing	dodatni
backing	kretanje unazad
backing	osnova
backing	podloga
backing	podmetač
backing	podupirač
backing	pomoćni
backing	postava
backing	potpora
backing	promjena smjera vjetra suprotno kazaljci na satu
backing	rezervni
backing	ustuk
backing	vraćanje
backlash	hod
backlash	mrtvi hod
backlash	prazan hod
backlash	usporavanje
backlash	zatezanje
backlog	neispunjena narudžba
backlog	neizvršen rad
backlog	neobavljen posao
backlog	neobavljeni posao
backlog	radni ostatak
backlog	talog
backlog	zaostatak
backpack	naprtnjaca
backpack	naprtnjača
backpack	ruksak
backplate	zadnji zid
backspace	pomak unatrag
backspace	pomak unazad
backspace	pomaknuti unazad
backspace	povratna tipka
backspace	povratni korak
backspace	povratni pomak
backspace	povratni taster
backspace	tipka za pomak unatrag
backup	kopija
backup	presnimati
backup	presnimiti
backup	programa)
backup	rezerva
backup	rezervni
backup	sačuvati
backup	sigurnosna kopija
backup	sigurnosna kopija (podataka
backward	natrag
backward	nazad
backward	nazadan
backward	povratni
backward	spor
backward	suprotan
backward	trom
backward	unatrag
backward	unatražni
backward	unazad
backward	unazadan
backward	zakasnio
backward	zaostao
backward	zastario
backwardness	zaglupljenost
backwardness	zaostajanje
