woodpecker	žuna
woodwork	drvena građa
woodwork	duborez
woodwork	izrada drvenih predmeta
woodwork	obrada drva
wooer	udvarač
wool	vuna
woolly	dlakav
woolly	toplo rublje
woolly	čupav (tkanina)
word	geslo
word	grupa simbola
word	iskazati
word	izraz
word	izreka
word	kod
word	kodna grupa
word	reći
word	riječ
wording	formuliranje
wording	način izražavanja
wording	tekst
work	djela
work	djelo
work	djelovanje
work	djeluje
work	mehanizam
work	obraditi
work	poradi
work	posao
work	poslovati
work	raditi
work	radni
work	radni dio stroja
work	radom
work	radu
workable	izvodljiv
workable	obradiv
workbench	radni sto
workbook	radna knjiga
workday	radni dan
worker	radnica
worker	radnik
workforce	radne snage
workforce	ukupno zaposlenih
workhouse	sirotinjski dom
workhouse	sirotište
workhouse	ubožnica
working	djelovanje
working	djelovati
working	obrada
working	pogon
working	prerađivanje
working	proces
working	rad
working	rada
working	radi
working	radilište
working	radio
working	radni
working	radnih
working	radnim
working	radnog
working	radnu
workman	manualni radnik
workman	radnik
workmanlike	dobro urađen
workmanlike	majstorski
workmanlike	stručan
workmanship	majstorstvo
workmanship	stručnost
workmanship	umijeće
workmanship	umješnost
workmanship	znanje
workout	praksa
workout	uvježbavanje
workout	vježbanje
workplace	radilište
workplace	radna mjesta
workplace	radno mjesto
worksheet	radni list
workshop	radionica
workshop	radionici
workspace	radni prostor
workstation	radna postaja
workstation	radna stanica
world	avet
world	svemir
world	svijet
world	svijeta
world	svijetom
world	svijetu
world	svjetska
world	svjetske
world	svjetski
world	svjetskih
world	svjetskog
world	svjetskom
world	zemlja
worldly	zemaljski
worldwide	svjetskog
worldwide	svjetsku
worldwide	širom svijeta
worm	crv
worm	glista
worm	gmizati
worm	program koji se preslikava putem mreže i uzrokuje
worm	puž
worn	izlizan
worn	nosio
worn	nošen
worn	pohaban
worry	briga
worry	brinuti
worry	brinuti se
worry	ljutiti
worry	muka
worry	mučiti
worry	uzbuđivati
worse	bolesniji
worse	gore
worse	gori
worse	jadniji
worse	lošiji
worse	zao
worship	obožavanje
worship	obožavati
worst	najgore
worst	najgori
worst	najlošiji
worst	zao
worth	cijena
worth	vrijedan
worth	vrijedi
worth	vrijednost
worth	zaslužan
worthiness	vrijednost
worthless	bezvrijedan
worthless	nedostojan
worthless	nekoristan
worthless	rđav
worthy	dostojan
worthy	vrijedan
worthy	zaslužan
worthy	zaslužuje
would	bi
would	biste
would	hoćeš
would	će
wound	naviti
wound	naviti sat
wound	ozlijediti
wound	ozljeda
wound	pozljeda
wound	rana
wound	rane
wound	raniti
wound	vijugati
woven	tkani
woven	utkani
wow	promjena zvuka
wow	širenje zvuka
wrack	olupina
wraith	avet
wraith	duh
wraith	priviđenje
wrangle	prepirka
wrangle	svađa
wrangle	svađati se
wrangler	kauboj
wrangler	pastir na konj
wrangler	svađalica
wrap	marama
wrap	namotati
wrap	obaviti
wrap	omot
wrap	omotati
wrap	pokrivač
wrap	presavijanje
wrap	umotati
wrap	uviti
wrap	zamotati
wrap	zaviti
wrapper	navlaka
wrapper	omot
wrapper	papirna traka
wrapper	pokrivač
wrapper	rubac
wrapper	vanjske korice
wrapper	zaštitni omot
wrapping	obmotavanje
wrapping	omatanje
wrapping	omot
wrapping	omotavanje
wrapping	uvijanje
wrath	bijes
wrath	bjes
wrath	gnjev
wrath	ljutina
wreath	pletenica
