syndicate	sindikat
syndrome	sindrom
syndrome	sindroma
synergism	sinergistični
synergism	sinergizam
synergy	sinergiju
synod	sabori
synonym	sinonim
synopsis	kratki sadržaj
synopsis	pregled
synopsis	sinopsis
syntactic	sintaktički
syntax	gramatika
syntax	morfologija
syntax	sintaksa
synthesis	sinteza
synthetic	sintetičan
synthetic	sintetički
synthetic	sintetske
syringe	ispirati
syringe	ubrizgati
syringe	vatrogasni šmrk
syringe	šprica
syringe	šprica za davanje injekcija.
syringe	štrcaljka
syrup	sirup
syrup	tečni šećer
system	poredak
system	sistem
system	sistema
system	sistemsko
system	sistemu
system	sustav
system	sustava
system	sustavom
system	sustavu
system	uređenje
system	ustroj
systematic	sistematski
systematic	sustavno
systematic	sustavnog
systematically	sustavnim
systematically	sustavno
tab	etiketa
tab	indikator
tab	jezičak
tab	kartica
tab	marka
tab	oznaka
tab	petlja
tab	pločica
tab	tabeliranje
tab	tabelirati
tab	tableta
tab	tablica
tab	tabulator
tab	tipka na tipkovnici kojom se kursor odjedanput pom
tab	tiskani kontakt
tab	uho
table	lista
table	pult
table	ravna površina
table	spisak
table	sto
table	stol
table	stola
table	stolni
table	stolu
table	tabela
table	tablica
table	tablice
tablespoon	žlica
tablespoon	žlica za juhu
tablet	bilježnica
tablet	daščica
tablet	komad (sapuna)
tablet	pilula
tablet	ploča
tablet	pločica
tablet	tableta
tabular	tabela
tabular	tabelaran
tabular	tablični
tabulate	sastaviti spis
tabulate	sastaviti tablicu
tabulate	tabelirati
tabulation	pravljenje tablica
tabulation	tabeliranje
tabulation	tablični prikaz
tabulation	tabulacija
tabulator	tabulator
tachometer	brzinomjer
tachometer	tahometar
tacit	prešutan
tacit	ćutljiv
tacitly	prešutno
taciturn	ćutljiv
tack	kopča
tack	pričvrstiti
tack	čavao
tack	čavlić
tackle	dizalica
tackle	dići dizalicom
tackle	koturača
tackle	latiti se
tackle	poduzimati
tackle	pribor
tackle	prionuti
tackle	realizaciji
tackle	vitao
tackle	čekrk
tacky	ljepljiv
tact	osjećaj mjere
tact	takt
tact	umješnost
tactical	taktičan
tactical	taktički
tactician	taktičar
tactile	dodirni
tactile	opipljiv
tactile	osjetan
tactility	opipljivost
tactless	bez takta
tactless	netaktičan
tadpole	punoglavac
tag	etiketa
tag	formatiranja i si.
tag	metalni vršak
tag	naglavak
tag	oznaka
tag	oznaka u dokumentu za nadzor indeksiranja
tag	označiti
tag	petlja
tag	privezna pločica
tag	privjesak
tag	staviti oznaku
tag	trag
tag	uzrečica
tag	završna riječ
tail	izvod
tail	kraj
tail	pizda
tail	pička
tail	rep
tail	zadnji
tail	zaostala materija
tailor	izradi po mjeri
tailor	krojač
tailor	kroji
tailor	krojiti
tailor	podesiti
tailor	prilagoditi
taint	ljaga
taint	mrlja
taint	pokvariti (se)
taint	zaraza
taint	zaraziti (se)
take	fotografirati
take	nadzirati
take	napisati
take	odveo
take	odvesti
take	osvojiti
take	podržavati
take	poduzeti
take	preuzeti
take	primiti
take	rastati se
take	skinuti
take	smatraju
take	usmjeriti
take	usvojiti
take	uzeti
take	uzeti pravac
take	zauzeti
take	zbivati se
taken	dobio
taken	donio
taken	podnio
taken	preneražen
taken	preuzet
taken	zapanjen
taken	zauzeli
takeoff	izvlačenje
takeoff	odabir snage
takeoff	odmotavanje
takeoff	odvijanje
takeoff	uzimanje signal
takeoff	uzlet
takeoff	uzlijetanje
takeover	preuzimanje
taking	izvođenje
taking	uzimajući
talc	talk
tale	bajka
tale	izmišljotina
tale	laž
tale	legenda
tale	ogovarati
tale	pripovijest
