sidecar	bočna prikolica
sideline	bočna linija
sidelong	kos
sidelong	koso
sidelong	na stranu
sidelong	postrance
sidelong	usmjeren
sidereal	zvjezdani
sidewalk	pločnik
sidle	gurati
sidle	prilaziti
sidle	skretnica
siege	opsada
siege	opsadno stanje
siege	opsjedati
siege	prijestol
siege	sjedalo
siege	sjedište
sienna	sjena
sieve	brbljivac
sieve	prosijati
sieve	rešetati
sieve	rešeto
sieve	sito
sift	filtrirati
sift	hujati
sift	ispitati
sift	pregledati
sift	prosijati
sift	tugovati
sift	uzdah
sift	uzdisaj
sift	zavijati
sift	žalostiti se
sigh	uzdah
sigh	uzdisati
sigh	čeznuti
sight	ciljati
sight	doseg oka
sight	izgled
sight	nanišaniti
sight	nišan
sight	nišaniti
sight	observirati nebesko tijelo
sight	opaziti
sight	pogled
sight	prizor
sight	vid
sight	vidik
sight	vidjeti
sight	vidokrug
sight	vizirati
sigma	sigma
sigma	srednje kvadratno odstupanje
sigma	zbroj
sign	natpis na radnji
sign	obilježiti
sign	obilježje
sign	oznaka
sign	označiti
sign	potpisati
sign	potpisati se
sign	potpisivati
sign	potpiše
sign	predznak
sign	simptom
sign	trag
sign	znak
signal	impuls
signal	korak
signal	primjetan
signal	signal
signal	signala
signal	signalizirati
signal	upadljiv
signal	znak
signal	značajan
signalman	daje signal
signalman	skretničar
signalman	vezist
signatory	potpisnik
signatory	ugovor strana
signatory	ugovorna strana
signatory	ugovorni
signature	oznaka
signature	potpis
signature	potpis (u kriptografiji)
signature	potpisivanje
signature	signatura
signboard	viseća firma
signer	potpisnik
signet	pečat
signet	staviti pečat
signet	žig
significance	izražajnost
significance	točnost
significance	valjanost
significance	važnost
significance	značaj
significance	značaja
significance	značaju
significance	značenje
significant	bitan
significant	izrazit
significant	karakterističan
significant	opsežnu
significant	važan
significant	važeći
significant	vrijednu
significant	znatan
significant	značajan
significant	značajna
significant	značajnija
significant	značajnim
significant	značajno
significantly	bitno
significantly	znatno
significantly	značajan
significantly	značajno
signification	smisao
signification	značajnost
signification	značenje
signify	izvijestiti
signify	nagovijestiti
signify	naznačiti
signify	označavati
signify	ukazati
signify	značiti
signing	potpis
signing	potpisivanje
signpost	putokaz
silage	silaža
silage	silos
silage	zelena krma
silence	mir
silence	tišina
silence	tišina!
silence	tišine
silence	uljuljkati
silence	umiriti
silence	ušutkati
silence	zaborav
silence	šutnja
silencer	prigušivač
silencer	prigušnica
silent	bešuman
silent	koji ćuti
silent	miran
silent	mučaljiv
silent	nečujan
silent	nijem
silent	tih
silent	ugašen
silent	ćudljiv
silhouette	obris
silhouette	silueta
silica	silicij
silica	silicij-dioksid
silica	silicijev dioksid
silica	zemlja kremenja
silicate	silikat
siliceous	silikatni
silicon	osnovni materijal integriranih sklopova
silicon	silicij
silicon	silikon
silicone	silikon
silk	svila
silk	svile
silk	svilen
silken	gizdav
silken	laskav
silken	mek
silken	nježan
silken	od svile
silken	raskošan
silken	svilen
silken	udvarački
silkworm	svilena buba
silky	nježan
silky	svilen
sill	daska
sill	prag
sill	šina
silly	besmislen
silly	blesav
silly	budala
silly	budalast
silly	glup
silly	lud
silly	slabouman
silo	silos
silo	spremište krme
silt	mulj
silt	nanos
siltstone	Prahovnjak
siltstone	Siltit
silver	posrebriti
silver	srebra
silver	srebrenog
silver	srebrno
