customs officer	aduanero
cut	acortar
cut	acuchillar
cut	aguar
cut	alzar
cut	bajar
cut	cincelar
cut	cortada
cut	cortadura
cut	cortar
cut	cortarse
cut	corte
cut	cruzar
cut	dejar
cut	desmochar
cut	esculpir
cut	excavar
cut	grabar
cut	hechura
cut	hender
cut	incisión
cut	interceptar
cut	labrar
cut	lapidar
cut	partir
cut	ranura
cut	rebajar
cut	recortado
cut	recortar
cut	reducción
cut	reducir
cut	segar
cut	tajada
cut	tajar
cut	tajo
cut	talar
cut	tallado
cut	tallar
cut	tijeretear
cut	trinchar
cut	trozo
cut	tundir
cut across	atajar
cut across	cortar
cut away	cortar
cut back	acortar
cut back	reducir
cut down	disminuir
cut down	rebajar
cut down	reducir
cut down on	reducir
cut glass	cristal tallado
cut off	aislar
cut off	amputar
cut off	cesar
cut off	copar
cut off	cortar
cut off	desconectar
cut off	entrecortar
cut off	interrumpir
cut open	abrir
cut out	cortar
cut out	dejar fuera
cut out	eliminar
cut out	excluir
cut out	recortar
cut out	suprimir
cut short	abreviar
cut short	acortar
cut up	cortar
cut up	picar
cutaneous	cutáneo
cutback	acortamiento
cutback	reducción
cute	lindo
cute	listo
cute	mono
cutlass	machete
cutler	cuchillero
cutlery	cuchillería
cutlet	chuleta
cutoff	atajo
cutout	recortado
cutout	recorte
cutpurse	cortabolsas
cutpurse	ratero
cutter	cortador
cutter	fresa
cutter	tallador
cutthroat	asesino
cutting	cortadura
cutting	cortante
cutting	corte
cutting	incisivo
cutting	mordaz
cutting	penetrante
cutting	recorte
cutting	retazo
cutting	sarcástico
cutting	tajante
cutting edge	filo
cuttlefish	calamar
cuttlefish	jibia
cuttlefish	sepia
cybernetic	cibernético
cybernetics	cibernética
cyclamen	ciclamen
cyclamen	pamporcino
cycle	bicicleta
cycle	biciclo
cycle	ciclo
cycle	período
cyclic	cíclico
cycling	ciclismo
cyclist	ciclista
cycloid	cicloide
cyclone	ciclón
cyclone	tiempo
cyclostyle	ciclostilo
cylinder	cilindro
cylinder	rodillo
cylindrical	cilíndrico
cynic	cínico
cynical	cínico
cynicism	cinismo
cypher	cero
cypher	cifra
cypher	clave
cypress	ciprés
cyst	quiste
cytology	citología
cytoplasm	citoplasma
czar	zar
czarina	zarina
dab	dedada
dab	gota
dabble	chapotear
dabble	chapucear
dabble	humedecer
dabble	mojar
dabble	rociar
dabble	salpicar
dabbler	aficionado
dabchick	somorgujo
dace	albur
dace	breca
dactyl	dáctilo
dactylic	dactílico
dactyloscopy	dactiloscopia
dad	papaíto
dad	papá
daddy	papaíto
daddy	papá
daddy	tata
daedal	ingenioso
daemon	demonio
daemonic	demoníaco
daffodil	narciso
daffodil	trompón
daft	bobo
daft	tonto
dagger	cruz
dagger	daga
dagger	puñal
dahlia	dalia
daily	cada día
daily	cotidiano
daily	diariamente
daily	diario
daily	diurno
daintiness	delicadeza
daintiness	exquisitez
dainty	afiligranado
dainty	delicado
dainty	delicioso
dainty	elegante
dainty	exquisito
dainty	fino
dainty	golosina
dainty	precioso
dainty	sabroso
dairy	lechero
dairy	lechería
dairy	lácteo
dairymaid	lechera
dairyman	lechero
dais	entarimado
dais	estrado
dais	tarima
daisy	margarita
daisy	maya
dale	hondonada
dale	valle
dalliance	jugueteo
dally	coquetear
dally	jugar
dally	juguetear
dalmatian	dálmata
dam	cerrar
dam	dique
