inflammable	irascible
inflammation	encendimiento
inflammation	inflamación
inflate	exagerar
inflate	hinchar
inflate	inflar
inflated	inflado
inflation	hinchazón
inflation	inflación
inflationary	inflacionista
inflect	conjugar
inflect	curvar
inflect	declinar
inflect	doblar
inflexibility	inflexibilidad
inflexible	inflexible
inflexion	inflexión
inflict	causar
inflict	imponer
inflict	inferir
inflict	infligir
inflorescence	inflorescencia
inflow	afluencia
inflow	flujo
influence	afectar
influence	ascendiente
influence	influencia
influence	influenciar
influence	influir
influence	influjo
influence	palanca
influence	valimiento
influent	afluente
influential	influyente
influenza	gripe
influenza	influenza
influx	afluencia
influx	flujo
inform	avisar
inform	cerciorar
inform	comunicar
inform	delatar
inform	denunciar
inform	divulgar
inform	enterar
inform	impartir
inform	imponer
inform	informar
inform	noticiar
inform	participar
inform	soplar
inform against	denunciar
informal	desenvuelto
informal	extraoficial
informal	familiar
informal	informal
informal	llano
informal	oficioso
informality	familiaridad
informality	informalidad
informant	informador
informant	informante
information	delación
information	denuncia
information	información
information	informe
information	informes
information	saber
informative	informativo
informative	instructivo
informed	informado
informer	delator
informer	denunciante
informer	soplón
infraction	infracción
infrared	infrarrojo
infrastructure	infraestructura
infrequent	infrecuente
infrequent	raro
infringe	contravenir
infringe	infringir
infringe	vulnerar
infringement	infracción
infringement	traspaso
infringement	violación
infringement	vulneración
infuriate	encarnizar
infuriate	enfurecer
infuriated	furioso
infuse	imbuir
infuse	infundir
infusion	infusión
ingathering	cosecha
ingenious	hábil
ingenious	ingenioso
ingenious	inventivo
ingeniousness	ingeniosidad
ingenuity	habilidad
ingenuity	ingenio
ingenuity	ingeniosidad
ingenuity	inventiva
ingenuous	franco
ingenuous	ingenuo
ingenuous	inocente
ingenuous	sincero
ingenuousness	ingenuidad
ingle	chimenea
ingle	hogar
ingle	llama
inglorious	ignominioso
inglorious	vergonzoso
ingoing	entrante
ingot	lingote
ingrain	arraigar
ingrained	arraigado
ingrate	ingrato
ingratiating	insinuante
ingratitude	desagradecimiento
ingratitude	ingratitud
ingredient	ingrediente
ingress	acceso
ingress	entrada
ingress	ingreso
ingurgitate	engullir
ingurgitate	tragar
inhabit	habitar
inhabit	poblar
inhabitable	habitable
inhabitant	habitante
inhabitant	morador
inhabitant	poblador
inhabitant	vecino
inhabited	poblado
inhalation	inhalación
inhale	aspirar
inhale	inhalar
inhale	inspirar
inhale	respirar
inhaler	inhalador
inharmonious	inarmónico
inherence	inherencia
inherency	inherencia
inherent	inherente
inherent	innato
inherit	heredar
inherit	suceder
inheritance	herencia
inheritance	legado
inheritor	heredero
inhibit	cohibir
inhibit	estorbar
inhibit	impedir
inhibit	inhibir
inhibit	molestar
inhibit	prohibir
inhibit	suprimir
inhibition	inhibición
inhibition	prohibición
inhibitory	inhibitorio
inhospitable	inhospitable
inhospitable	inhospitalario
inhospitable	inhóspito
inhospitality	inhospitalidad
inhuman	inhumano
inhumane	inhumano
inhumanity	barbarie
inhumanity	crueldad
inhumanity	inhumanidad
inhumation	inhumación
inhume	inhumar
inimical	adverso
inimical	enemigo
inimical	hostil
inimitable	inimitable
iniquitous	inicuo
iniquitous	injusto
iniquity	iniquidad
iniquity	injusticia
iniquity	perversidad
initial	inicial
initial	primero
initial	rubricar
initialize	iniciar
initially	inicialmente
initiate	comenzar
initiate	empezar
initiate	entablar
initiate	incoar
initiate	iniciado
initiate	iniciar
initiate	promover
initiate	romper
initiated	iniciado
initiation	comienzo
initiation	iniciación
initiation	inicio
initiation	principio
initiative	inicial
initiative	iniciativa
initiator	iniciador
