A-bomb	bomba atómica
ABC	abecedario
ABC	abecé
ABC	alfabeto
Abyssinian	abisinio
Adam	Adán
Africa	África
African	africano
Afro-American	afroamericano
Agnes	Inés
Alaska	Alaska
Albanian	albanés
Alexander	Alejandro
Algerian	argelino
Algiers	Argel
America	América
American	americano
American	estadounidense
American	norteamericano
Americanize	americanizar
Andalusia	Andalucía
Andean	andino
Andrew	Andrés
Anglican	anglicano
Anglo-American	angloamericano
Anglo-Saxon	anglosajón
Anthony	Antonio
April	abril
Aquarius	Acuario
Arab	arábigo
Arab	árabe
Arabia	Arabia
Arabian	árabe
Arabic	algarabía
Arabic	arábigo
Arabic	árabe
Argentine	argentino
Aries	Aries
Armenian	armenio
Aryan	ario
Asia	Asia
Asian	asiático
Asiatic	asiático
Athens	Atenas
Atlantic	atlántico
August	agosto
Aussie	australiano
Australia	Australia
Australian	australiano
Austria	Austria
Austrian	austriaco
Austrian	austríaco
Aztec	azteca
Baltic	báltico
Barbara	Bárbara
Bartholomew	Bartolomé
Basque	vasco
Basque	vascuence
Bavarian	bávaro
Belgian	belga
Belgium	Bélgica
Benjamin	Benjamín
Berber	berberisco
Bible	biblia
Bohemia	Bohemia
British	británico
Brussels	Bruselas
Bulgaria	Bulgaria
Bulgarian	búlgaro
Byzantine	bizantino
Byzantium	Bizancio
California	California
Californian	californiano
Calvinism	calvinismo
Calvinistic	calvinista
Canada	Canadá
Canadian	canadiense
Caribbean	Caribe
Catalan	catalán
Catholic	católico
Caucasian	caucásico
Caucasus	Cáucaso
Celt	celta
Celtic	celta
Celtic	céltico
Chilean	chileno
China	China
Chinese	chino
Christ	Cristo
Christendom	cristiandad
Christian	cristiano
Christian name	nombre de pila
Christianity	cristiandad
Christianity	cristianismo
Christmas	Navidad
Christmas	navideño
Cinderella	Cenicienta
Constantinople	Constantinopla
Cossack	cosaco
Creole	criollo
Croat	croata
Croatian	croata
Cuba	Cuba
Cuban	cubano
Czech	checo
DC	corriente continua
Dane	danés
Dane	dinamarqués
Danish	danés
Danish	dinamarqués
Danube	Danubio
December	diciembre
Denmark	Dinamarca
Dominican	dominicano
Dutch	holandés
Dutch	neerlandés
Dutchman	holandés
Ecuador	Ecuador
Egyptian	egipcio
Eire	Irlanda
Elbe	Elba
England	Inglaterra
English	inglés
Englishwoman	inglesa
Erin	Irlanda
Eskimo	esquimal
Esperanto	esperanto
Estonia	Estonia
Ethiopian	etíope
Europe	Europa
European	europeo
February	febrero
Finland	Finlandia
Finn	finlandés
Finn	finés
Finnish	finlandesa
Finnish	finlandés
Finnish	finés
Flanders	Flandes
Flemish	flamenco
France	Francia
Franciscan	franciscano
French	francés
Frenchman	francés
Friday	viernes
Gaul	Galia
Gaul	galo
Gemini	Géminis
Genevan	ginebrino
Georgian	georgiano
German	alemán
Germanic	germánico
Germanize	germanizar
Germany	Alemania
Gibraltar	Gibraltar
Gothic	gótico
Grecian	griego
Greece	Grecia
Greek	griego
Gregorian	gregoriano
H-bomb	bomba de hidrógeno
Hebraic	hebraico
Hebrew	hebraico
Hebrew	hebreo
Hellenic	helénico
Helvetian	helvecio
Hindu	hindú
Hispanic	hispánico
Holland	Holanda
Hungarian	húngaro
Hungary	Hungría
Hussite	husita
I	yo
Iberian	ibero
Iberian	ibérico
Iceland	Islandia
Icelander	islandés
Icelandic	islandés
Inca	inca
India	India
Indian	indio
Indian	índico
Indonesia	Indonesia
Iran	Irán
Iranian	iraní
Iraq	Irak
Ireland	Irlanda
Irish	irlandés
Irishman	irlandés
Irishwoman	irlandesa
Islam	islam
Islamic	islámico
Israel	Israel
Israeli	israelí
Italian	italiano
Italy	Italia
Jamaica	Jamaica
January	enero
Japan	Japón
Japanese	japonés
