inamorata	querida
inamorato	querido
inane	inane
inane	mentecato
inane	sandio
inane	vano
inanimate	inanimado
inanition	inanición
inanity	sandez
inapplicable	inaplicable
inapposite	inadecuado
inapproachable	inabordable
inapproachable	inaccesible
inappropriate	impropio
inappropriate	inadecuado
inappropriate	inapropiado
inapt	inepto
inaptitude	incapacidad
inaptitude	ineptitud
inaptitude	insuficiencia
inarticulate	inarticulado
inasmuch as	dado que
inasmuch as	puesto que
inasmuch as	ya que
inattention	desatención
inattention	descuido
inattention	inadvertencia
inattention	inatención
inattentive	desatento
inattentive	descuidado
inattentive	distraído
inattentive	inatento
inaudible	inaudible
inaugural	inaugural
inaugurate	inaugurar
inaugurate	instalar
inauguration	inauguración
inauspicious	desfavorable
inauspicious	infeliz
inauspicious	siniestro
inborn	innato
inbred	innato
inca	inca
inca	incaico
incalculable	incalculable
incalculable	incierto
incalculable	incontable
incandescence	incandescencia
incapability	incapacidad
incapability	inhabilidad
incapable	incapacitado
incapable	incapaz
incapable	negado
incapacitate	incapacitar
incapacitate	inhabilitar
incapacity	incapacidad
incapacity	inhabilidad
incapacity	insuficiencia
incarcerate	aprisionar
incarcerate	encarcelar
incarceration	encarcelación
incarceration	encarcelamiento
incarceration	prisión
incarnadine	encarnado
incarnate	encarnado
incarnate	encarnar
incarnate	personificar
incarnation	encarnación
incaution	descuido
incautious	imprudente
incautious	incauto
incautiousness	descuido
incautiousness	imprudencia
incendiary	incendiario
incense	encolerizar
incense	enfurecer
incense	exasperar
incense	incienso
incense	indignar
incense	irritar
incentive	aliciente
incentive	estimulante
incentive	estímulo
incentive	incentivo
incentive	incitativo
inception	comienzo
inception	empiezo
inception	principio
inceptive	incipiente
inceptive	inicial
incertitude	incertidumbre
incessant	constante
incessant	continuo
incessant	incesable
incessant	incesante
incessantly	continuamente
incessantly	incesantemente
incest	incesto
incestuous	incestuoso
inch	pulgada
inchoate	comenzar
inchoate	empezar
inchoate	incipiente
inchoate	principiar
inchoate	rudimentario
inchoative	incipiente
incidence	incidencia
incident	episodio
incident	incidencia
incident	incidente
incident	lance
incident	suceso
incidental	accesorio
incidental	accidental
incidental	casual
incidental	contingente
incidental	fortuito
incidental	incidental
incidental	incidente
incidentally	incidentalmente
incidentally	incidentemente
incinerate	incinerar
incinerate	quemar
incineration	incineración
incipience	comienzo
incipience	principio
incipient	incipiente
incipient	inicial
incise	cortar
incise	grabar
incise	tallar
incision	corte
incision	hendedura
incision	incisión
incisive	agudo
incisive	incisivo
incisive	mordaz
incisive	penetrante
incisor	diente incisivo
incisor	incisivo
incitation	incitación
incitation	instigación
incite	aguijonear
incite	espolear
incite	estimular
incite	excitar
incite	impeler
incite	incitar
incite	instigar
incite	provocar
incitement	estímulo
incitement	incentivo
incitement	incitación
incitement	instigación
incivility	descortesía
incivility	incivilidad
incivility	incultura
inclemency	inclemencia
inclement	cruel
inclement	inclemente
inclement	riguroso
inclement	severo
inclinable	inclinado
inclination	afección
inclination	afecto
inclination	bajada
inclination	declive
inclination	inclinación
inclination	propensión
inclination	tendencia
incline	cuesta
incline	declive
incline	inclinar
incline	inclinarse
incline	ladear
incline	ladearse
incline	pendiente
incline	propender
incline	tender
inclined	inclinado
inclined	propenso
inclose	acompañar
inclose	adjuntar
inclose	cercar
inclose	encerrar
inclose	rodear
inclosure	cercado
inclosure	encierro
inclosure	recinto
include	abarcar
include	abrazar
include	circundar
include	comprender
include	contener
include	encerrar
include	englobar
include	incluir
included	incluido
including	incluso
inclusion	inclusión
