retortion	retorsión
retouch	retocar
retract	retirar
retract	retractar
retract	retractarse
retract	retraer
retractile	retráctil
retraction	retractación
retraction	retracto
retread	recauchutar
retread	reencauchar
retreat	asilo
retreat	cejar
retreat	recular
retreat	refugio
retreat	retirada
retreat	retirarse
retreat	retraerse
retreat	retraimiento
retreat	retreta
retreat	retroceder
retrench	cercenar
retrench	economizar
retrench	reducir
retribution	desquite
retribution	pago
retribution	recompensa
retribution	retribución
retribution	venganza
retrieval	recobro
retrieval	reparación
retrieval	rescate
retrieve	cobrar
retrieve	recobrar
retrieve	recuperar
retrieve	reparar
retrieve	resarcirse
retrieve	restablecer
retrieve	subsanar
retroactive	retroactivo
retrograde	retroceder
retrograde	retrógrado
retrogress	retroceder
retrogressive	regresivo
retrogressive	retrógrado
retrospective	retrospectivo
return	beneficio
return	contestar
return	dar
return	declarar
return	desquite
return	devolución
return	devolver
return	devolverse
return	elección
return	elegir
return	pagar
return	pago
return	producir
return	reembolsar
return	reflejar
return	regresar
return	regreso
return	reintegrarse
return	replicar
return	responder
return	restar
return	restituir
return	retornar
return	retorno
return	revertir
return	rédito
return	tornada
return	volver
return	vuelta
reunion	reunión
reunite	reunir
reunite	reunirse
rev	revolución
revaluation	revalorización
revamp	rehacer
revamp	remendar
revamp	renovar
reveal	delatar
reveal	descubrir
reveal	desplegar
reveal	destapar
reveal	divulgar
reveal	librar
reveal	manifestar
reveal	publicar
reveal	revelar
revel	deleitarse
revel	farra
revel	fiesta
revel	francachela
revelation	revelación
reveller	calavera
reveller	jaranero
reveller	juerguista
revelry	orgía
revenge	desquite
revenge	revancha
revenge	venganza
revenge	vengar
revenge	vindicar
revengeful	vengativo
revenger	vengador
revenue	beneficio
revenue	ganancia
revenue	ingreso
revenue	renta
revenue	rédito
reverberate	reflejar
reverberate	retumbar
reverberate	reverberar
reverberation	eco
reverberation	repercusión
reverberation	reverberación
revere	acatar
revere	honrar
revere	reverenciar
revere	venerar
reverence	acatamiento
reverence	respeto
reverence	reverencia
reverence	veneración
reverend	reverendo
reverend	venerable
reverent	respetuoso
reverent	reverente
reverie	ensueño
revers	solapa
revers	vuelta
reversal	inversión
reversal	trastrueco
reverse	anular
reverse	contrario
reverse	derrota
reverse	dorso
reverse	inversión
reverse	inverso
reverse	invertir
reverse	opuesto
reverse	reverso
reverse	revocar
reverse	revés
reverse	trastocar
reverse	trastrocar
reverse	voltear
reversibility	reversibilidad
reversible	reversible
reversible	revocable
reversion	reversión
revert	retroceder
revert	revertir
revert	volver
revet	revestir
revetment	revestimiento
review	crítica
review	evaluar
review	examen
review	examinar
review	repasar
review	repaso
review	reseña
review	reseñar
review	rever
review	revisar
review	revisión
review	revista
reviewer	crítico
reviewer	reseñante
revile	denostar
revile	injuriar
revile	insultar
revile	vilipendiar
revisal	revisión
revise	corregir
revise	modificar
revise	repasar
revise	revisar
revise	revisión
revision	modificación
revision	refundición
revision	repaso
revision	revisión
revitalize	revitalizar
revitalize	revivificar
revitalize	vigorizar
revitalize	vivificar
revival	reanimación
revival	renacimiento
revival	reposición
revival	resurgimiento
revive	avivar
revive	despertar
revive	reanimar
revive	reavivar
revive	renacer
