dissonance	disonancia
dissonant	disonante
dissuade	desaconsejar
dissuade	disuadir
dissuade	retraer
dissuade	revocar
dissymmetrical	disimétrico
distaff	rueca
distance	alejamiento
distance	distancia
distance	distanciar
distance	espacio
distance	intervalo
distance	lejanía
distance	lejos
distance	lontananza
distance	trecho
distant	distante
distant	lejano
distant	remoto
distant	reservado
distant	vasto
distaste	aversión
distaste	disgusto
distaste	hastío
distaste	repugnancia
distasteful	asqueroso
distasteful	desagradable
distend	dilatar
distend	ensanchar
distend	estirar
distensible	dilatable
distention	dilatación
distich	dístico
distil	destilar
distill	alambicar
distill	destilar
distillate	destilar
distillation	destilación
distillery	destilería
distinct	claro
distinct	diferente
distinct	distinto
distinct	evidente
distinct	preciso
distinction	diferencia
distinction	distinción
distinction	distingo
distinctive	característico
distinctive	distintivo
distinctly	distintamente
distinctness	diferencia
distinguish	discernir
distinguish	distinguir
distinguish	particularizar
distinguish	reconocer
distinguished	distinguido
distinguished	eximio
distinguished	insigne
distort	deformar
distort	descomponer
distort	desfigurar
distort	distorsionar
distort	estropear
distort	falsear
distort	tergiversar
distort	torcer
distort	violentar
distorted	deformado
distorted	distorsionado
distortion	deformación
distract	apartar
distract	dispersar
distract	distraer
distract	entretener
distract	molestar
distract	perturbar
distracted	distraído
distraction	agitación
distraction	confusión
distraction	desorden
distraction	distracción
distraction	perturbación
distrain	embargar
distrain	secuestrar
distraint	embargo
distraint	secuestro
distrait	distraído
distress	acongojar
distress	aflicción
distress	afligir
distress	angustia
distress	apenar
distress	apuro
distress	desconsolar
distress	dolor
distress	embargo
distress	entristecer
distress	escasez
distress	estrechez
distress	indigencia
distress	miseria
distress	pena
distressed	afligido
distressed	angustiado
distressful	desdichado
distressing	aflictivo
distressing	doloroso
distressing	penoso
distribute	distribuir
distribute	erogar
distribute	repartir
distribution	distribución
distribution	repartición
distribution	repartimiento
distribution	reparto
distributor	distribuidor
distributor	repartidor
district	barrio
district	comarca
district	cuartel
district	distrito
district	partido
district	provincia
district	región
district	territorio
district	zona
distrust	desconfianza
distrust	desconfiar
distrust	descreer
distrust	recelar
distrust	recelo
distrustful	desconfiado
distrustful	receloso
disturb	alterar
disturb	desasosegar
disturb	distraer
disturb	enturbiar
disturb	estorbar
disturb	incomodar
disturb	inquietar
disturb	interrumpir
disturb	molestar
disturb	perturbar
disturb	trastornar
disturb	turbar
disturbance	alboroto
disturbance	desorden
disturbance	disturbio
disturbance	molestia
disturbance	perturbación
disturbance	trastorno
disturbance	tumulto
disturbed	alborotado
disunity	desunión
ditch	cuneta
ditch	foso
ditch	reguera
ditch	zanja
dither	agitación
dither	temblar
dither	temblor
dither	vacilar
dithyramb	ditirambo
ditto	ídem
ditty	cancioneta
diurnal	cotidiano
diurnal	diario
diurnal	diurno
diva	diva
divagation	divagación
divalent	bivalente
divan	diván
divarication	divergencia
dive	bucear
dive	buceo
dive	enfrascarse
dive	inmersión
dive	picado
dive	salto
dive	sumergir
dive	sumergirse
dive	taberna
dive	zambullida
dive	zambullir
dive	zambullirse
diver	buzo
diverge	desviarse
diverge	divergir
divergence	divergencia
divergency	divergencia
divergent	divergente
divers	varios
diverse	diferente
diverse	distinto
diverse	diverso
diverse	multiforme
diverse	variado
diversification	diversificación
diversify	diversificar
