choppy	intranquilo
choral	coral
chord	acorde
chord	acuerdo
chord	convenio
chord	cuerda
chore	faena
chore	quehacer
chore	tarea
choreographer	coreógrafo
choreographic	coreográfico
choreography	coreografía
chorister	corista
chorus	conjunto
chorus	coro
chorus	estribillo
chosen	electo
chosen	escogido
chouse	estafa
chow	comida
chrism	aceite
christ	cristo
christen	bautizar
christendom	cristiandad
christening	bautismo
christening	bautizo
christian	cristiano
christianity	cristianismo
christmas	navidad
chromatic	cromático
chrome	cromo
chromium	cromo
chronic	crónico
chronicle	crónica
chronicler	cronista
chronologic	cronológico
chronological	cronológico
chronology	cronología
chronometer	cronómetro
chrysalis	crisálida
chrysanthemum	crisantemo
chrysolite	crisolito
chubby	gordinflón
chubby	rechoncho
chubby	regordete
chuck	arrojar
chuck	calzo
chuck	echar
chug	resoplar
chum	amigo
chum	compañero
chum	compinche
chum	ñaño
chump	adoquín
chump	zoquete
chunk	pedazo
chunk	tarugo
chunky	fornido
chunky	rechoncho
church	eclesiástico
church	iglesia
church	templo
churchman	clérigo
churchman	cura
churchman	eclesiástico
churchman	sacerdote
churchyard	camposanto
churchyard	cementerio
churl	grosero
churl	patán
churlish	rústico
churn	mantequera
chute	tobogán
cicada	chicharra
cicada	cigarra
cicatrix	cicatriz
cicatrization	cicatrización
cicatrize	cicatrizar
cider	sidra
cigar	cigarro
cigar	puro
cigar	tabaco
cigarette	cigarrillo
cigarette	cigarro
cigarette	papelillo
cigarette	pitillo
cigarette lighter	encendedor
cigarette lighter	mechero
cigarette-case	petaca
cinchona	quino
cinder	carbonilla
cinder	ceniza
cinema	cine
cinema	cinema
cinematic	cinematográfico
cinematograph	cinematógrafo
cinematographic	cinematográfico
cinematography	cinematografía
cinerary	cinerario
cinnabar	cinabrio
cinnamon	canela
cipher	cero
cipher	cifra
cipher	cifrar
cipher	clave
cipher	código
circle	cerco
circle	circulo
circle	círculo
circle	revolotear
circle	rodear
circlet	anillo
circuit	circuito
circular	circular
circular	rotundo
circular saw	sierra circular
circulate	circular
circulation	circulación
circulation	tirada
circumcise	circuncidar
circumcision	circuncisión
circumference	circunferencia
circumference	círculo
circumference	perímetro
circumferential	circunferencial
circumjacent	ambiente
circumlocution	circunloquio
circumnavigate	circunnavegar
circumnavigation	circunnavegación
circumscribe	circunscribir
circumscription	circunscripción
circumspect	circunspecto
circumspect	prevenido
circumspect	prudente
circumspection	circunspección
circumspection	prudencia
circumspective	circunspecto
circumspective	prudente
circumstance	circunstancia
circumstance	condición
circumstantial	circunstancial
circumvent	burlar
circumvent	esquivar
circumvent	evitar
circus	circo
cirque	circo
cisalpine	cisalpino
cistern	aljibe
cistern	cisterna
cistern	depósito
cistern	tanque
citadel	ciudadela
citadel	reducto
citation	cita
citation	citación
cite	citar
cite	mencionar
citizen	ciudadano
citizen	vecino
citizenship	ciudadanía
citizenship	nacionalidad
citrate	citrato
city	ciudad
city	población
city	urbe
city council	municipio
city hall	ayuntamiento
city hall	municipio
civic	ciudadano
civic	cívico
civil	civil
civil	cortés
civil	cívico
civil engineer	ingeniero civil
civil war	guerra civil
civilian	civil
civilian	paisano
civility	civilidad
civility	cortesía
civility	urbanidad
civilization	civilización
civilize	civilizar
civilized	civilizado
civilized	modoso
clack	golpeteo
clad	cubierto
clad	vestido
claim	afirmar
claim	declarar
claim	demanda
claim	demandar
claim	derecho
claim	exigir
claim	pedir
claim	petición
claim	postulado
claim	postular
claim	pretender
claim	pretensión
claim	reclamación
