minister	pastor
ministerial	ministerial
ministration	cuidado
ministration	servicio
ministration	solicitud
ministry	clero
ministry	ministerio
minium	minio
mink	visón
minor	inferior
minor	menor
minor	menor de edad
minor	secundario
minority	minoridad
minority	minoría
minster	catedral
mint	acuñar
mint	amonedar
mint	hierbabuena
mint	menta
mintage	acuñación
minuend	minuendo
minuet	minuete
minuet	minué
minus	menos
minus	sin
minute	acta
minute	diminuto
minute	instante
minute	menudo
minute	minutero
minute	minuto
minute	minúsculo
minute	momento
minute	nimio
minute	pequeño
minute hand	minutero
minutely	detalladamente
minuteness	menudencia
minuteness	minuciosidad
minutes	acta
miracle	milagro
miraculous	maravilloso
miraculous	milagroso
miraculous	prodigioso
mirage	espejismo
mire	enlodar
mire	fango
mire	lodo
mirror	espejo
mirror	reflejar
mirror	reflejarse
mirth	alegría
mirth	hilaridad
mirth	regocijo
mirth	risa
mirthful	alegre
mirthful	jovial
mirthful	regocijado
miry	cenagoso
miry	fangoso
miry	lodoso
misadventure	accidente
misadventure	desgracia
misadventure	percance
misanthrope	misántropo
misanthropic	misantrópico
misanthropist	misántropo
misapplication	abuso
misapprehension	equivocación
misappropriate	distraer
misappropriate	malversar
misappropriation	malversación
misbecoming	impropio
misbecoming	indigno
misbegotten	bastardo
misbegotten	ilegítimo
misbeliever	descreído
misbeliever	hereje
misbeliever	incrédulo
misbeliever	infiel
miscarriage	aborto
miscarriage	fracaso
miscarriage	malogro
miscarriage	malparto
miscarry	abortar
miscarry	fracasar
miscarry	malograrse
miscarry	malparir
miscarry	marrar
miscarry	zozobrar
miscellaneous	diverso
miscellaneous	misceláneo
miscellaneous	vario
miscellany	miscelánea
mischance	desgracia
mischance	fatalidad
mischance	infortunio
mischance	mala suerte
mischief	diablura
mischief	trastada
mischief	travesura
mischievous	dañoso
mischievous	malicioso
mischievous	malo
mischievous	perjudicial
mischievous	travieso
mischievousness	malicia
miscible	miscible
misconduct	adulterio
miscreant	bellaco
miscreant	bribón
miscreant	malandrín
misdeed	crimen
misdeed	fechoría
misdemeanor	delito
misdemeanour	delito
misdoing	fechoría
miser	avariento
miser	avaro
miser	tacaño
miserable	afligido
miserable	deplorable
miserable	desdichado
miserable	desgraciado
miserable	indigente
miserable	infeliz
miserable	lastimoso
miserable	malo
miserable	mezquino
miserable	miserable
miserable	mísero
miserable	pesaroso
miserable	pobre
miserable	triste
miserable	vil
miserliness	avaricia
miserly	avariento
miserly	avaro
miserly	tacaño
misery	aflicción
misery	angustia
misery	desdicha
misery	estrechez
misery	indigencia
misery	infelicidad
misery	miseria
misery	pena
misery	sufrimiento
misery	tristeza
misfire	fallar
misfortune	descalabro
misfortune	desdicha
misfortune	desgracia
misfortune	desventura
misfortune	infortunio
misfortune	mala suerte
misgive	recelar
misgive	temer
misgiving	duda
misgiving	recelo
misgiving	temor
misguided	equivocado
mishandle	maltratar
mishap	accidente
mishap	adversidad
mishap	contratiempo
mishap	desgracia
mishap	percance
mislay	extraviar
mislead	desencaminar
mislead	despistar
mislead	engañar
mislead	extraviar
mislead	seducir
misleading	engañoso
misleading	erróneo
mismanagement	desgobierno
misogynist	misógino
misprint	errata
misrepresent	desfigurar
misrepresent	falsear
misrepresent	tergiversar
misrepresentation	desfiguración
miss	errada
miss	errar
miss	extrañar
miss	fallar
miss	joven
miss	marrar
miss	omitir
miss	perder
miss	señorita
missal	misal
misshape	deformar
misshapen	deformado
misshapen	deforme
missile	cohete
missile	misil
missile	proyectil
