compress	oprimir
compressed	comprimido
compressibility	compresibilidad
compression	compresión
compression	condensación
compression	presión
compressor	compresor
comprise	abarcar
comprise	comprender
comprise	contener
comprise	englobar
comprise	incluir
compromise	comprometer
compromise	compromiso
comptroller	contralor
comptroller	interventor
compulsion	coacción
compulsion	compulsión
compulsory	obligatorio
computable	calculable
computation	cálculo
compute	calcular
compute	computar
computer	computador
computer	computadora
computer	ordenador
comrade	amigo
comrade	camarada
comrade	compañero
comradeship	amistad
comradeship	camaradería
con	burear
con	engañar
con	estafa
con	estafar
concatenation	concatenación
concave	cóncavo
concavity	concavidad
conceal	arrebozar
conceal	disimular
conceal	embozar
conceal	encubrir
conceal	esconder
conceal	ocultar
conceal	ocultarse
conceal	recatar
conceal	reservar
conceal	sepultar
concealed	excusado
concealment	ocultación
concede	admitir
concede	ceder
concede	conceder
conceit	engreimiento
conceit	envanecimiento
conceit	fatuidad
conceit	infatuación
conceit	presunción
conceit	vanagloria
conceited	engreído
conceited	envanecido
conceited	fatuo
conceited	hueco
conceited	presumido
conceited	presuntuoso
conceited	pretencioso
conceivably	posiblemente
conceive	concebir
concentrate	concentrar
concentrate	concentrarse
concentrate	reconcentrar
concentrated	concentrado
concentration	concentración
concentric	concéntrico
concept	concepto
concept	idea
concept	noción
conception	comprensión
conception	concepción
conception	concepto
conception	idea
conception	noción
concern	asunto
concern	concernir
concern	cuidado
concern	empresa
concern	establecimiento
concern	importar
concern	inquietud
concern	interesar
concern	interés
concern	negocio
concern	parte
concern	preocupación
concern	referirse
concern	respectar
concerned	inquieto
concerned	interesado
concerned	preocupado
concerning	acerca de
concernment	importancia
concert	concierto
concerto	concierto
concession	concesión
concession	privilegio
concessionaire	concesionario
concessionary	concesionario
conch	concha
conciliate	conciliar
conciliate	propiciar
conciliation	conciliación
conciliatory	conciliador
concise	breve
concise	conciso
concise	sucinto
conciseness	concisión
concision	concisión
conclave	cónclave
conclude	colegir
conclude	concluir
conclude	deducir
conclude	fenecer
conclude	finalizar
conclude	finalizarse
conclude	finiquitar
conclude	terminar
conclude	ultimar
conclusion	conclusión
conclusion	final
conclusion	finalización
conclusive	concluyente
concoct	forjar
concoct	inventar
concoct	mezclar
concoct	preparar
concoction	mezcla
concomitant	concomitante
concord	acorde
concord	acuerdo
concord	armonía
concord	concordia
concord	convenio
concord	unidad
concordance	armonía
concordance	concordancia
concordance	conformidad
concordant	concordante
concordant	concorde
concordant	conforme
concordat	concordato
concourse	concurrencia
concourse	concurso
concourse	gentío
concrete	concreto
concrete	hormigón
concretion	concreción
concretize	concretizar
concubinage	concubinato
concubine	barragana
concubine	concubina
concubine	manceba
concupiscence	concupiscencia
concupiscent	concupiscente
concur	coincidir
concur	concurrir
concurrence	acuerdo
concurrence	asentimiento
concurrence	coincidencia
concurrence	consenso
concurrence	convenio
concurrent	coexistente
concurrent	simultáneo
concuss	sacudir
concussion	conmoción
concussion	sacudida
condemn	anatematizar
condemn	condenar
condemn	desaprobar
condemn	reprobar
condemn	sentenciar
condemnable	reprobable
condemnation	condena
condemnation	condenación
condemnation	reprobación
condemnatory	condenatorio
condemned	condenado
condensation	condensación
condense	abreviar
condense	compendiar
condense	condensar
condense	epitomar
condense	reducir
condenser	condensador
condescend	dignarse
condiment	condimento
condition	circunstancia
condition	condicionar
condition	condición
condition	estado
conditional	condicional
