shuck	sgusciare
shudder	brivido
shuffle	mescolare
shuffle	mischiare
shuffle	rimescolare
shuffling	mescolata
shun	evitare
shun	fuggire
shut	chiudere
shut	chiuso
shut	serrare
shut	serrato
shut out	escludere
shutdown	interruzione
shutoff	arresto
shutter	imposta
shutter	otturatore
shutter	persiana
shutter	scuretto
shutter	serranda
shuttle	shuttle
shy	adombrarsi
shy	ombroso
shy	pauroso
shy	peritoso
shy	schivo
shy	timido
shyness	ritrosia
shyness	timidezza
siamese	siamese
sibling	fratello
sibyl	sibilla
sick	ammalato
sick	infermo
sick	malato
sick	sofferente
sicken	disgustare
sickening	disgustoso
sickening	nauseabondo
sickening	nauseante
sickening	ripugnante
sickle	falce
sickle	falcetto
sickly	debole
sickly	malaticcio
sickly	malsano
sickness	malanno
sickness	malattia
sickness	male
side	alterigia
side	aspetto
side	banda
side	boria
side	canto
side	collaterale
side	faccia
side	fianco
side	laterale
side	lato
side	parte
side	parteggiare
side	partito
side	secondario
side	sponda
sideboard	credenza
sidekick	compagno
sidelong	laterale
sidelong	obliquo
sidereal	siderale
sidereal	sidereo
siderite	siderite
sidestep	scansare
sidewalk	marciapiede
sideways	laterale
sideways	obliquo
siege	assedio
siesta	siesta
sieve	buratto
sieve	cola
sieve	crivello
sieve	setaccio
sieve	staccio
sieve	vaglio
sift	cernere
sift	distinguere
sift	setacciare
sift	vagliare
sifter	buratto
sifting	cernita
sifting	stacciatura
sigh	sospirare
sigh	sospiro
sight	aspetto
sight	avvistare
sight	cospetto
sight	mira
sight	scorgere
sight	spettacolo
sight	veduta
sight	vista
sightless	cieco
sightseer	escursionista
sightseer	turista
sign	accennare
sign	affisso
sign	cartello
sign	cenno
sign	contrassegnare
sign	contrassegno
sign	firmare
sign	impronta
sign	indizio
sign	insegna
sign	scudo
sign	segnale
sign	segnare
sign	segno
sign	simbolo
sign	sottoscrivere
sign	traccia
signal	cenno
signal	segnalare
signal	segnale
signaling	segnalazione
signalize	segnalare
signalling	segnalazione
signalling	segnaletica
signatory	firmatario
signature	firma
signature	marchio
signature	segnatura
signature	segno
signboard	cartello
signboard	insegna
signed	marcato
signer	firmatario
signet	sigillo
significance	importanza
significance	peso
significance	portata
significance	rilievo
significance	significato
significant	eloquente
significant	importante
significant	significante
significant	significativo
signify	significare
signify	volere dire
signor	signore
signora	signora
signorina	signorina
signpost	cartello stradale
silage	insilamento
silage	silaggio
silence	chetare
silence	reprimere
silence	ridurre al silenzio
silence	silenzio
silencer	silenziatore
silent	calmo
silent	equilibrato
silent	muto
silent	silente
silent	silenzioso
silent	tacito
silent	taciturno
silent	zitto
silhouette	sagoma
silhouette	siluetta
silica	silice
silicate	silicato
silicious	siliceo
silicon	silicio
silicone	silicone
silicosis	silicosi
silk	seta
silken	serico
silkworm	baco da seta
silkworm	bigatto
silky	delicato
silky	serico
silliness	sciocchezza
silly	fatuo
silly	imbecille
silly	pazzo
silly	scemo
silly	sciocco
silly	stolto
silly	stupido
silo	silo
silt	limo
silver	argentare
silver	argenteo
silver	argento
silver	inargentare
silversmith	argentiere
silvery	argenteo
silviculture	selvicoltura
silviculture	silvicoltura
simian	scimmiesco
