millennial	millenario
millepede	millepiedi
miller	fresatrice
miller	mugnaio
millet	miglio
milliard	bilione
milliard	miliardo
millibar	millibar
milligram	milligrammo
millimeter	millimetro
millimetre	millimetro
milliner	modista
milling	macinatura
milling	macinazione
milling	molitura
million	milione
millionaire	milionario
millionth	milionesimo
millstone	macina
millstone	mola
milt	latte di pesce
mime	mimo
mime	pantomima
mimeograph	ciclostile
mimesis	mimetismo
mimic	contraffare
mimic	imitare
mimic	imitatore
mimic	mimico
mimicry	mimetismo
mimicry	mimica
mimosa	mimosa
minacious	minaccioso
minaret	minareto
mind	badare
mind	curarsi di
mind	giudizio
mind	idea
mind	intelletto
mind	mente
mind	parere
mind	ragione
mindful	attento
mindful	conscio
mindful	memore
mindless	irragionevole
mine	il mio
mine	mia
mine	mie
mine	mina
mine	miniera
mine	mio
miner	minatore
mineral	minerale
mineral water	acqua minerale
mineralization	mineralizzazione
mineralogical	mineralogico
mineralogist	mineralogista
mineralogy	mineralogia
mingle	confondersi
mingle	mescolare
mingle	mischiare
miniature	miniatura
miniaturization	miniaturizzazione
minim	minima
minimal	minimo
minimization	minimizzazione
minimum	minimo
mining	estrazione
mining	industria mineraria
mining	minerario
minion	servo
minister	ministro
minister	parroco
ministerial	ministeriale
ministration	assistenza
ministry	clero
ministry	dicastero
ministry	ministero
minium	minio
mink	visone
minor	minore
minor	minorenne
minor	minorita
minority	minoranza
minster	cattedrale
minster	chiesa
minster	duomo
minstrel	menestrello
mint	battere
mint	coniare
mint	menta
mint	zecca
mintage	coniatura
minuend	minuendo
minuet	minuetto
minus	meno
minute	istante
minute	minuscolo
minute	minuto
minute	minuto primo
minute	momento
minute	processo verbale
minute	verbale
minuteness	minutezza
miracle	meraviglia
miracle	miracolo
miraculous	miracoloso
miraculous	prodigioso
mirage	miraggio
mire	pantano
mirror	riflettere
mirror	specchio
mirth	allegria
mirth	gioia
mirthfulness	gaiezza
mirthless	mesto
mirthless	triste
miry	paludoso
misadventure	disavventura
misadventure	disgrazia
misadventure	incidente
misadventure	infortunio
misanthrope	misantropo
misanthropic	misantropico
misanthropist	misantropo
misanthropy	misantropia
misapprehend	fraintendere
misapprehension	equivoco
misapprehension	malinteso
misbegotten	bastardo
misbegotten	illegittimo
misbeliever	miscredente
miscarriage	aborto
miscarriage	fallimento
miscarriage	insuccesso
miscarry	abortire
miscellaneous	eterogeneo
miscellaneous	miscellaneo
miscellaneous	misto
miscellany	mescolanza
mischance	disdetta
mischance	sfortuna
mischief	birichinata
mischievous	birichino
mischievous	cattivello
mischievous	dannoso
mischievous	maligno
mischievous	malizioso
mischievous	nocivo
miscible	miscibile
misconduct	adulterio
misconstrue	fraintendere
miscreant	canaglia
miscreant	furfante
miscreant	miscredente
miscreant	scellerato
misdeed	crimine
misdeed	misfatto
misdoing	misfatto
miser	avaro
miser	taccagno
miserable	disgraziato
miserable	infelice
miserable	meschino
miserable	miserabile
miserable	miserando
miserable	misero
miserable	povero
miserable	sventurato
miserly	avaro
miserly	taccagno
misery	indigenza
misery	miseria
misery	penuria
misery	sofferenza
misery	strazio
misery	supplizio
misery	tormento
misfire	fallire
misfire	far cilecca
misfortune	disgrazia
misfortune	iattura
misfortune	riverso
misfortune	sfortuna
misfortune	sventura
misgiving	apprensione
misgiving	timore
mishandle	malmenare
mishandle	maltrattare
mishandle	strapazzare
mishap	contrattempo
mishap	disavventura
mishap	incidente
mishap	infortunio
mishear	fraintendere
mishmash	guazzabuglio
mislead	ingannare
misleading	ingannevole
misogynist	misogino
