wagon	carro merci
wagoner	carrettiere
wagtail	ballerina
wagtail	cutrettola
wail	lamentare
wail	lamento
wail	pianto
wailing	lamentazione
wailing	lamento
wain	carro
waist	cintola
waist	cintura
waist	vita
waistband	cintura
waistcoat	panciotto
wait	aspettare
wait	attendere
wait	indugiare
wait on	servire
waiter	cameriere
waiting	attesa
waitress	cameriera
wake	destare
wake	svegliare
wake	veglia
wake	vegliare
wake up	svegliare
wake up	svegliarsi
wakeful	insonne
wakeful	sveglio
wakeful	vigilante
wakeful	vigile
wakefulness	vigilanza
waken	destare
waken	risvegliare
walk	camminare
walk	camminata
walk	deambulare
walk	giro
walk-on	comparsa
walkable	praticabile
walker	camminatore
walker	pedone
wall	muraglia
wall	muro
wall	parete
wall up	murare
wallet	portafogli
wallet	portafoglio
wallet	portamonete
wallop	bastonare
wallop	birra
wallop	botta
wallop	percossa
wallop	picchiare
wallow	avvoltolarsi
wallow	voltolarsi
wallpaper	carta da parati
walnut	noce
waltz	valzer
wand	bacchetta
wander	errare
wander	girovagare
wander	peregrinare
wander	ramingare
wander	vagabondare
wander	vagare
wanderer	giramondo
wanderer	girovago
wanderer	vagabondo
wandering	ambulante
wandering	errabondo
wandering	errante
wandering	nomade
wandering	ramingo
wandering	vagante
wane	calare
wane	declino
wane	decrescere
wank	masturbarsi
wanness	pallore
want	bisogno
want	deficienza
want	desiderare
want	desiderio
want	esigenza
want	indigenza
want	mancanza
want	miseria
want	occorrere
want	volere
wanted	ricercato
wanted	richiesto
wanton	arbitrario
wanton	capriccioso
wanton	impudico
wanton	lascivo
wanton	licenzioso
wanton	sbrigliato
war	bellico
war	guerra
war	guerresco
warble	cantare
ward	pupillo
ward	quartiere
ward	reparto
ward	rione
warder	custode
wardrobe	armadio
wardrobe	guardaroba
ware	articoli
ware	mercanzia
ware	merce
warehouse	deposito
warehouse	emporio
warehouse	magazzino
warehouseman	magazziniere
warehousing	immagazzinamento
warehousing	magazzinaggio
warlike	bellico
warlike	bellicoso
warlike	guerresco
warlike	militare
warm	ardente
warm	caldo
warm	caloroso
warm	cordiale
warm	riscaldare
warm	riscaldarsi
warm	scaldare
warm	scaldarsi
warm up	riscaldare
warm-blooded	a sangue caldo
warm-up	riscaldamento
warming	riscaldamento
warmonger	guerrafondaio
warmongering	bellicismo
warmth	ardore
warmth	caldo
warmth	calore
warn	ammonire
warn	avvertire
warn	avvisare
warn	diffidare
warning	ammonimento
warning	ammonitore
warning	ammonizione
warning	avvertenza
warning	avvertimento
warning	avviso
warning	diffida
warning	preavviso
warp	alzaia
warp	ordito
warp	tonneggio
warping	deformazione
warping	distorsione
warrant	garantire
warrant	giustificare
warrant	mandato
warrant	ordine
warrantable	giustificabile
warranter	garante
warrantor	garante
warrantor	mallevadore
warranty	garanzia
warrior	guerriero
wart	escrescenza
wart	porro
wart	verruca
wary	accorto
wary	cauto
wary	circospetto
wary	guardingo
wary	prudente
was	fu
wash	bagnare
wash	biancheria
wash	bucato
wash	inumidire
wash	lavaggio
wash	lavare
wash	lavata
wash	lavatura
wash	lozione
washable	lavabile
washer	lavatore
washer	lavatrice
washerwoman	lavandaia
washing	lavaggio
washing	lavata
washing	lavatura
washing machine	lavabiancheria
washy	debole
washy	fiacco
washy	insipido
washy	smorto
wasp	vespa
wassail	bevuta
wastage	spreco
