organ	organo
organic	organico
organisation	organizzazione
organise	organizzare
organism	organismo
organist	organista
organization	organizzazione
organizational	organizzativo
organize	allestire
organize	ordinare
organize	organizzare
organizer	organizzatore
organza	organza
orgasm	orgasmo
orgy	orgia
oriel	finestra sporgente
orient	orientale
orient	oriente
oriental	orientale
orientalist	orientalista
orientation	orientamento
orientation	orientazione
orifice	apertura
orifice	bocca
orifice	orificio
orifice	orifizio
origin	origine
origin	principio
origin	provenienza
original	iniziale
original	originale
original	originario
originate	causare
originate	nascere
originate	provenire
origination	origine
origination	provenienza
originator	autore
originator	creatore
originator	iniziatore
oriole	oriolo
oriole	rigogolo
orison	orazione
orison	preghiera
ornament	ornamento
ornamental	decorativo
ornamental	ornamentale
ornamentation	abbellimento
ornamentation	decorazione
ornamentation	ornamento
ornithological	ornitologico
ornithologist	ornitologo
ornithology	ornitologia
orographic	orografico
orography	orografia
orphan	orfano
orphanage	orfanotrofio
orthochromatic	ortocromatico
orthoclase	ortoclasio
orthodox	ortodosso
orthodoxy	ortodossia
orthogonal	ortogonale
orthographic	ortografico
orthographical	ortografico
orthography	ortografia
orthopaedic	ortopedico
oscillate	oscillare
oscillation	oscillazione
oscillator	oscillatore
oscillatory	oscillatorio
oscillograph	oscillografo
oscilloscope	oscilloscopio
osculate	baciare
osier	vimine
osmium	osmio
osmose	osmosi
osmosis	osmosi
osmotic	osmotico
osseous	osseo
ossification	ossificazione
ossuary	ossario
ostensible	apparente
ostensible	preteso
ostentation	pompa
ostentatious	ostentativo
ostentatious	ostentato
ostentatious	pomposo
ostrich	struzzo
other	altra
other	altro
other	diverso
otherwise	altrimenti
otherwise	diversamente
otherwise	se no
otic	auricolare
otiose	inutile
otiose	ozioso
otiose	superfluo
otter	lontra
ottoman	divano
ottoman	ottomana
ounce	oncia
our	nostra
our	nostre
our	nostri
our	nostro
ours	nostra
ours	nostro
oust	espellere
oust	rimuovere
out	all'aperto
out	fuori
out	fuori di
out of	da
out of work	disoccupato
out-of-date	antiquato
out-of-the-way	remoto
outbreak	eruzione
outbreak	esplosione
outbreak	scoppio
outburst	eruzione
outburst	esplosione
outburst	scatto
outburst	scoppio
outcast	paria
outclass	surclassare
outcome	esito
outcome	risultanza
outcome	risultato
outcrop	affioramento
outcry	grido
outcry	protesta
outdated	antiquato
outdated	sorpassato
outdistance	distanziare
outdistance	lasciare indietro
outdistance	sorpassare
outdo	sorpassare
outdoors	all'aperto
outdoors	fuori
outer	esteriore
outer	esterno
outfall	foce
outfit	attrezzare
outfit	attrezzatura
outfit	corredare
outfit	corredo
outfit	dotazione
outfit	equipaggiamento
outfit	equipaggiare
outfit	fornitura
outflow	efflusso
outflow	uscita
outgoing	uscente
outgoings	spese
outgrowth	conseguenza
outgrowth	protuberanza
outhouse	capanna
outhouse	rimessa
outing	escursione
outing	gita
outlandish	bizzarro
outlandish	esotico
outlandish	strano
outlandish	stravagante
outlaw	bandito
outlaw	criminale
outlaw	fuorilegge
outlaw	proscritto
outlawry	bando
outlay	dispendio
outlay	sborso
outlay	spesa
outlet	apertura
outlet	spaccio
outlet	uscita
outline	abbozzare
outline	abbozzo
outline	contorno
outline	delineare
outline	profilare
outline	sagoma
outline	sbozzare
outline	schema
outline	schizzare
outline	schizzo
outlive	sopravvivere
outlook	prospettiva
outlook	veduta
outlook	vista
outlying	lontano
outlying	remoto
outmoded	antiquato
outmoded	invecchiato
outpouring	effusione
outpouring	sfogo
output	esito
output	lavoro
output	prodotto
output	produzione
