clothe	vestire
clothes	panni
clothing	abbigliamento
clothing	vestiario
clotting	coagulazione
cloud	annuvolare
cloud	nembo
cloud	nube
cloud	nugolo
cloud	nuvola
cloud	nuvolo
cloud	oscurare
cloud over	annuvolarsi
cloudburst	nubifragio
cloudy	nuvoloso
clout	colpire
clove	spicchio
clover	trifoglio
clown	buffone
clown	pagliaccio
clownishness	rozzezza
club	bastone
club	circolo
club	clava
club	club
club	mazza
club	picchiare
club	randello
clubbable	socievole
clubby	socievole
cluck	chiocciare
clueless	stupido
clumsy	goffo
clumsy	maldestro
cluster	mazzo
clutch	adunghiare
clutch	afferrare
clutch	avvinghiare
clutch	frizione
clutch	innesto
clutch	morsa
clutch	stretta
clutter	disordine
clutter	scompiglio
clyster	clisma
clyster	clistere
co-operate	collaborare
co-operate	cooperare
co-operation	collaborazione
co-operation	cooperazione
co-operative	cooperativo
co-operator	cooperatore
co-opt	cooptare
co-optation	cooptazione
co-ordinate	coordinare
co-ordinate	coordinata
co-ordinator	coordinatore
co-owner	comproprietario
coach	allenare
coach	allenatore
coach	autobus
coach	carrozza
coach	carrozza ferroviaria
coach	corriera
coach	diligenza
coach	pullman
coach	torpedone
coach	vettura
coachman	cocchiere
coachman	vetturino
coagulate	coagulare
coagulation	coagulazione
coal	carbone
coalesce	fondersi
coalescence	fusione
coalition	coalizione
coarse	grezzo
coarse	grossolano
coarse	rozzo
coarse	rude
coarse	ruvido
coarse	triviale
coarse	volgare
coarse-grained	a grana grossa
coarseness	grossezza
coarseness	rozzezza
coarseness	rudezza
coast	costa
coast	litorale
coast	riviera
coastal	costiero
coastal	litoraneo
coat	cappotto
coat	giacca
coat	giubba
coat	involucro
coat	mano
coat	mantello
coat	soprabito
coat	strato
coat of arms	stemma
coating	mano
coating	rivestimento
coauthor	coautore
coaxial	coassiale
cobalt	cobalto
cobble	acciottolare
cobbler	calzolaio
cobbler	ciabattino
cobra	cobra
cobweb	ragna
cobweb	ragnatela
coca	coca
cocaine	cocaina
coccus	cocco
coccygeal	coccigeo
coccyx	coccige
cochlea	coclea
cock	cane
cock	galletto
cock	gallo
cock	rubinetto
cock	valvola
cock-a-hoop	euforico
cockade	coccarda
cockchafer	maggiolino
cockeyed	assurdo
cockiness	presunzione
cockle	grinza
cockroach	blatta
cockroach	scarafaggio
cocksfoot	erba mazzolina
cocksure	presuntuoso
cocky	impertinente
cocky	impudente
cocky	presuntuoso
cocoa	cacao
cocoanut	cocco
coconut	cocco
cocoon	bozzolo
cod	merluzzo
coda	coda
coddle	coccolare
code	cifrare
code	codice
code	codificare
codeine	codeina
coder	codificatore
codex	codice
codfish	merluzzo
codification	codificazione
coding	codificazione
coed	misto
coeducation	coeducazione
coefficient	coefficiente
coenobite	cenobita
coenobitic	cenobitico
coerce	costringere
coerce	forzare
coerce	imporre
coerce	obbligare
coercion	coazione
coercion	coercizione
coercive	coercitivo
coeval	coetaneo
coeval	contemporaneo
coexist	coesistere
coexistence	coesistenza
coffee	caffè
coffer	cassa
coffin	bara
coffin	cassa da morto
coffin	feretro
cog	dente
cogent	convincente
cogent	persuasivo
cogitable	concepibile
cogitable	pensabile
cogitate	cogitare
cogitate	meditare
cogitation	meditazione
cognac	brandy
cognac	cognac
cognate	affine
cognate	analogo
cognate	congiunto
cognate	parente
cognitive	conoscitivo
cognizable	riconoscibile
cognizance	conoscenza
cognomen	soprannome
cohabitation	convivenza
cohere	aderire
coherence	coerenza
coherence	connessione
coherency	coerenza
coherency	connessione
coherent	coerente
coherent	intelligibile
coherent	logico
