impossible	nemožný
impostor	podvodník
imposture	podvod
impotence	bezmocnosť
impotence	impotencia
impotence	nemohúcnosť
impotence	neschopnosť
impotence	slabosť
impotency	bezmocnosť
impotency	impotencia
impotency	nemohúcnosť
impotency	neschopnosť
impotency	slabosť
impound	zabaviť
impoverish	ochudobniť
impoverishment	vyčerpanie
impoverishment	vyčerpanosť
impracticable	neuskutočniteľný
imprecise	nepresný
impregnable	nedobytný
impregnate	impregnovať
impregnate	oplodniť
impregnate	zúrodniť
impregnating	impregnačný
impregnation	impregnácia
impress	imponovať
impress	vtlačiť
impress	zapôsobiť
impressibility	citlivosť
impression	dojem
impression	odtlačok
impression	vtlačenie
impression	účinok
impressionability	citlivosť
impressive	pôsobivý
imprint	odtlačok
imprison	uväzniť
imprisonment	väzenie
improbability	nepravdepodobnosť
improbable	nepravdepodobný
improper	neslušný
improper	nesprávny
improper	nevhodný
improve	vylepšiť
improve	zdokonaliť
improve	zepšovať
improve	zlepšiť
improve	zlepšiť sa
improve	zvýšiť
improvement	pokrok
improvement	vylepšenie
improvement	zdokonalenie
improvement	zlepšenie
improvements	zlepšenie
improver	zlepšovateľ
improvise	improvizovať
improvised	improvizovaný
imprudence	nerozum
imprudence	nerozumnosť
impudence	bezočivosť
impudence	drzosť
impudent	drzý
impugn	napadnúť
impugn	pochybovať
impulse	impulz
impulse	nutkanie
impulse	náraz
impulse	podnet
impulse	popud
impulse	stimul
impulsion	podnet
impulsive	vznetlivý
impunity	beztrestnosť
impure	nečistý
impurity	nečistota
imputation	obvinenie
in	dnu
in	dovnútra
in	v
in	vnútri
in	vo
in	vo vnútri
in a flash	bleskovo
in a trice	okamžite
in addition	dodatočne
in addition	naviac
in addition to	okrem
in advance	dopredu
in all	úhrnom
in an instant	okamžite
in any case	každopádne
in brief	krátko
in brief	stručne
in case	ak
in color	farebne
in common	spoločne
in compliance with	podľa
in doubt	neistý
in exchange for	za
in fact	skutočne
in fact	vlastne
in front	vpredu
in front of	pred
in general	všeobecne
in good faith	četne
in no time	obratom
in no time	okamžite
in order that we	aby sme
in order to	aby
in part	hlavne
in particular	hlavne
in particular	zvášť
in person	osobne
in place of	miesto
in short	skrátka
in so far	natoľko
in that case	teda
in the afternoon	doobeda
in the end	nakoniec
in the first place	predovšetkým
in the least	prinajmenšom
in the long term	dlhodobo
in the meantime	zatiaľ
in the middle	uprostred
in the morning	dopoludnie
in the name of	menom
in the reign of	za
in view of	vzhľadom
in words	slovami
in writing	písomne
in-house	domáci
in-house	vnútropodnikový
inability	neschopnosť
inaccessible	nedostupný
inaccessible	neprístupný
inaccessible	uzavretý
inaccuracy	nepresnosť
inaccurate	nepresný
inactivate	zničiť
inactivated	zrušený
inactivation	zrušenie
inactive	lenivý
inactive	neaktívny
inactive	nečinný
inactive	pasívny
inadequate	nedostatočný
inadequate	neprimeraný
inadmissible	neprípustný
inadvertent	neúmyselný
inalterable	nezmeniteľný
inane	hlúpy
inane	nezmyselne
inane	nezmyselný
inanimate	bezduchý
inanimate	neživý
inapplicable	nepoužiteľný
inappropriate	nevhodný
inarticulate	nezrozumiteľný
inasmuch	keďže
inasmuch as	pretože
inattention	nepozornosť
inattentive	nepozorný
inaudible	nečujný
inaudible	tichý
inaugurate	uviesť
inaugurate	zahájiť
inauguration	uvedenie
inauspicious	neblahý
inborn	vrodený
incalculable	nevyčísliteľný
incandescent lamp	žiarovka
incapability	neschopnosť
incapable	neschopný
incarcerate	uväzniť
incarcerate	zavrieť
incendiary	zápalný
incense	kadidlo
incense	páliť
incentive	podnet
incertitude	neistota
incest	krvismilstvo
inch	kúsok
inch	palec
inchoate	začiatočný
inchoative	začiatočný
incidence	dopad
incidence	výskyt
incident	epizóda
incident	príhoda
incident	prípad
incident	udalosť
incidental	náhodný
incidentally	mimochodom
incidentally	náhodou
incidents	správy
incision	porezanie
incision	rez
incisor	rezák
incite	podnecovať
incitement	podnet
