orangeade	oranžáda
orator	rečník
oratory	oratórium
orb	guľa
orb	guľe
orbit	obiehať
orchestra	orchester
orchestral	orchestrálny
orchestrate	organizovať
orchid	orchidea
ordain	nariadiť
ordain	stanoviť
ordain	určiť
ordain	ustanoviť
ordeal	utrpenie
order	druh
order	inštrukcia
order	nakázať
order	nariadenie
order	nariadiť
order	nariaďovať
order	objednať
order	objednávať
order	objednávka
order	pokoj
order	poradie
order	poriadok
order	postupnosť
order	prikázať
order	príkaz
order	rad
order	rehoľa
order	rozhodnutie
order	rozkaz
order	rozkazovať
order	rozkázať
order	smernica
order	stav
order	určiť
order	usporiadanie
order	usporiadať
order	ustanoviť
order	veliť
order	zakázka
order	zoradiť
ordering	organizácia
ordering	usporiadanie
orderly	poriadny
orderly	riadny
orderly	upravený
ordinal	rádový
ordinance	nariadenie
ordinance	výnos
ordinarily	bežne
ordinarily	zvyčajne
ordinary	bežný
ordinary	normálny
ordinary	obvyklý
ordinary	obyčajný
ordinary	priemerný
ordinary	všedné
ordinary	všedný
ordnance	arzenál
ordure	hnoj
ordure	výkaly
ore	ruda
organ	orgán
organ-loft	chór
organic	organický
organisation	organizácia
organisational	organizačný
organise	organizovať
organised	organizovaný
organiser	organizátor
organism	organizmus
organist	organista
organization	organizácia
organization	usporiadanie
organizational	organizačný
organizations	organizácia
organize	organizovať
organize	usporiadať
organize	utriediť
organize	zrovnať
organized	organizovaný
organizer	organizátor
organizer	usporiadateľ
organizer	zriaďovateľ
organizing	organizačný
orgasm	orgazmus
orgy	orgie
orient	orient
orient	orientovať
oriental	orientálny
orientalist	orientalista
orientate	orientovať
orientate	smerovať
orientated	zameraný
orientation	orientácia
oriented	orientovaný
orifice	otvor
orifice	ústie
origin	počiatok
origin	pôvod
origin	vznik
origin	začiatok
origin	zdroj
original	originál
original	originálny
original	počiatočný
original	pravý
original	prvotný
original	pôvodný
original	svojrázny
original	východzí
originally	originálne
originally	pôvodne
originate	pochádzať
originate	skrsnúť
originate	spôsobiť
originate	vytvoriť
originate	vyvolať
originate	vznikať
originate	vzniknúť
originate	zapríčiniť
origination	pôvod
originator	pôvodca
originator	tvorca
ornament	dekorácia
ornament	krášliť
ornament	okrasa
ornament	ornament
ornament	ozdoba
ornament	zdobiť
ornate	kvetnatý
orphan	sirota
orphanage	sirotinec
orthodox	konvenčný
orthodox	obvyklý
orthodox	ortodoxný
orthodox	pravoverný
orthographic	pravopisný
orthography	pravopis
orthopaedist	ortopéd
orthopedic	ortopedický
os	kosť
oscillate	kmitať
oscillate	kolísať
oscillate	oscilovať
oscillate	vibrovať
oscillate	váhať
oscillation	chvenie
oscillation	kmitanie
oscillation	kolísanie
oscillation	oscilácia
oscillator	oscilátor
oscillograph	oscilograf
oscilloscope	osciloskop
osculate	bozkávať
osculation	bozkanie
osmosis	osmóza
osseous	kostený
osseous	kostný
ossification	kostnatenie
ossification	skostnatenie
ossification	skostnatenosť
ossify	kostnatieť
ossify	skostnatieť
ossuary	kostnica
ostensible	predstieraný
ostensible	zdanlivý
ostensible	údajný
ostensibly	zdanlivo
ostensibly	údajne
ostentation	okázalosť
ostentatious	okázalý
ostentatious	ostentatívny
ostentatious	vystatovačný
ostentatiously	okázalo
ostracize	vyobcovať
ostrich	pštros
ostrich	pštrosí
other	druhý
other	iný
other	opačný
other	ostatný
otherness	odlišnosť
otherwise	inak
otherwise	inakšie
otherwise	ináč
otiose	zbytočný
otter	vydra
ottoman	otoman
ottoman	pohovka
ounce	trocha
ounce	unca
ourselves	seba
oust	odstrániť
oust	vytlačiť
out	preč
