persecute	prenasledovať
persecuting	prenasledovanie
persecution	prenasledovanie
persecutor	prenasledovateľ
perseverance	trvanie
perseverance	vytrvalosť
persevere	vytrvať
persevere	zostať
persevered	zostal
persist	zotrvať
persistence	stálosť
persistence	trvanie
persistence	vytrvalosť
persistency	vytrvalosť
persistent	neodbytný
persistent	neústupný
persistent	vytrvalý
persistently	neustále
person	osoba
person	rola
person	človek
persona	osobnosť
personae	osobnosť
personage	osobnosť
personal	osobný
personal	personálny
personality	osobnosť
personally	osobne
personate	predstavovať
personate	stelesniť
personification	stelesnenie
personify	zosobniť
personnel	zamestnanci
perspective	perspektíva
perspective	pohľad
perspective	stanovisko
perspective	výhľad
perspicacious	bystrý
perspicacity	bystrosť
perspicacity	prezieravosť
perspicuous	zreteľný
perspicuously	zrozumiteľne
perspiration	pot
perspire	potiť sa
persuade	prehovoriť
persuade	presvedčiť
persuaded	presvedčený
persuasion	prehováranie
persuasion	presvedčenie
persuasive	presvedčivý
persuasively	presvedčivo
pert	smelý
pert	trúfalý
pertain	týkať sa
pertinacious	tvrdošijný
pertinacity	vytrvalosť
pertinency	vhodnosť
pertinent	príslušný
pertness	trúfalosť
perturb	rušiť
perturbation	porucha
perturbation	rušenie
perturbation	zmätok
perturbed	zmätený
peruse	prečítať
pervasive	prenikavý
perversion	prekrútenie
perversity	perverznosť
pervert	pokaziť
pervert	prevrátiť
pervious	priepustný
pesky	otravný
pessimism	pesimizmus
pessimist	pesimista
pessimistic	pesimistický
pest	škodca
pester	trápiť
pestiferous	obtiažny
pestilence	mor
pestilential	obtiažny
pestle	tĺcť
pet	miláčik
petal	plátok
petition	petícia
petition	žiadosť
petitioner	žiadateľ
petrifaction	skamenenie
petrification	skamenenie
petrol	benzín
petrol	benzínový
petroleum	ropa
petticoat	spodnička
pettifogging	malicherný
pettiness	drobnosť
petty	bezvýznamný
petty	malicherný
petty	malý
petty officer	poddôstojník
pew	lavica
pewter	cín
phalanx	falanga
phantasm	prelud
phantasy	fantázia
phantasy	predstava
phantom	fantóm
phantom	prízak
phantom	prízrak
pharisee	farizej
pharmaceutical	farmaceutický
pharmaceuticals	lieky
pharmacology	farmakológia
pharmacopoeia	liekopis
pharmacy	farmácia
pharmacy	lekáreň
phase	fáza
phase	štádium
phasing	fázovanie
pheasant	bažant
phenomen	jav
phenomena	jav
phenomenon	fenomén
phenomenon	jav
phenomenon	úkaz
phial	ampulka
philanderer	záletník
philanthropic	dobročinný
philanthropy	dobročinnosť
philatelist	filatelista
philharmonic	filharmonický
philistine	nevzdelanec
philological	filologický
philologist	filológ
philology	filológia
philosopher	filozof
philosophic	filozofický
philosophical	filozofický
philosophize	filozofovať
philosophy	filozofia
philtre	nápoj lásky
phlegm	hlien
phlegm	ľahostajnosť
phlegmatic	flegmatický
phobia	fóbia
phone	telefonný
phone	telefonovať
phone	telefón
phone	telefónny
phone	volať
phone	zavolať
phone up	zavolať
phoned	zavolať
phoneme	fonéma
phonetic	fonetický
phonetics	fonetika
phoney	falošný
phonograph	gramofón
phony	falošný
phosphate	fosforečnan
phosphor	luminofor
phosphorescence	fosforescencia
phosphorus	fosfor
photo	fotka
photocathode	fotokatóda
photocell	fotónka
photocopy	fotokópia
photodiode	fotodióda
photoelectric	fotoelektrický
photograph	fotografovať
photographer	fotograf
photographic	fotografický
photography	fotografia
photography	fotografovanie
photosynthesis	fotosyntéza
phrase	fráza
phrase	frázy
phrase	povedal
phrases	frázy
phthisis	suchotiny
phyla	kmeň
phylactery	amulet
phylum	kmeň
physical	fyzický
physical	fyzikálny
physical	hmotný
physical	telesný
physical evidence	dôkaz
physical exercise	cvičenie
physical fitness	zdatnosť
physical training	telovýchova
physician	lekár
physicist	fyzik
physics	fyzika
physiognomy	fyziognómia
physiological	fyziologický
physiology	fyziológia
physique	stavba tela
pianist	klavirista
piano	klavír
piazza	námestie
pic	obrázok
