misbegotten	nemanželský
misbeliever	bludár
misbeliever	kacír
misbeliever	neveriaci
miscalculate	prerátať sa
miscall	nadávať
miscarriage	nezdar
miscarriage	neúspech
miscarriage	potrat
miscarry	potratiť
miscarry	stroskotať
miscellaneous	miešaný
miscellaneous	mnohostranný
miscellaneous	rozmanitý
miscellaneous	rôzne
miscellaneous	rôzny
miscellaneous	zmiešaný
miscellaneousness	rozmanitosť
miscellany	zborník
miscellany	zmes
mischance	nešťastie
mischance	smola
mischief	beťárstvo
mischief	darebáctvo
mischief	nezbednosť
mischief	nezbedník
mischief	nešťastie
mischief	zlo
mischief	úraz
mischief	škoda
mischievous	beťársky
mischievous	zlomyseľný
mischievous	zlý
mischievous	škodlivý
mischievousness	zlomyseľnosť
mischievousness	škodlivosť
misconduct	cudzoložstvo
misconduct	nevera
misconduct	prehrešok
miscount	prepočítať sa
miscreant	neveriaci
miscreant	podliak
misdeed	zločin
misdemeanor	prečin
misdemeanour	previnenie
misdemeanour	prečin
misdemeanour	priestupok
miser	lakomec
miser	skupáň
miserable	biedny
miserable	chatrný
miserable	chudobný
miserable	mizerný
miserable	nešťastný
miserable	úbohý
miseries	bieda
miserliness	lakomosť
miserly	lakomý
misery	bieda
misery	nešťastie
misery	núdza
misery	trápenie
misery	utrpenie
misfeasance	priestupok
misfire	zlyhanie
misfire	zlyhať
misfortune	nešťastie
misfortune	smola
misgiving	obava
misgiving	pochybnosť
misguide	pomýliť
misguide	zvádzať
misguidedly	chybný
mishandle	zle zaobchádzať
mishap	nehoda
mishap	nešťastie
mishear	prepočuť
mislay	odložiť
mislay	založiť
mislay	zapotrošiť
mislead	klamať
mislead	mýliť
mislead	mýliť sa
mislead	zviesť
mislead	zvádzať
mismanagement	korupcia
mismatch	nesúhlasiť
mismatch	nezhoda
misname	nadávať
misplace	odložiť
misremember	zabudnúť
misrepresentation	prekrútenie
miss	chýbať
miss	dievča
miss	minúť
miss	nemať
miss	nepočuť
miss	netrafiť
miss	opomenúť
miss	premeškať
miss	prepásť
miss	priepasť
miss	slečna
miss	uniknúť
miss	vymeškať
miss	vynechať
miss	zmeškať
misshape	deformovať
misshape	znetvoriť
misshapen	deformovaný
misshapen	zdeformovaný
misshapen	znetvorený
missile	raketa
missile	strela
missing	chýbajúci
missing	neprítomný
missing	nezvestný
missing	stratený
mission	delegácia
mission	misia
mission	poslanie
mission	posolstvo
mission	úloha
missionary	misionár
missive	prípis
mist	hmla
mist	mrholiť
mist	opar
mist	zákal
mistake	chyba
mistake	chýbať
mistake	mýliť sa
mistake	omyl
mistake	zmýliť sa
mistaken	chybný
mistaken	mylný
mistaken	nemiestny
mistaken	nesprávny
mistaken	nevhodný
mistaken	pomýlený
mistakenly	chybne
mistakenly	chybný
mistakenly	omylom
mister	pán
misters	páni
mistreat	zle zaobchádzať
mistress	majsterka
mistress	milenka
mistress	pani
mistress	vládkyňa
mistrust	nedôvera
mistrust	nedôverovať
mistrustful	nedôverčivý
misty	hmlistý
misty	nejasný
misty	zahmlený
misunderstand	nechápať
misunderstand	nerozumieť
misunderstanding	nedorozumenie
misunderstanding	nepochopenie
misuse	zneužitie
misuse	zneužiť
misuse	zneužívať
mitigate	upokojiť
mitigate	utíšiť
mitigate	zmierniť
mitigating	upokojujúci
mitigation	utíšenie
mitigation	zmiernenie
mitigation	zníženie
mitten	palčiak
mix	krížiť
mix	miešanie
mix	miešať
mix	namiešať
mix	pomiešať
mix	popliesť
mix	pripraviť
mix	zamiešať
mix	zmes
mix	zmiešať
mix in	primiešať
mix in	vmiešať
mix up	popliesť
mix up	premiešať
mix up	zmiešať
mix-up	chaos
mix-up	zmätok
mixed	miešaný
mixed	rozličný
mixed	zmiešaný
mixed up	zmätený
mixer	mixér
mixing	zmiešavanie
mixture	miešanie
mixture	zmes
mixture	zmiešanie
mixtures	zmesi
mizzle	mrholiť
moan	nariekať
