millipede	stonožka
millisecond	milisekunda
millivolt	milivolt
millivoltmeter	milivoltmeter
millrace	mlynský náhon
millstone	mlynský kameň
millstone	ťarcha
millstone	žarnov
milt	mliečie
milt	slezina
mime	mím
mime	napodobniť
mime	pantomíma
mimeograph	cyklostyl
mimeograph	rozmnožiť
mimeograph	rozmnožovať
mimic	imitovať
mimic	imitátor
mimic	napodobniť
mince	nakrájať
mince	nasekať
mince	rozkrájať
mince	rozsekať
mince	sekať
mincing	afektovaný
mincing	strojený
mind	chuť
mind	dbať
mind	dozerať
mind	duch
mind	hlava
mind	intelekt
mind	mienka
mind	mozog
mind	myseľ
mind	myslenie
mind	náhľad
mind	názor
mind	opatrovať
mind	rozum
mind	vedomie
mind	zmýšľanie
mind	úmysel
mind's eye	predstavivosť
mindbogglingly	úžasne
minded	ochotný
mindless	bezmyšlienkovitý
mindless	hlúpy
mindless	neinteligentný
mindless	nezmyselne
mindless	šialený
mindset	prístup
mine	baňa
mine	dobývať
mine	dolovať
mine	hrabať
mine	kopať
mine	mína
mine	môj
mine	ryť
mine	vyťažiť
mine	ťažiť
miner	baník
mineral	minerál
mineral	minerálny
mineral	nerast
mineral water	minerálka
mineralization	mineralizácia
minesweeper	mínolovka
mineworker	baník
mingle	miesiť
mingle	miešať
mingle	pomiešať
mingle	zmiešať
mingy	lakomý
mini	malý
mini	miniatúrny
miniature	malý
miniature	miniatúra
miniature golf	minigolf
miniaturisation	miniaturizácia
miniaturization	miniaturizácia
minibus	mikrobus
minimal	minimálny
minimally	minimálne
minimize	zmenšovať
minimum	minimum
minimum	minimálny
minimum	najnižší
mining	banský
mining	banícky
mining	dobývanie
mining	ťažba
minion	favorit
minion	miláčik
minion	obľúbenec
minion	prisluhovač
minister	duchovný
minister	farár
minister	minister
minister	vyslanec
ministerial	ministerský
ministrant	miništrant
ministration	starostlivosť
ministry	duchovenstvo
ministry	ministerstvo
minor	druhoradý
minor	maloletý
minor	malý
minor	menší
minor	nedospelý
minor	podradný
minor	vedľajší
minority	maloletosť
minority	menšina
minority	nedospelosť
minority	neplnoletosť
minster	dóm
minster	katedrála
minstrel	básnik
minstrel	spevák
mint	mincovňa
mint	mäta
mint	raziť
mint	vytvoriť
mintage	razenie
mints	zdroje
minuend	menšenec
minus	mínus
minuscule	bezvýznamný
minuscule	nepatrný
minute	chvíľa
minute	drobný
minute	koncept
minute	memorandum
minute	minúta
minute	moment
minute	nepatrný
minute	náčrt
minute	okamih
minute	okamžite
minute	podrobný
minute	presný
minutely	podrobne
minutely	presne
minuteness	drobnosť
minuteness	nepatrnosť
minuteness	presnosť
minutes	zápis
minutest	najmenší
minx	koketa
miracle	div
miracle	zázrak
miraculous	nadprirodzený
miraculous	podivuhodný
miraculous	zázračný
mirage	fatamorgána
mirage	ilúzia
mirage	prelud
mirage	prízak
mire	bahnisko
mire	bahno
mire	blato
mire	močiar
mire	ponoriť
mire	pošpiniť
mire	zašpiniť
mired	zablatený
mirror	odrážať
mirror	odzrkadľovať
mirror	zrkadlenie
mirror	zrkadliť
mirror	zrkadlo
mirror image	zrkadlový obraz
mirroring	zrkadlenie
mirth	radosť
mirth	smiech
mirth	veselosť
mirthful	radostný
mirthful	veselý
mirthfulness	veselica
mirthfulness	veselosť
mirthless	neradostný
mirthless	neveselý
miry	bahnitý
miry	močaristý
miry	zablatený
misadventure	nehoda
misadventure	nešťastie
misanthrope	mizantrop
misapplication	sprenevera
misapplication	zneužitie
misapply	spreneveriť
misapply	zneužívať
misapprehend	neporozumieť
misapprehension	nedorozumenie
misapprehension	nepochopenie
misappropriate	spreneveriť
misappropriate	zneužiť
misappropriation	sprenevera
