outward	zrejme
outwardly	navonok
outwards	navonok
outwear	vymazal
outweigh	vyvažovať
outwith	v
outworn	zastaraný
oval	ovál
oval	oválny
ovarian	vaječníkový
ovary	vaječník
ovation	ovácie
oven	pec
oven	rúra
over	cez
over	nad
over	ponad
over	príliš
over	skončiť
over there	tamto
over-filled	preplnený
over-full	preplnený
overact	preháňať
overall	celkom
overall	celkovo
overall	celkový
overall	generálny
overall	kombinéza
overall	totálny
overalls	montérky
overawe	zastrašiť
overbearing	arogantný
overbearing	najdôležitejší
overbearing	panovačný
overburden	preťažiť
overcast	prikryť
overcast	zamračený
overcast	zatiahnuté
overcharge	predražiť
overcharge	preťažiť
overcoat	kabát
overcoat	zvrchník
overcome	prekonať
overcome	premôcť
overcome	zdolať
overcome	zvíťaziť
overcomes	prekoná
overcook	prevariť
overcrowd	preplniť
overcrowded	preplnený
overdo	prehnať
overdo	preháňať
overdraw	prekročiť
overdraw	prečerpať
overdrive	rýchlobeh
overdue	oneskorený
overeat	prejesť sa
overestimate	nadhodnotiť
overfatigue	vyčerpanosť
overfatigue	vyčerpať
overfeed	prekrmovať
overflow	prekypovať
overflow	preliv
overflow	prepad
overflow	preplnenie
overflow	preplnení
overflow	pretekať
overflow	pretiecť
overflow	prietok
overflow	zaliať
overflow	zaplaviť
overflow	zatopiť
overflowed	preplnený
overflowing	preplnení
overfly	preletieť
overfull	preplnený
overground	nadzemný
overhand	vrchný
overhang	presah
overhang	presahovať
overhang	previs
overhang	prečnievať
overhang	vyloženie
overhaul	prehliadnuť
overhaul	prepracovať
overhaul	revidovať
overhaul	vyšetrovanie
overhead	horný
overhead	navrchu
overhead	réžia
overhead	stropný
overhead	visutý
overhead	vrchný
overheads	réžia
overheat	prehriať
overindulge	rozmazlovať
overland	pozemný
overlap	prekrývať
overlap	prekrývať sa
overlapping	presahujúci
overleap	preskočiť
overload	preťaženie
overload	preťažiť
overload	zahltenie
overload	zahltiť
overloading	preťaženie
overlook	nedbať
overlook	prehliadnuť
overly	moc
overly	príliš
overly	tuho
overmaster	ovládnuť
overmuch	príliš
overnight	nočný
overpass	nadjazd
overpay	preplatiť
overpopulation	preľudnenie
overpower	premôcť
overpressure	pretlak
overprint	pretlač
overprint	pretlačiť
overproduction	nadvýroba
overrate	nadhodnotiť
overrate	preceniť
override	anulovať
override	zrušiť
overriding	hlavný
overriding	potlačenie
overriding	prvoradý
overripe	prezretý
overrule	zamietnuť
overruled	zamietnutý
overrun	dobyť
overrun	obsadiť
overrun	prebehnutie
overrun	prebehnúť
overrun	prejsť
overrun	prekročiť
overrun	pretiecť
overrun	zabrať
overrun	zaplaviť
oversea	zámorie
oversea	zámorský
overseas	zámorský
overseer	dozorca
overseer	predák
oversensitive	precitlivený
overshadow	zatieniť
overshoot	prekročiť
oversight	nedopatrenie
oversight	prehliadnutie
oversleep	zaspať
overstay	prekročiť
overstep	prekročiť
overt	otvorený
overt	verejný
overtake	predbehnúť
overtake	predstihnúť
overthrow	prevrhnutie
overthrow	zvrhnutie
overthrow	zvrhnúť
overtime	nadčas
overtly	otvorene
overture	predohra
overturn	prevrátiť
overturn	prevrátiť sa
overvalue	nadhodnotiť
overview	prehľad
overweening	samoľúby
overweight	obézny
overwhelm	premôcť
overwhelm	zaplaviť
overwhelm	zdolať
overwhelming	ohromný
overwork	prepracovanosť
overwrite	prepísať
oviduct	vajcovod
ovine	ovčí
oviparous	vajcorodý
ovoid	vajcovitý
ovulation	ovulácia
ovule	vajíčko
ovum	vajíčko
owe	dlhovať
owe	vďačiť
owe	ďakovať
owing	dlhovať
owing	dlžný
owing	nezaplatený
owl	sova
own	mať
own	pripustiť
own	priznať
own	uznať
own	vlastniť
own	vlastný
owner	majiteľ
owner	vlastník
ownership	vlastníctvo
ox	vol
