daylight	úsvit
daylong	celodenný
days	dni
daytime	deň
daze	omráčiť
daze	omámiť
dazzle	oslepiť
dazzle	oslniť
dazzle	žiariť
de facto	faktický
de luxe	luxusný
de-energize	vypnúť
de-escalate	zmierňovať
deactivate	zneškodniť
dead	celkom
dead	mŕtvy
dead	neživý
dead	opustený
dead	zomrelý
dead	úplne
dead	úplný
dead body	mrtvola
deaden	otupiť
deaden	stlmiť
deaden	tlmiť
deaden	umŕtviť
deaden	zahubiť
deadhead	čierny pasažier
deadline	lehota
deadline	uzávierka
deadlock	zablokovanie
deadly	otravný
deadly	smrteľný
deadly	smrtiaci
deadness	prázdnota
deadwood	chrastie
deaf	hluchý
deaf	nepočujúci
deaf-and-dumb	hluchonemý
deaf-mute	hluchonemý
deaf-muteness	hluchonemosť
deaf-mutism	hluchonemosť
deafen	ohlušiť
deafening	ohlušujúci
deafness	hluchota
deal	dohoda
deal	jednanie
deal	jednať
deal	konať
deal	množstvo
deal	obchod
deal	pojednávať
deal	rokovanie
deal	rozdeliť
deal	vyjednávať
deal	časť
deal out	prideliť
deal out	rozdeliť
deal with st	riešiť
deal with st	vyriešiť
dealer	obchodník
dealership	jednateľstvo
dealing	jednanie
dealing	rokovanie
deallocate	uvolniť
dean	dekan
deanery	dekanstvo
deanship	dekanát
dear	drahý
dear	milá
dear	milý
dear	vážený
dear	úprimný
dearer	drahší
dearest	najdrahší
dearie	miláčik
dearly	draho
dearness	drahota
dearth	nedostatok
dearth	núdza
deary	miláčik
death	smrť
death	úmrtie
death-rate	úmrtnosť
deathless	nesmrteľný
deathly	smrteľný
debacle	debakel
debacle	katastrofa
debar	prekážať
debar	vylúčiť
debar	zabrániť
debarkation	vylodenie
debase	ponížiť
debase	znehodnotiť
debase	znížiť
debasement	poníženie
debasement	znehodnotenie
debasement	zníženie
debate	debata
debate	debatovať
debate	diskusia
debauched	zhýralý
debenture	dlhopis
debenture	obligácie
debenture bond	obligácie
debilitate	oslabiť
debility	slabosť
debit	debet
debit	dlh
debt	dlh
debt	podlžnosť
debt	závezok
debtor	dlžník
debts	dlh
debugging	ladenie
debunk	demaskovať
decade	dekáda
decade	desaťročie
decadence	úpadok
decadent	úpadkový
decagon	desaťuholník
decagram	dekagram
decahedron	desaťsten
decamp	zmiznúť
decampment	zmiznutie
decanal	dekanský
decant	preliať
decant	zliať
decasyllabic	desaťslabičný
decathlon	desaťboj
decay	dosvit
decay	doznievanie
decay	hnitie
decay	hniť
decay	kaziť sa
decay	rozklad
decay	rozkladať sa
decay	rozpad
decay	tlmenie
decay	upadať
decay	úbytok
decay	úpadok
decay	útlm
decayed	pokazený
decease	skonať
decease	smrť
decease	zomrieť
decease	úmrtie
deceased	zomrelý
deceased	zosnulý
decedent	zosnulý
deceit	klam
deceit	podvod
deceitful	klamný
deceitful	podvodný
deceitful	zradný
deceitful	zákerný
deceive	klamať
deceive	oklamať
deceive	podviesť
deceive	podvádzať
deceive	sklamať
deceiver	podvodník
decelerate	spomaliť
decelerate	spomaľovať
deceleration	spomalenie
decency	slušnosť
decennary	desaťročie
decennial	desaťročný
decent	mravný
decent	poriadny
decent	riadny
decent	slušný
decently	poriadne
decently	slušne
decentralization	decentralizácia
decentralize	decentralizovať
deception	klam
deception	klamanie
deception	podvod
deceptive	klamlivý
deceptive	klamný
decibel	decibel
decide	rozhodnúť
decide	rozhodnúť sa
decide	rozhodovať
decided	rozhodnutý
decided	výrazný
decidedly	rozhodne
decidedly	určite
deciding	rozhodujúci
deciduous	listnatý
deciduous	opadávajúci
decigram	decigram
decimal	decimálny
decimal	desatinný
decimal	desiatkový
decimate	decimovať
decimetre	decimeter
decipher	dekódovať
