preventive	preventívny
preview	náhľad
previous	bývalý
previous	predchádzajúci
previousle	skôr
previously	predtým
previously	skôr
prevision	predpoveď
prevision	predtucha
prewar	predvojnový
prey	chytať
prey	korisť
prey	loviť
prey	mučiť
prey	trápiť
prey	vysávať
prey	živiť
price	cena
price	oceniť
price list	cenník
price reduction	zľava
price-list	cenník
priceless	drahocenný
priceless	neoceniteľný
pricey	drahý
pricier	drahší
pricing	cena
pricing	ocenenie
prick	bodnutie
prick	hrýzť
prick	osteň
prick	penis
prick	pichnúť
prick	prepichnúť
prickle	brnenie
prickly	pichľavý
prickly heat	potničky
pride	hrdosť
pride	namyslenosť
pride	pýcha
priest	duchovný
priest	kňaz
priestess	kňažka
priestly	kňazský
priggish	tvrdohlavý
prima	prvý
prima	základný
prima facie	zrejme
primacy	prevaha
primacy	primát
primacy	prvenstvo
primal	pôvodný
primarily	hlavne
primary	prvoradý
primary	prvý
primary	pôvodný
primary	základný
primate	primát
prime	hlavný
prime	prvotriedny
prime	prvý
prime	začiatok
prime	základný
primer	roznetka
primer	šlabikár
primeval	prastarý
primitive	primitívny
primordial	prvotný
primordial	pôvodný
primrose	prvosienka
prince	knieža
prince	princ
princedom	kniežatstvo
princess	kňažná
princess	princezná
principal	hlavný
principal	najdôležitejší
principal	prvý
principal	rektor
principal	vedúci
principal	zmocniteľ
principal	základný
principality	kniežatstvo
principally	hlavne
principally	väčšinou
principle	princíp
principle	základ
principle	zásada
print	fotografia
print	kópia
print	odtlačok
print	potlačiť
print	tlač
print	tlačiť
print	výtlačok
printed	tlačený
printed copy	výtlačok
printed matter	tlačivo
printer	tlačiar
printer	tlačiareň
printing	tlač
printing works	tlačiareň
printing-office	tlačiareň
printout	výpis
prior	predchádzajúci
prior	prednostný
prior to	pred
prioritise	preferovať
prioritize	preferovať
priority	prednosť
priority	priorita
prise	ceniť
prism	hranol
prison	väzenie
prison	väznica
prison	žalár
prisoner	väzeň
privacy	súkromie
private	osobný
private	súkromný
privatization	privatizácia
privet	vtáčí zob
privilege	privilégium
privilege	výsada
privileged	privilegovaný
privy	súkromný
privy	zasvätený
prize	cena
prize	korisť
prize	odmena
prizewinner	víťaz
prizewinner	výherca
pro	pre
pro tem	dočasne
pro tempore	dočasne
probability	pravdepodobnosť
probable	pravdepodobne
probable	pravdepodobný
probable	predpokladaný
probably	pravdepodobne
probation	skúška
probationary	skúšobný
probe	prieskum
probe	sonda
probe	vyšetrovanie
probing	prieskum
probing	testovanie
problem	problém
problem	úloha
problematic	problematický
problematical	problematický
proboscis	chobot
procedure	postup
procedure	procedúra
proceed	napredovať
proceed	pokračovať
proceed	postupovať
proceeding	opatrenie
proceeding	pokračovanie
proceeding	riadenie
proceeding	rokovanie
proceeding	spôsob
proceedings	rokovanie
proceeds	zisk
process	beh
process	chod
process	metóda
process	postup
process	priebeh
process	proces
process	spracovanie
process	spracovať
process	spracovávať
process	spôsob
process	upraviť
process	vypracovať
processed	spracovaný
processing	spracovanie
procession	sprievod
processor	procesor
proclaim	povaolať
proclaim	prehlásiť
proclaim	vyhlásiť
proclaimed	vyhlásený
proclamation	prehlásenie
proclamation	vyhlásenie
proclivity	dispzícia
proclivity	náchylnosť
procrastinate	odkladať
procrastinate	okolkovať
procreative	plodný
procurator	prokurátor
procurator	zástupca
procure	dohodiť
procure	dosiahnuť
procure	obstarať
procure	zadovážiť
procure	zohnať
procure	získať
procurement	dodanie
