italics	kurzíva
itch	chuť
itch	dráždiť
itch	svrbenie
itch	svrbieť
item	bod
item	jednotka
item	položka
item	predmet
item	prvok
item	vec
item	článok
itemize	rozpísať
itemize	rozviesť
iterate	opakovať
iteration	opakovanie
iterative	iteračný
itinerary	cesta
itinerary	cestujúci
its	jeho
its	jej
itself	sebe
itsy-bitsy	malý
itty-bitty	malý
ivory	slonovina
j	j
jab	bodnutie
jab	bodnúť
jab	sotiť
jab	strčiť
jab	úder
jabber	bľabot
jabber	bľabotať
jabber	džavotať
jabber	tárať
jabber	vrava
jabber	štebotať
jacinth	hyacint
jack	chlapec
jack	dolník
jack	hever
jack	konektor
jack	páka
jack	sochor
jack	spodok
jack	vyzuvák
jack	zdierka
jack	zdvihnúť
jack	zdvihák
jack	šťuka
jack off	onanovať
jack-o'-lantern	bludička
jackal	šakal
jackanapes	nafúkanec
jackanapes	šibal
jackass	hlupák
jackass	osol
jackass	somár
jackdaw	kavka
jacket	bunda
jacket	kabát
jacket	kazajka
jacket	kožka
jacket	obal
jacket	obálka
jacket	puzdro
jacket	sako
jacket	šupka
jacket	žaket
jackhammer	zbíjačka
jade	jadeit
jade	mitrha
jadeite	jadeit
jaeger	poľovník
jag	hrot
jag	trhlina
jag	vrub
jag	zárez
jag	zúbkovať
jagged	vrúbkovaný
jagged	vyštrbený
jagged	zúbkovaný
jaguar	jaguár
jail	uväzniť
jail	väzenie
jail	väznica
jail	žalár
jailbird	kriminálnik
jailer	žalárnik
jailhouse	väzenie
jailhouse	väznica
jalousie	žalúzia
jalousie	žalúzie
jam	džem
jam	lekvár
jam	napchať
jam	nával
jam	stlačiť
jam	stláčať
jam	tlačenica
jam	upchať
jam	zablokovať
jam	zahradiť
jam	zaseknúť
jam	zatarasiť
jam	zovrieť
jamb	stĺpik
jamboree	veselica
jammed	upchatý
jamming	preťaženie
jangle	rinčať
janitor	domovník
janitor	vrátnik
jape	žart
jar	džbán
jar	nádoba
jar	náraz
jar	otras
jar	pohár
jar	rachotiť
jar	škrípať
jar against	naraziť
jargon	slang
jargon	žargón
jarrah	blahovičník
jasmine	jazmín
jaundice	žltačka
jaunt	vychádzka
jaunt	výlet
jauntiness	elegancia
jauntiness	veselica
jauntiness	veselosť
jaunty	bezstarostný
jaunty	dôverčivý
jaunty	veselý
jaunty	čulý
jaunty	živý
javelin	oštep
jaw	papuľa
jaw	sanica
jaw	čelusť
jaw	čeľusť
jawbone	čelusť
jawbone	čeľustná kosť
jawbone	čeľusť
jaws	čeľuste
jay	hlupák
jay	sojka
jazz	džez
jazzy	divoký
jealous	starostlivý
jealous	závistlivý
jealous	žiarlivý
jealousness	žiarlivosť
jealousy	žiarlivosť
jeep	džíp
jeer	posmech
jeer	posmievať sa
jeer	výsmech
jeerer	posmeškár
jejune	biedny
jejune	chatrný
jejune	detinský
jejune	nedospelý
jejune	neskúsený
jejune	nevýdatný
jejune	nudný
jejuneness	neskúsenosť
jell	kryštalizovať
jelly	aspik
jelly	džem
jelly	huspenina
jelly	rôsol
jelly	želé
jellyfish	medúza
jellylike	rôsolovitý
jennet	oslica
jenny	oslica
jeopard	ohroziť
jeopardize	ohroziť
jeopardize	ohrozovať
jeopardy	nebezpečenstvo
jeopardy	riziko
jerk	hlupák
jerk	mykať
jerk	myknúť
jerk	trhať
jerk	trhnutie
jerk	trhnúť
jerk	vytrhnúť
jerk	šklbať
jerk	šklbnutie
jerk off	onanovať
jerkin	kazajka
jerkin	vesta
jerkwater	odľahlý
jerky	trhavý
jersey	dres
jersey	pulóver
jersey	sveter
