potted	stručný
potter	hrnčiar
pottery	hrnčiarstvo
potty	nočník
pouch	vrecko
pouched marmot	sysel
pouffe	taburet
poultice	obklad
poultry	hydina
pound	biť
pound	búšiť
pound	dupať
pound	libra
pound	rozdrtiť
pound	tĺcť
pound	úschovňa
pound at	búchať
pounder	drtvič
pour	liať
pour	vyliať
pourboire	sprepitné
pout	špúliť ústa
poverty	bieda
poverty	chudoba
poverty	nedostatok
poverty	núdza
poverty-stricken	chudobný
powder	prach
powder	prášok
powder	pudrovať
powder	púder
powdered	práškový
powdery	prachový
power	energia
power	moc
power	mocnina
power	mocnosť
power	mohutnosť
power	právomoc
power	prúd
power	schopnosť
power	sial
power	sila
power	veľmoc
power	výkon
power plant	elektráreň
power station	elektráreň
power-station	elektráreň
powerful	mocný
powerful	silný
powerful	vplyvný
powerful	výkonný
powerfully	intenzívne
powerhouse	elektráreň
powerhouse	motor
powerless	bezmocný
powerlessness	bezmocnosť
pox	kiahne
pox	ovčie kiahne
practical	praktický
practically	takmer
practice	cvičenie
practice	cvičný
practice	postup
practice	praktizovať
practice	prax
practices	smernica
practicioner	spracovateľ
practise	cvičiť
practise	praktizovať
practise	praxovať
practise	precvičiť
practise	precvičovať
practise	prevádzať
practise	trénovať
practise	vycvičiť
practise	vykonávať
practitioner	praktik
practitioner	spracovateľ
pragmatic	pragmatický
pragmatic	vecný
pragmatics	pragmatika
pragmatism	pragmatizmus
praise	chvála
praise	chváliť
praise	pochvala
praise	velebiť
praiseworthy	chválitebný
prance	poskakovať
prank	žart
prat	hlupák
prate	kecať
prate	tárať
prattle	kecať
pray	modliť sa
pray	prosiť
prayer	modlitba
pre	skôr
pre-	skôr
pre-eminent	vynikajúci
pre-eminently	predovšetkým
pre-empt	zabrániť
pre-requisite	predpoklad
preach	kázať
preacher	kazateľ
preamble	preambula
preamplifier	predzosilňovač
precarious	neistý
precarious	vratký
precast	prefabrikovaný
precaution	obozretnosť
precaution	opatrenie
precaution	opatrnosť
precaution	prevencia
precautionary	preventívny
precede	uviesť
precedence	prednosť
precedence	priorita
preceding	predchádzajúci
preceding	predošlý
precept	predpis
precept	zásada
preceptor	učiteľ
precession	precesia
precious	drahý
precious	vzácny
precipice	priepasť
precipice	zráz
precipitate	urýchliť
precipitate	vyvolať
precipitate	zrazenina
precipitate	zrážať
precipitation	vylučovanie
precipitation	zrážanie
precipitation	zrážky
precipitous	strmý
precipitously	prudko
precise	presný
precise	správny
precisely	presne
precision	presnosť
preclusion	uamedzanie
preclusion	vylúčenie
preclusion	zabránenie
precognition	jasnozrivosť
precondition	predpoklad
precooked	predvarený
precursor	predchodca
predate	predchádzať
predator	dravec
predatory	dravý
predecessor	predchodca
predecessors	predchodca
predestination	predurčenie
predestined	predurčený
predetermined	predurčený
predicament	dilema
predicate	stavať
predicate	tvrdenie
predicate	tvrdiť
predicate	založiť
predication	tvrdenie
predict	predpovedať
predict	predvídať
predictable	predvídateľný
prediction	predpoveď
prediction	prognóza
predilection	záľuba
predisposition	náchylnosť
predominance	prevaha
predominant	dominantný
predominant	hlavný
predominant	prevažný
predominant	riadiaci
predominant	rozhodujúci
predominantly	prevažne
predominate	prevládať
preeminent	vynikajúci
prefabricated	prefabrikovaný
preface	predslov
preface	úvod
prefect	prefekt
prefecture	prefektúra
prefer	preferovať
prefer	radšej
prefer	uprednostňovať
preferable	lepší
preferably	najradšej
preferably	radšej
preference	prednosť
preference	preferencie
preference	voľba
preference	výber
preference	výhoda
preference	zvýhodnenie
preferential	prednostný
preferentially	prednostne
preferment	povýšenie
prefix	predpona
pregnancy	tehotenstvo
