renewal	predĺženie
renounce	zapierať
renounce	zaprieť
renouncement	zrieknutie sa
renovate	obnovovať
renovate	opraviť
renovate	renovovať
renovation	renovácia
renown	renomé
renown	sláva
renowned	chýrny
renowned	preslávený
renowned	renomovaný
renowned	slávny
rent	nájom
rent	nájomné
rent	poplatok
rent	prasklina
rent	roztržka
rent	trhlina
rental	nájom
rental	nájomné
rental	požičovňa
renter	nájomník
renter	prenajímateľ
renting	prenájom
renumber	prečíslovať
reopen	otvoriť
reopen	znovu otvoriť
reorganization	reorganizácia
reorganize	prestavať
reorganize	reorganizovať
rep	zástupca
repaint	prekresliť
repaint	premaľovať
repair	napraviť
repair	odčiniť
repair	oprava
repair	opraviť
repair	opravovať
repair	renovácia
repair	úprava
repairer	opravár
repairman	opravár
reparation	náhrada
reparation	náprava
reparation	odškodnenie
reparation	oprava
reparation	reparácia
repast	jedlo
repast	pokrm
repay	odmeniť
repay	odplatiť
repay	splatiť
repay	splácať
repay	vrátiť
repay	vyrovnať
repayable	splatný
repayment	odmena
repayment	odplata
repayment	splatenie
repayment	splátka
repayment	vyrovnanie
repayment	zaplatenie
repeal	anulovanie
repeal	odvolanie
repeal	zrušenie
repeal	zrušiť
repeat	opakovanie
repeat	opakovať
repeat	zopakovať
repeatable	opakovateľný
repeated	opakovaný
repeated	opätovný
repeatedly	opakovane
repeater	zosilňovač
repeating	opakovanie
repel	odháňať
repel	odmietať
repel	odpudzovať
repel	odraziť
repel	zahnať
repel	zamietnuť
repellent	odporný
repellent	odpudivý
repellent	odpudzujúci
repellent	repelent
repent	ľutovať
repentance	pokánie
repentance	ľútosť
repents	ľutuje
repercussion	dôsledok
repercussion	odraz
repercussion	ohlas
repercussion	ozvena
repercussion	reakcia
repertoire	repertoár
repertory	repertoár
repetition	opakovanie
repetition	reprodukcia
repetitive	opakovaný
repine	sťažovať sa
replace	nahradiť
replace	vrátiť
replace	vymeniť
replace	vytlačiť
replace	zameniť
replaceable	nahraditeľný
replacement	nahradenie
replacement	nahradzovanie
replacement	náhrada
replacement	vystriedanie
replacement	vytlačenie
replacement	výmena
replacement	zástupca
replaces	nahrádza
replant	presadiť
replay	opakovať
replenish	doplniť
replenishment	doplnenie
replete	nasýtený
replete	plný
replete	sýty
repletion	naplnenie
repletion	nasýtenosť
repletion	plnosť
repletion	sýtosť
replica	duplikát
replica	reprodukcia
replicate	kopírovať
replication	kópia
replication	odpoveď
replication	ozvena
replied	odpovedal
replies	odpovede
reply	odpovedať
reply	odpoveď
reply	odvetiť
reply	ohlas
reply	opätovať
reply	reakcia
report	chýr
report	hlásenie
report	hlásiť
report	ohlásiť
report	oznam
report	oznamovať
report	oznámiť
report	posudok
report	povesť
report	príspevok
report	referovať
report	referát
report	správa
report	spáva
report	udanie
report	vysvedčenie
report	výkaz
report	výpis
report	zápis
report	záznam
reportage	reportáž
reportedly	vraj
reportedly	údajne
reporter	dopisovateľ
reporter	referent
reporter	reportér
reporter	spravodaj
reporter	spravodajca
reporting	spravodajstvo
repose	oddych
repose	oddychovať
repose	odpočinok
repose	odpočívať
repose	pokoj
repose	spočívať
repose	ticho
reposeful	pokojný
reposeful	upokojujúci
repository	prameň
repository	schránka
repository	sklad
repository	skladisko
repository	zdroj
reprehend	pokarhať
reprehend	vyhrešiť
reprehensible	trestuhodný
reprehension	pokarhanie
reprehension	výčitka
represent	predstavovať
represent	reprezentovať
represent	stelesňovať
represent	symbolizovať
represent	vyjadrovať
represent	zastupovať
represent	zastúpiť
represent	znamenať
represent	znázorniť
represent	znázorňovať
represent	zobraziť
