conceal	zatajiť
concealed	ukrývval
concealment	utajený
concealment	úkryt
concede	povoliť
concede	pripustiť
concede	priznať
conceit	domýšľavosť
conceit	namyslenosť
conceited	domýšľavý
conceited	namyslený
conceive	pochopiť
conceive	predstaviť si
conceive	vymyslieť
concentrate	koncentrovať
concentrate	sústrediť
concentrate	sústrediť sa
concentrated	koncentrovaný
concentrated	sústredený
concentration	koncentrácia
concentration	koncetrácia
concentration	sústredenie
concentration	zhustenie
concentrator	koncentrátor
concentre	zamerať
concentric	sústredený
concept	idea
concept	koncepcia
concept	pojem
concept	poňatie
concept	predstava
conception	chápanie
conception	koncepcia
conception	počatie
conception	poňatie
conception	predstava
concern	firma
concern	koncern
concern	podiel
concern	starosť
concern	týkať sa
concern	vec
concern	vzťah
concern	znepokojenie
concern	záležitosť
concern	záujem
concern	účasť
concerning	ohľadne
concert	koncert
concert	koncertný
concert hall	sieň
concession	povolenie
concession	zľava
concession	ústupok
concession	úľava
conch	lastúra
conch	mušľa
conciliate	zmieriť
conciliation	vyrovnanie
conciliation	zmierenie
conciliatory	zmierlivý
concise	stručný
concise	zhustený
concisely	stručne
conciseness	stručnosť
conclude	dohodnúť
conclude	skončiť
conclude	ukončiť
conclude	uzatvoriť
conclude	uzavrieť
conclude	vyvodiť
conclude	vyvodzovať
concluded	uzavretý
concluded	zakončil
concluding	záverečný
conclusion	koniec
conclusion	súd
conclusion	uzavretie
conclusion	záver
conclusive	nezvratný
conclusive	presvedčivý
conclusive	rozhodujúci
concoct	vymyslieť
concocted	vymyslený
concoction	výmysel
concord	svornosť
concord	súlad
concord	zhoda
concordance	súlad
concordance	zhoda
concordant	zhodný
concrescence	zrásť
concrete	betón
concrete	betónový
concrete	konkrétny
concretely	konkrétne
concreting	betónovanie
concretion	zhutnenie
concupiscence	chtíč
concur	súhlasiť
concurrence	súbeh
concurrence	súhlas
concurrence	súčinnosť
concurrence	zhoda
concurrent	súbežný
concurrent	súčasný
concurrently	súčasne
concurrently	súčastne
concussion	otras
condemn	odsúdiť
condemnation	odsúdenie
condemnation	zavrhnutie
condemnatory	odsudzujúci
condensable	skvapalniteľný
condensate	kondenzát
condensation	kondenzácia
condense	kondenzovať
condense	zhustiť
condense	zraziť
condensed	kondenzovaný
condensed	zhustený
condenser	kondenzátor
condescend	ráčiť
condescending	blahosklonný
condescension	blahosklonnosť
condign	zaslúžený
condiment	korenie
condition	podmieniť
condition	podmienka
condition	pomery
condition	predpoklad
condition	situácia
condition	stav
conditional	podmienený
conditional	podmienečný
conditionally	podmienečne
conditioning	klimatizácia
condolence	sústrasť
condom	prezervatív
condonation	odpustenie
condonation	prepáčenie
condone	odpustiť
condone	prehliadnuť
condone	prepáčiť
conduce	prispievať
conduce	viesť
conducive	prospešný
conducive	vedúci
conduct	chovanie
conduct	dirigovať
conduct	doprovod
conduct	prevedenie
conduct	prevádzať
conduct	riadenie
conduct	riadiť
conduct	vedenie
conduct	viesť
conduct	vodiť
conductance	vodivosť
conducted	viedol
conducting	vedúci
conducting	vodivý
conduction	vodivosť
conductive	vodivý
conductivity	vodivosť
conductor	dirigent
conductor	sprievodca
conductor	vodič
conduit	kanál
conduit	potrubie
conduit	rúra
cone	kužeľ
cone	šiška
cone	šuška
coney	králik
confabulate	hovoriť
confect	zložiť
confectioner	cukrár
confectionery	cukráreň
confectionery	cukrárstvo
confectioner´s	cukráreň
confederacy	spolok
confederate	spolkový
confederate	spoločník
confederation	konfederácia
confederation	zväzok
confer	jednať
confer	konferovať
confer	radiť sa
confer	udeliť
conference	konferencia
conference	porada
conference	rokovanie
conferment	udelenie
confess	doznať
confess	priznať
confess	priznať sa
confess	spovedať sa
confession	priznanie
confession	spoveď
