fires	strieľa
firework	ohňostroj
firing	kúrenie
firing	palivo
firing	strelba
firing	streľba
firing	vypaľovanie
firing	výpal
firing	zapaľovanie
firing range	dostrel
firkin	súdok
firm	dôkladný
firm	firma
firm	nepoddajný
firm	neústupný
firm	obchod
firm	odhodlaný
firm	pevne
firm	pevný
firm	podnik
firm	prísny
firm	solidný
firm	spevniť
firm	spoľahlivý
firm	stabilný
firm	stvrdnúť
firm	stály
firm	tuhnúť
firm	tuhý
firm up	dohodnúť
firm up	zjednať
firmament	obloha
firmly	pevne
firmness	pevnosť
firmness	spoľahlivosť
firmness	stálosť
firmness	tuhosť
first	najskôr
first	napred
first	ponajprv
first	poprvý
first	predný
first	predovšetkým
first	prvý
first	radšej
first	skôr
first	spočiatku
first and foremost	predovšetkým
first hand	priamo
first night	premiéra
first of all	najskôr
first of all	predovšetkým
first off	najskôr
first off	predovšetkým
first strike	riadny
first time	poprvý
first-born	prvorodený
first-class	prvotriedny
first-hand	prvý
first-rate	prvoradý
first-rate	prvotriedny
first-rate	vynikajúci
firstborn	prvorodený
firsthand	priamo
firstly	najskôr
firstly	predovšetkým
firth	ústie rieky
fiscal	daňový
fiscal	finančný
fish	ryba
fish-hook	udica
fisher	rybár
fisherman	rybár
fishery	rybárstvo
fishing	rybárstvo
fishy	matný
fishy	pochybný
fishy	podozrivý
fishy	rybí
fissile	štiepateľný
fissile	štiepny
fission	rozdelenie
fission	rozštepený
fission	rozštiepenie
fission	rozštiepiť
fission	štiepenie
fission	štiepiť
fissionable	štiepny
fissure	puklina
fissure	štrbina
fist	päsť
fit	hodiť sa
fit	kŕč
fit	lícovanie
fit	namontovať
fit	nastaviť
fit	nával
fit	odpovedať
fit	pripravený
fit	prispôsobenie
fit	prispôsobiť
fit	schopný
fit	správny
fit	spôsobilý
fit	uloženie
fit	upraviť
fit	vhodný
fit	vybaviť
fit	vyhovovať
fit	zdravý
fit	zodpovedať
fit	záchvat
fit in	napchať
fit out	vybaviť
fit out	vystrojiť
fitch	tchor
fitful	prerušovaný
fitly	primerane
fitment	zariadenie
fitness	fitnes
fitness	schopnosť
fitness	spôsobilosť
fitness	vhodnosť
fitness	zdravie
fitter	inštalatér
fitter	montér
fitting	armatúra
fitting	doplnky
fitting	inštalácia
fitting	montáž
fitting	príhodný
fitting	vhodný
five	päť
fix	fixovať
fix	nastaviť
fix	opraviť
fix	pripevniť
fix	stanoviť
fix	upevniť
fix	upraviť
fix	určiť
fix	ustanoviť
fix	zariadiť
fix	zorganizovať
fix	zostaviť
fix up	obstarať
fix up	upraviť
fix up	zariadiť
fixate	spevniť
fixate	upevniť
fixation	upevnenie
fixation	ustálenie
fixative	ustaľovač
fixed	nehybný
fixed	nemenný
fixed	pevný
fixed	stabilný
fixed	stály
fixed	upevnený
fixed	určitý
fixed	ustálený
fixed star	stálica
fixing	stanovenie
fixings	príslušenstvo
fixity	pevnosť
fixity	stabilita
fixity	ustálenosť
fixture	inventár
fixture	príslušenstvo
fixtures	príslušenstvo
fizz	syčať
fizz	šumieť
fizzle	syčať
fizzle	zhasnúť
flabbergast	ohromiť
flabby	mäkký
flabby	ochabnutý
flabby	slabý
flag	indikátor
flag	ochabnúť
flag	označovať
flag	prápor
flag	vlajka
flag	znamenie
flag	zástava
flag	zástavka
flag bearer	vlajkonosič
flag-bearer	vlajkonosič
flagrant	krikľavý
flagrant	ohavný
flail	cep
flail	tĺcť
flair	nadanie
flair	talent
flair	zaľúbený
flair	čuch
flak	protiletecký
flake	vločka
flamboyant	nádherný
flamboyant	nápadný
