cross paths	stretnúť
cross-country	cezpoľný
cross-examiner	vyšetrovateľ
cross-eyed	škuľavý
cross-question	vypočúvať
cross-reference	odkaz
cross-section	prierez
cross-sectional	priečny
crossbred	krížený
crossbreed	miešanec
crosscheck	preveriť
crosshatch	šrafovať
crossing	križovatka
crossing	prechod
crossover	presah
crossroad	križovatka
crossroads	križovatka
crossroads	rázcestie
crossway	križovatka
crosswise	krížom
crosswise	priečny
crossword	krížovka
crotchet	háčik
crotchet	štvrťová nota
crow	jasať
crow	sochor
crow	vrana
crowbar	sochor
crowd	dav
crowd	hromada
crowd	množstvo
crowd	skupina
crowd	tlačenica
crowd	zástup
crowded	napchatý
crowded	preplnený
crown	Koruna česká
crown	koruna
crown	korunka
crown	korunovať
crown	temeno
crown	veniec
crown	vrchol
crucial	kritický
crucial	rozhodujúci
crucially	rozhodne
crucifix	kríž
crucifixion	ukrižovanie
crucify	ukrižovať
crude	hrubý
crude	nehotový
crude	neopracovaný
crude	primitívny
crude	surový
cruel	krutý
cruel	ukrutný
cruelty	krutosť
cruelty	ukrutnosť
cruet	karafa
cruise	križovať
cruiser	krížnik
crumb	drobiť
crumb	omrvinka
crumb	strieda
crumb	strúhanka
crumble	drobiť
crumble	mrviť
crumble	rozpadať
crumpet	lievanec
crumple	krčiť
crumple	pokrčiť
crumpling	zvrásnenie
crunch	chrúmať
crusader	križiak
crush	drvenie
crush	drviť
crush	rozdrtiť
crush	rozmačkať
crush	rozmačknúť
crush	tlačenica
crush	zlikvidovať
crush	zničiť
crush out	vytlačiť
crusher	drtvič
crust	drzosť
crust	kôra
crust	pancier
crutch	barla
cry	krik
cry	kričať
cry	plakať
cry	plač
cry	pokrik
cry	rev
cry	volanie
cry	volať
cry	vykríknuť
cry out	vykríknuť
cry out	zavolať
crying	krik
crypt	krypta
cryptanalysis	dešifrovanie
cryptic	tajomný
cryptical	tajomný
cryptography	šifrovanie
crystal	krištáľ
crystal	kryštál
crystalline	krištáľový
crystalline	kryštalický
crystalline	priehľadný
crystallization	kryštalizácia
crystallize	kryštalizovať
cub	levíča
cub	líštička
cub	mláďa
cub	nováčik
cub	šteňa
cube	kocka
cubic	kockový
cubic	kubický
cubicle	kabína
cubicle	komora
cubicle	skriňa
cubit	lakeť
cuckold	paroháč
cuckoo	kukučka
cucumber	uhorka
cucurbit	dyňa
cud	žuvanec
cuddle	rozmaznávať
cudgel	palica
cue	narážka
cue	podnet
cue	rola
cue	tágo
cuff	manžeta
cuffs	putá
cuisine	kuchyň
cuisine	kuchyňa
cuke	uhorka
culinary	kuchársky
cull	trhať
cull	zbierať
culminate	kulminovať
culminate	vrcholiť
culmination	vrchol
culmination	vrcholenie
culpable	vinný
culprint	páchateľ
culprit	obžalovaný
culprit	páchateľ
culprit	vinník
cult	kult
cult	uctievanie
cultism	uctievanie
cultivate	obrábať
cultivate	pestovať
cultivation	obrábanie
cultivation	pestovanie
cultivator	pestovateľ
cultural	kultúrny
culture	kultúra
culture	kultúrny
culture	vzdelanie
cultured	kultivovaný
cultured	vzdelaný
cumber	prekážať
cumber	prekážka
cumbersome	ťažkopádny
cumbrous	neskladný
cumin	kmín
cuneiform	klinový
cunning	prefíkaný
cunning	rafinovaný
cunt	pošva
cup	hrnček
cup	pohár
cup	šálka
cupboard	kredenc
cupboard	skriňa
cupidity	chamtivosť
cupola	kopula
cur	zbabelec
curable	vyliečiteľný
curate	kaplan
curator	kurátor
curb	brzdiť
curb	obrubník
curb	uzda
curd	tvaroh
curdle	tuhnúť
cure	liek
cure	liečba
cure	liečenie
cure	liečiť
cure	uzdraviť
cure	vulkanizácia
cure	vyliečenie
cure	vyličiť
cure	údiť
