sill	prah
silliness	hlúposť
silly	bezvýznamný
silly	hlupáčik
silly	hlúpy
silly	pochabý
silly	smiešny
silly	trúba
silo	silo
silt	bahno
silver	postriebriť
silver	strieborný
silver	striebro
silver-plated	postriebrený
silvery	striebristý
silviculture	lesníctvo
simian	opica
simian	opičí
similar	podobný
similar	rovnaký
similarity	podoba
similarity	podobnosť
similarly	podobne
simile	podobenstvo
simile	prirovnanie
similitude	podobnosť
simmer	vrieť
simper	usmievať sa
simper	úsmev
simple	hlúpy
simple	jednoduchý
simple	naivný
simple	obyčajný
simple	prostoduchý
simple	prostý
simplicity	jednoduchosť
simplicity	prostota
simplification	zjednodušenie
simplify	zjednodušiť
simply	jednoducho
simply	proste
simply	skromne
simply	skrátka
simulacrum	predstava
simulate	imitovať
simulate	napodobňovať
simulate	predstierať
simulate	simulovať
simulation	imitácia
simulation	napodobňovanie
simulation	predstieranie
simulation	pretvárka
simulation	simulovanie
simulation	simulácia
simultaneity	súčasnosť
simultaneous	simultánny
simultaneous	súčasný
simultaneously	súčastne
sin	hrešiť
sin	hriech
sin	prehrešok
sin	priestupok
sin	sínus
sin	zhrešiť
since	keďže
since	odvtedy
since	pretože
sincere	pravý
sincere	rýdzi
sincere	úprimný
sincerely	úprimne
sincerity	úprimnosť
sine	sínus
sinful	hriešny
sinfully	hriešne
sing	bzučať
sing	hučať
sing	spievať
sing	zaspievať
singe	opaľovať
singe	opáliť
singe	popáliť
singe	slniť
singe	spáliť
singer	spevák
singer	speváčka
singing	spev
singing	spieva
single	jedinečný
single	jednotlivec
single	jednotlivý
single	jednotný
single	samostatný
single	slobodný
single out	vybrať
single out	zvoliť
single-breasted	jednoradový
single-handed	samostatne
single-handed	sám
single-minded	cieľavedomý
single-minded	sústredený
singles	dvojhra
singly	jednotlivo
singly	samostatne
sings	spieva
singsong	monotónny
singular	jedinečný
singular	jednotlivý
singular	mimoriadny
singular	neobyčajný
singular	vynímočný
singular	výnimočný
singular	zvláštny
singularity	jedinečnosť
singularity	zvláštnosť
singularly	ojedinele
sinister	zlovestný
sinister	zlý
sink	drez
sink	klesať
sink	klesnúť
sink	poklesnúť
sink	ponoriť
sink	potopiť
sink	potopiť sa
sink	priehlbina
sink	umývadlo
sink	výlevka
sink	zapadať
sink	zapadnúť
sink	zničiť
sinker	platina
sinner	hriešnik
sinuous	haditý
sinuous	kľukatý
sinuous	vlnitý
sip	dúšok
sip	popíjať
sip	srkať
sip	sŕkať
siphon	násoska
siphon	odčerpať
siphon	sifón
siphon	trubica
siphon	vyprázdniť
sire	otec
sire	splodiť
siren	siréna
sirloin	sviečkovica
sirloin	sviečková
sirup	sirup
sister	mníška
sister	sestra
sister-in-law	švagriná
sit	posadiť
sit	posadiť sa
sit	sadnúť si
sit	sedieť
sit	zasadať
sit down	sadnúť si
sit in	zastupovať
site	dejisko
site	miesto
site	parcela
site	poloha
site	priestor
site	stavenisko
sites	miesta
sits	sedí
sitting	sedenie
sitting	zasadanie
situate	umiestniť
situated	položený
situated	situovaný
situation	miesto
situation	okolnosti
situation	poloha
situation	pozícia
situation	situácia
situation	stav
situation	umiestnenie
situation	zamestnanie
situations	situácia
six	šesť
six	šsť
sixfold	šesťnásobný
sixteen	šestnásť
sixteenth	šestnácte
sixteenth	šestnásty
sixth	šestina
sixth	šiesty
sixtieth	šesťdesiaty
sixty	šesťdesiat
sizable	veľký
size	dimenzia
size	dĺžka
size	formát
size	glej
size	glejiť
size	hrúbka
