choose	zvoliť si
choosey	prieberčivý
choosy	prieberčivý
choosy	vyberavý
chop	kotleta
chop	krájať
chop	nasekať
chop	rezeň
chop	sekať
chop	seknutie
chop	useknúť
chop	štiepať
chop-chop	rýchlo
chopper	helikoptéra
choral	zborový
chorale	chorál
chord	akord
chord	struna
chord	tetiva
chore	práca
chorus	chór
chorus	refrén
chou	kapusta
chou	kel
christen	krstiť
christen	pokrstiť
christening	krst
christian	kresťanský
christmas cake	vianočka
chromaticity	farba
chrome	chróm
chromium	chróm
chromosome	chromozóm
chronic	trvalý
chronic	vážny
chronicle	kronika
chronicler	kronikár
chronograph	chronograf
chronologic	chronologický
chronological	chronologický
chronology	chronológia
chronometer	chronometer
chrysalis	kukla
chum	kamarát
chum	spolubývajúci
chunk	kus
church	bohoslužba
church	cirkev
church	cirkevný
church	kostol
church mass	omša
churchiard	cintorín
churchly	cirkevný
churchman	kňaz
churchyard	cintorín
chute	kĺzačka
cicatrice	jazva
cicatrix	jazva
cider	mušt
cigar	cigara
cigar lighter	zapalovač
cigarette	cigareta
cigarette lighter	zapalovač
cinder	popol
cinder	troska
cinder	škvara
cine-film	kinofilm
cine-projector	premietačka
cinema	kino
cinematography	kinematografia
cinnabar	rumelka
cinnamon	škorica
cipher	monogram
cipher	počítať
cipher	šifra
cipher	šifrovať
circa	približne
circle	balkón
circle	kruh
circle	kružnica
circle	krúžiť
circlet	krúžok
circuit	obeh
circuit	obvod
circuit	okruh
circuit	spojenie
circuitous	zdĺhavý
circular	kruhový
circular	obežník
circular	okružný
circular saw	cirkulárka
circularise	šíriť
circulate	obiehať
circulating	obiehanie
circulation	náklad
circulation	obeh
circulation	šírenie
circumambulate	váhať
circumcision	obriezka
circumference	hranica
circumference	obvod
circumference	periféria
circumferential	obvodový
circumfuse	oblievať
circumnavigate	oboplávať
circumscribe	obmedziť
circumscribed	obmedzený
circumscribed	vymedzený
circumscription	obmedzenie
circumspect	obozretný
circumstance	náhoda
circumstance	okolnosť
circumstance	situácia
circumstantial	podrobný
circumstantial	vedľajší
circumvent	obísť
circumvolution	otáčanie
circus	cirkus
cissy	zbabelec
cistern	cisterna
cistern	rezervoár
citation	citácia
citation	citát
cite	citovať
cite	uviesť
cite	uvádzať
cities	mestá
citizen	mešťan
citizen	občan
citizenry	občania
citizens	občania
citizenship	občianstvo
citron	citrón
citron	citrónovník
city	mesto
city	mestský
city	veľkomesto
city hall	radnica
civic	občiansky
civil	civilný
civil	občiansky
civil	zdvorilý
civil engineering	stavebníctvo
civil servant	úradník
civilian	civil
civilian	civilista
civilian	civilný
civility	zdvorilosť
civility	úctivosť
civilization	civilizovanie
civilization	civilizácia
civilization	kultúra
clad	plátovaný
clad	povlak
claim	nárok
claim	pohľadávka
claim	požadovať
claim	požiadaka
claim	požiadavka
claim	právo
claim	reklamovať
claim	reklamácia
claim	sťažnosť
claim	tvrdenie
claim	tvrdiť
claim	vymáhať
claim	žiadať
claim	žiadosť
claimant	žiadateľ
claimed	tvrdil
clairvoyance	jasnovidectvo
clairvoyance	jasnozrivosť
clairvoyant	jasnovidec
clamber	liezť
clamber	šplhať
clammy	vlhký
clamour	hluk
clamour	krik
clamour	kričať
clamour	volať
clamp	hromada
clamp	príchytka
clamp	stiahnuť
clamp	svorka
clamp	zverák
clan	klan
clan	klika
clan	rod
clandestine	tajný
clang	znieť
clanger	blbosť
clangour	rinčanie
clank	rinčať
clap	aplauž
clap	klopať
clap	plesnúť
clap	potľapkať
clap	rana
clap	tlieskanie
clap	tlieskať
