parliamentarian	poslanec
parliamentary	parlamentný
parlor	salón
parochial	farský
parochial	obmedzený
parochialism	obmedzenosť
parody	paródia
parody	výsmech
paroxysm	záchvat
parrot	papagáj
parse	analyzovať
parse	rozoberať
parsimonious	skúpy
parsley	petržlen
parson	duchovný
parson	farár
parsonage	fara
part	deliť
part	diel
part	kus
part	kúsok
part	podiel
part	rola
part	rozdeliť
part	rozísť sa
part	súčasť
part	súčiastka
part	zložka
part	úloha
part	časť
part	čiastočne
part proprietor	spolumajiteľ
part with	prenechať
part-owner	spolumajiteľ
part-proprietor	spolumajiteľ
partake	jesť
parted	oddelený
parterre	prízemie
partial	neúplný
partial	zaujatý
partial	čiastkový
partial	čiastočný
partiality	zaujatosť
partially	čiastočne
participant	účastník
participate	zúčastniť sa
participation	podiel
participation	súčinnosť
participation	zapojenie
participation	účasť
participle	príčastie
particle	častica
particle	čiastočka
particular	konkrétny
particular	osobitný
particular	podrobnosť
particular	presný
particular	určitý
particular	zvláštny
particular	špecifický
particular	špeciálny
particularised	detailný
particularity	presnosť
particularity	zvláštnosť
particularly	hlavne
particularly	najmä
particularly	obzvlášť
particularly	zvlášť
particularly	zvášť
parting	pútec
parting	rozchod
partisan	partizán
partisan	prívrženec
partition	oddiel
partition	prepážka
partition	priečka
partition	rozdelenie
partition	sekcia
partition	časť
partition off	rozdeliť
partizan	partizán
partly	čiastočne
partner	druh
partner	partner
partner	spoločník
partnership	partnerstvo
partnership	spoločenstvo
partnership	spolupráca
partridge	jarabica
parts	časti
parturition	pôrod
partway	čiastočne
party	spoločnosť
party	strana
party	večierok
party	účastník
paschal	veľkonočný
pass	minúť
pass	plynúť
pass	podanie
pass	podať
pass	prechádzať
pass	prejsť
pass	prenechať
pass	preukaz
pass	priepustka
pass	prijať
pass	schváliť
pass	uplynúť
pass	ísť
pass around	minúť
pass away	zomrieť
pass by	míňať
pass for entry	preukaz
pass off	prebiehať
pass on	postúpiť
pass on	predať
pass out	absolvovať
pass through	prechádzať
pass through	yažiť
pass through	zažívať
passable	zjazdný
passage	chodba
passage	pasáž
passage	plavba
passage	prechod
passage	priechod
passage	tranzit
passageway	priechod
passenger	cestujúci
passenger	osobný
passenger	pasažier
passing	povrchný
passing	prechodný
passing	priechodný
passion	chtíč
passion	vášeň
passionate	vášnivý
passionate	zanietený
passionately	vášnivo
passive	nečinný
passive	pasívny
passive voice	trpný rod
passivity	pasivita
passkey	pakľúč
passport	cestovný pas
passport	pas
password	heslo
past	bývalý
past	minulosť
past	minulý
past	okolo
past	po
past	uplynulý
past	za
pasta	cestoviny
paste	cesto
paste	lepidlo
paste	lepiť
paste	maz
paste	pasta
paste	prilepiť
paste	vložiť
pastel	pastel
pastel	pastelový
pastes	cestoviny
pasteurization	pasterizácia
pasteurize	pasterizovať
pastiche	napodobenina
pastiche	napodobnenina
pastime	zábava
pastor	pastor
pastoral	pastorálny
pastoral	vidiecky
pasturage	pastvina
pasture	pasienok
pasture	pastvina
pasture	pásť
pastureland	pastvina
pasty	bledý
pasty	pašteka
pasty	piroh
pat	pohladiť
pat	potľapkať
patch	zaplátať
patch	záhon
patch	záplata
patch	škvrna
patchy	strakatý
patent	licencia
patent	očividný
patent	patent
patent	zrejme
patently	jasno
patently	zrejme
paternal	otcovský
paternally	otcovsky
paternity	otcovstvo
path	cest
path	cesta
