hear	43-846-B,43-858-B,43-869-B
hearing	43-884-B,43-899-B,43-915-B,43-934-B,43-950-B
hearken	43-966-B
hearsay	43-980-B
heart	43-994-B,43-1007-B,43-1020-B
heartbeat	43-1031-B
heartburn	43-1052-B
heartfelt	43-1072-B
hearth	43-1091-B,43-1104-B
heartily	43-1116-B,43-1135-B
heartless	43-1152-B
heartrending	43-1173-B
hearts	43-1203-B
hearty	43-1218-B,43-1235-B,43-1250-B
heat	43-1263-B,43-1275-B,43-1285-B,43-1296-B
heated	43-1311-B
heater	43-1328-B,43-1345-B,43-1356-B
heath	43-1376-B
heathen	43-1385-B,43-1401-B
heather	43-1417-B
heating	43-1430-B
heave	43-1449-B,43-1460-B,43-1471-B
heaven	43-1484-B
heavenly	43-1498-B
heavily	43-1516-B
heaviness	43-1530-B
heavy	43-1547-B,43-1560-B,43-1572-B,43-1584-B
hebdomadal	43-1599-B
heckle	43-1619-B
hectic	43-1634-B
hedge	43-1649-B
hedgehog	43-1660-B
hedgerow	43-1678-B
heed	43-1692-B
heel	43-1702-B,43-1712-B
heft	43-1724-B,43-1736-B
hefty	43-1746-B
heifer	43-1758-B
height	43-1771-B,43-1785-B,43-1804-B,43-1818-B
heighten	43-1834-B,43-1852-B
heinous	43-1866-B
heir	43-1884-B
heirloom	43-1896-B
hell	43-1916-B
helm	43-1929-B
helmet	43-1938-B
help	43-1951-B,43-1964-B,43-1975-B,43-1987-B,43-2000-B
helper	43-2013-B
helpful	43-2028-B,43-2048-B
helping	43-2065-B
helpless	43-2081-B
hem	43-2101-B,43-2110-B,43-2120-B,43-2129-B,43-2139-B
hemisphere	43-2148-B
hemp	43-2168-B
hen	43-2178-B
hence	43-2188-B
her	43-2201-B
herald	43-2211-B
herb	43-2227-B
herd	43-2236-B,43-2249-B,43-2260-B
herdsman	43-2271-B
here	43-2287-B,43-2296-B,65-223-S
hereafter	43-2305-B
hereditary	43-2324-B
heredity	43-2343-B
heresy	43-2363-B
heretic	43-2379-B
heritable	43-2395-B
heritage	43-2413-B
hermetic	43-2426-B
hermit	43-2445-B
hernia	43-2460-B
hero	43-2473-B
heroic	43-2483-B,43-2501-B
heroin	43-2516-B
heroine	43-2530-B
herring	43-2547-B
herself	43-2560-B,43-2572-B,43-2585-B
