potion	Zaubertrank
potpourri	Allerlei
potpourri	Potpourri
potsherd	Topfscherbe
potshot	Nahschuss
potter	Töpfer
pottery	Keramik
pottery	Tonware
pottery	Töpferei
potty	Töpfchen
potty	kinderleicht
pouch	einstecken
poultry	Geflügel
poultry	Hausgeflügel
pounce	bimsen
pounce	zuschlagen
pounding	Gehämmer
pounding	zerstoßend
pour	einschenken
pour	gießen
pour	schütten
pout	schmollen
poverty	Armut
poverty	verarmt
powder	Puder
powder	Pulver
powder	Schießpulver
powder	Staub
powder	pudern
power	Energie
power	Kraft
power	Leistung
power	Potenz
power	Strom
power	Vermögen
powerful	gewaltig
powerful	kraftvoll
powerful	machtvoll
powerful	mächtig
powerful	stark
powerhouse	Kraftwerk
powerhouse	Maschinenhaus
powerless	antriebslos
powerless	hilflos
powerless	kraftlos
powerless	machtlos
powerless	ohnmächtig
powerlessness	Machtlosigkeit
powerlessness	Ohnmacht
pox	Pocken
practicability	Ausführbarkeit
practicability	Durchführbarkeit
practicable	ausführbar
practicable	durchführbar
practicable	praktikabel
practical	erfahren
practical	geeignet
practical	pragmatisch
practical	praktisch
practical	praxisnah
practical	zweckmäßig
practically	praktisch
practitioner	Praktiker
pragmatic	pragmatisch
pragmatical	pragmatisch
pragmatics	Pragmatik
pragmatism	Pragmatik
pragmatism	Pragmatismus
prairie	Prärie
praise	Belobigung
praise	Glorie
praise	Lob
praise	anpreisen
praise	loben
praise	preisen
praise	rühmen
praiseworthy	lobenswert
pram	Babywagen
prance	herumhüpfen
prance	herumtanzen
prance	paradieren
prance	rumhüpfen
prance	rumtanzen
prank	Possen
prankster	Faxe
prankster	Schelm
prankster	Witzbold
prate	plaudern
prate	schwätzen
prater	Schwätzer
prattle	Geplapper
prattle	labern
prattle	plaudern
pray	beten
prayer	Gebet
preach	predigen
preacher	Prediger
preaching	predigend
preamble	Einleitung
preamble	Präambel
preamplifier	Vorverstärker
prebend	Pfründe
precarious	unsicher
precaution	Schutzmaßnahme
precaution	Vorkehrung
precaution	Vorsicht
precaution	Vorsichtsmaßnahme
precaution	Vorsichtsmaßregel
precaution	Vorsorge
precaution	Vorsorgemaßnahme
precautionary	Vorsichts...
precautionary	Warnungs...
precautionary	vorbeugend
precede	vorangehen
precede	vorausgehen
precedence	Dringlichkeit
precedence	Priorität
precedence	Vorrang
precedence	Vorzug
precedency	Vorrang
precedent	Präjudiz
precedent	Präzedenzfall
precedent	vorhergehend
preceding	fortschreitend
preceding	vergangen
preceding	vorangehend
preceding	vorig
precept	Vorschrift
precession	Kreiselbewegung
precession	Präzession
precinct	Bezirk
precinct	Polizeiwache
precious	geschätzt
precious	kostbar
preciously	kostbar
preciously	kostbare
preciousness	Kostbarkeit
precipice	Abgrund
precipice	Steilabfall
precipitance	Eile
precipitance	Übereilung
precipitancy	Hast
precipitate	Abscheidungsstoff
precipitate	Fällungsprodukt
precipitate	Niederschlag
precipitate	ausfällen
precipitate	ausscheiden
precipitate	fällen
precipitate	herbeiführen
precipitate	stürzen
precipitation	Abscheidung
precipitation	Ausscheidung
precipitation	Eile
precipitation	Hast
precipitation	Herabstürzen
precipitation	Niederschlag
precipitation	Sturz
precipitous	abschüssig
precipitously	abschüssig
precipitously	abschüssige
precise	akkurat
precise	exakt
precise	genau
precise	gewissenhaft
precise	pingelig
precise	präzis
precisely	genau
precisely	genaue
precisely	pingelig
preciseness	Genauigkeit
precision	Exaktheit
precision	Genauigkeit
precision	Präzision
preclude	ausschließen
precluded	ausgeschlossen
preclusion	Ausschluss
preconception	Vorurteil
precondition	Vorbedingung
precursor	Anzeichen
precursor	Vorbote
precursor	Vorläufer
precursor	Wegbereiter
precursors	Vorläufer
predate	vordatieren
predator	Räuber
predatory	räuberisch
predecessor	Vorgänger
predecessors	Vorgänger
predestinate	vorherbestimmen
predestination	Prädestination
predestine	prädestinieren
predetermination	Vorausbestimmung
predetermine	vorbestimmen
predetermine	vorherbestimmen
predicament	Kategorie
predicate	Aussage
predicate	Eigenschaft
predicate	Prädikat
predicate	Satzaussage
predicate	aussagen
