curd	Weißkäse
curdle	gerinnen
curdled	geronnen
cure	Aushärtung
cure	Heilmittel
cure	Heilung
cure	Kur
cure	Vulkanisierung
cure	aushärten
cure	auskurieren
cure	heilen
cure	härten
cure	kurieren
cure	vulkanisieren
cured	geheilt
cured	geräuchert
cured	geräucherte
cured	heilte
cures	geheilt
cures	heilt
curettage	Ausschabung
curettage	Kürettage
curing	Vulkanisierung
curing	heilend
curing	kurativ
curio	Kuriosität
curiosity	Kuriosität
curiosity	Merkwürdigkeit
curiosity	Neugier
curiosity	Neugierde
curiosity	Rarität
curiosity	Seltenheit
curious	merkwürdig
curious	neugierig
curious	sonderbar
curiously	neugierig
curiously	neugierige
curiousness	Neugierde
curium	Curium
curl	Kringel
curl	Locke
curl	Ring
curl	Windung
curl	wogen
curler	Lockenwickel
curlicue	Schnörkel
curly	gewellt
curly	gewellte
curly	kraus
curmudgeon	Geizhals
curmudgeon	Griesgram
currant	Korinthe
currencies	Umläufe
currencies	Währungen
currency	Gebräuchlichkeit
currency	Umlauf
currency	Verbreitung
currency	Währung
currency	Zahlungsmittel
current	Lauf
current	Strom
current	Stromstärke
current	Strömung
current	aktuell
current	derzeitig
current	gebräuchlich
current	gegenwärtig
current	geläufig
current	gängig
current	jetzig
current	laufend
current	momentan
currently	derzeitig
currently	gegenwärtige
currently	jetzt
currently	laufend
curriculum	Lehrplan
curriculum	Studienplan
currish	bissig
curry	striegeln
curry	striegelst
curse	Fluch
curse	fluchen
curse	verdammen
curse	verfluchen
cursed	verflucht
cursed	verfluchte
curses	Flüche
cursive	Schreibschrift
cursive	kursiv
cursor	Cursor
cursor	Positionsmarke
cursor	Schreibmarke
cursoriness	Flüchtigkeit
cursory	oberflächlich
cursory	oberflächliche
curt	knapp
curtail	kürzen
curtailment	Abstrich
curtailment	Kürzung
curtailment	Schmälerung
curtain	Behang
curtain	Gardine
curtain	Vorhang
curtains	Gardinen
curtains	Vorhänge
curtness	Kürze
curvature	Krümmung
curvature	Rundung
curvature	Wölbung
curve	Krümmung
curve	Kurve
curve	Linie
curve	Rundung
curve	biegen
curve	krümmen
curved	gekrümmt
curved	geschwungen
curves	Kurven
cushion	Kissen
cushion	Polster
cushion	polstern
cushy	bequem
cusp	Scheitelpunkt
cusp	Spitze
custard	Eierkrem
custodian	Aufseher
custodian	Vermögensverwalter
custody	Aufbewahrung
custody	Aufsicht
custody	Bewachung
custody	Gewahrsam
custody	Haft
custody	Verwahrung
custom	Brauch
custom	Brauchtum
custom	Gepflogenheit
custom	Gewohnheit
custom	Kunden...
custom	Sitte
custom	Zoll
custom	kundenspezifisch
customarily	herkömmlich
customary	gewöhnlich
customer	Kunde
customer	Kundin
customers	Erwerber
customers	Kunden
customs	Bräuche
customs	Gewohnheiten
customs	Sitten
customs	Zolltarife
cut	Reduzierung
cut	Schnitt
cut	Schnittwunde
cut	abgeschnitten
cut	anschneiden
cut	ausschneiden
cut	beschneiden
cut	schneiden
cutaneous	Haut
cutaneous	kutan
cutback	Rückblende
cute	aufgeweckt
cute	herzig
cute	hübsch
cute	klug
cute	nett
cute	niedlich
cute	putzig
cute	reizend
cute	schlau
cute	süß
cuteness	Klugheit
cuticle	Nagelhaut
cuticle	Nagelhäutchen
cuticle	Oberhaut
cutler	Messerschmied
cutlet	Kotelett
cutoff	Abschaltung
cutoff	Durchstich
cutting	Schneiden
cutting	Zerteilen
cutting	abschneidend
cutting	anschneidend
cuttlefish	Tintenfisch
cyanate	Zyanat
cyanide	Zyanid
cyanosis	Zyanose
cybernetic	kybernetisch
cybernetics	Kybernetik
cybernetics	Regelungstechnik
cyclamen	Alpenveilchen
cycle	Arbeitsablauf
cycle	Arbeitsgang
cycle	Arbeitsvorgang
cycle	Kreis
cycle	Kreisprozess
cycle	Periode
cycle	Ring
