episode	挿話 [そうわ]
episodic	挿話的 [そうわてき]
epistemology	認識論 [にんしきろん]
epistle	書簡 [しょかん]
epitaph	エピタフ
epitaph	墓碑銘 [ぼひめい]
epitaph	墓誌 [ぼし]
epitaph	碑文 [ひぶん]
epitaph	碑銘 [ひめい]
epithelium	上皮 [うわかわ]
epithelium	上皮 [じょうひ]
epithelium	表皮 [ひょうひ]
epitome	摘記 [てっき]
epitome	梗概 [こうがい]
epitome	要略 [ようりゃく]
epoch	エポック
epoch	劃期 [かっき]
epoch	時代 [じだい]
epoxy	エポキシ
equal	イコール
equal	並 [へい]
equal	匹儔 [ひっちゅう]
equal	匹敵 [ひってき]
equal	及ぶ [およぶ]
equal	同じ [おなじ]
equal	同じ [おんなじ]
equal	同等 [どうとう]
equal	均しい [ひとしい]
equal	斉しい [ひとしい]
equal	比倫 [ひりん]
equal	比類 [ひるい]
equal	等しい [ひとしい]
equality	一律 [いちりつ]
equality	一様 [いちよう]
equality	互角 [ごかく]
equality	同一 [どういつ]
equality	同格 [どうかく]
equality	同等 [どうとう]
equality	均一 [きんいつ]
equality	均等 [きんとう]
equality	平手 [ひらて]
equality	斉一 [せいいつ]
equality	等式 [とうしき]
equalization	均等化 [きんとうか]
equalization	平衡 [へいこう]
equalizer	イコライザ
equalizer	イコライザー
equally	万遍無く [まんべんなく]
equally	満遍なく [まんべんなく]
equally	満遍無く [まんべんなく]
equally	等しく [ひとしく]
equation	式 [しき]
equation	方程式 [ほうていしき]
equator	赤道 [せきどう]
equerry	主馬 [しゅめ]
equerry	別当 [べっとう]
equidistant	等距離 [とうきょり]
equilibrium	兼ね合い [かねあい]
equilibrium	均衡 [きんこう]
equilibrium	安定 [あんてい]
equilibrium	平均 [へいきん]
equilibrium	平衡 [へいこう]
equilibrium	釣り合い [つりあい]
equilibrium	釣合 [つりあい]
equilibrium	釣合い [つりあい]
equinox	分点 [ぶんてん]
equip	備えつける [そなえつける]
equip	備える [そなえる]
equip	備え付ける [そなえつける]
equip	具える [そなえる]
equip	据えつける [すえつける]
equip	据え付ける [すえつける]
equipment	イクイップメント
equipment	備え付け [そなえつけ]
equipment	備付 [そなえつけ]
equipment	備品 [びひん]
equipment	具備 [ぐび]
equipment	機材 [きざい]
equipment	装い [よそおい]
equipment	装備 [そうび]
equipment	装具 [そうぐ]
equipment	装置 [そうち]
equipment	設備 [せつび]
equitable	エクイタブル
equitable	正当 [せいとう]
equity	エクイティ
equity	エクイティー
equity	公義 [こうぎ]
equivalence	同値 [どうち]
equivalence	対当 [たいとう]
equivalence	等価 [とうか]
equivalence	等値 [とうち]
equivalent	同じ [おなじ]
equivalent	同じ [おんなじ]
equivalent	同価 [どうか]
equivalent	同値 [どうち]
equivalent	均しい [ひとしい]
equivalent	対等 [たいとう]
equivalent	当量 [とうりょう]
equivalent	斉しい [ひとしい]
equivalent	等しい [ひとしい]
equivocal	晦渋 [かいじゅう]
equivocal	漠然 [ばくぜん]
equivocal	玉虫色 [たまむしいろ]
equivocal	紛らわしい [まぎらわしい]
equivocation	二枚舌 [にまいじた]
era	世紀 [せいき]
era	年代 [ねんだい]
era	時代 [じだい]
eradicate	絶やす [たやす]
eradication	根絶 [こんぜつ]
eradication	根絶やし [ねだやし]
erase	かき消す [かきけす]
erase	削る [けずる]
erase	拭き消す [ふきけす]
erase	掻き消す [かきけす]
erase	消し去る [けしさる]
erase	磨り消す [すりけす]
eraser	イレーザー
eraser	ゴム
eraser	消しゴム [けしゴム]
eraser	護謨 [ごむ]
erasure	削除 [さくじょ]
erasure	抹殺 [まっさつ]
erasure	抹消 [まっしょう]
erasure	消却 [しょうきゃく]
erasure	銷却 [しょうきゃく]
erect	すっくと
erect	エレクト
erect	建つ [たつ]
erect	直立 [ちょくりつ]
erect	真っ直ぐ [まっすぐ]
erect	真直 [ますぐ]
erect	真直 [まっすぐ]
erect	起きあがる [おきあがる]
erect	起き上がる [おきあがる]
erection	エレクション
erection	建立 [けんりつ]
erection	建立 [こんりゅう]
erection	組み立て [くみたて]
