off-season	旬外れ [じゅんはずれ]
offbeat	突飛 [とっぴ]
offence	オフェンス
offence	差し障り [さしさわり]
offence	攻め [せめ]
offence	犯行 [はんこう]
offence	立腹 [りっぷく]
offence	罪過 [ざいか]
offend	機嫌を損ねる [きげんをそこねる]
offend	気に座る [きにすわる]
offender	下手人 [げしゅにん]
offender	咎人 [とがにん]
offender	犯人 [はんにん]
offender	違犯者 [いはんしゃ]
offense	オフェンス
offense	侮慢 [ぶまん]
offense	兇状 [きょうじょう]
offense	凶状 [きょうじょう]
offense	差し合い [さしあい]
offense	忌諱 [きい]
offense	忌諱 [きき]
offense	攻め手 [せめて]
offense	罪科 [ざいか]
offense	違犯行為 [いはんこうい]
offensive	とんでもありません
offensive	とんでもない
offensive	攻撃 [こうげき]
offensive	攻撃的 [こうげきてき]
offensive	面憎い [つらにくい]
offensiveness	醜悪 [しゅうあく]
offer	オファー
offer	上げる [あげる]
offer	供 [きょう]
offer	供える [そなえる]
offer	呈する [ていする]
offer	奉る [たてまつる]
offer	奉る [まつる]
offer	差し上げる [さしあげる]
offer	捧げる [ささげる]
offer	提供 [ていきょう]
offer	献じる [けんじる]
offer	申し入れ [もうしいれ]
offer	申し込み [もうしこみ]
offer	申入 [もうしいれ]
offer	申込 [もうしこみ]
offer	申込み [もうしこみ]
offer	進ずる [しんずる]
offer	進ぜる [しんぜる]
offering	供え [そなえ]
offering	供え物 [そなえもの]
offering	供料 [きょうりょう]
offering	供物 [くもつ]
offering	奉納 [ほうのう]
offering	幣貢 [へいこう]
offering	捧げ物 [ささげもの]
offering	献納 [けんのう]
offertory	奉献頌 [ほうけんしょう]
offhand	俄 [にわか]
offhand	俄か [にわか]
offhand	手軽 [てがる]
office	オフィス
office	事務室 [じむしつ]
office	事務所 [じむしょ]
office	事業所 [じぎょうしょ]
office	任務 [にんむ]
office	倚子 [いし]
office	取り扱い所 [とりあつかいじょ]
office	職掌 [しょくしょう]
office	詰め所 [つめしょ]
office	詰所 [つめしょ]
officer	オフィサー
officer	士官 [しかん]
officer	役員 [やくいん]
official	オフィシャル
official	仕 [し]
official	係 [かかり]
official	係り [かかり]
official	僚 [りょう]
official	公 [おおやけ]
official	公儀 [こうぎ]
official	公式 [こうしき]
official	公然 [こうぜん]
official	公然たる [こうぜんたる]
official	公的 [こうてき]
official	吏員 [りいん]
official	役員 [やくいん]
official	正式 [せいしき]
official	署員 [しょいん]
official	表向き [おもてむき]
official	表立った [おもてだった]
officialdom	官公吏 [かんこうり]
officially	公然と [こうぜんと]
officious	差し出がましい [さしでがましい]
offset	オフセット
offset	偏り [かたより]
offshoot	分かれ [わかれ]
offshoot	分蘖 [ぶんけつ]
offshoot	分身 [ぶんしん]
offshoot	別れ [わかれ]
offshore	オフショア
offspring	子孫 [しそん]
offspring	胤 [たね]
offstage	舞台裏 [ぶたいうら]
often	ちょいちょい
often	ちょくちょく
often	よく
often	予々 [かねがね]
often	予予 [かねがね]
often	何度も [なんども]
often	兼ね兼ね [かねがね]
often	再々 [さいさい]
often	再再 [さいさい]
often	屡 [しばしば]
often	屡々 [しばしば]
often	屡屡 [しばしば]
often	度々 [たびたび]
often	度度 [たびたび]
often	往々 [おうおう]
often	往往 [おうおう]
ogle	繁繁 [しげしげ]
ogre	オーガ
ogre	鬼 [おに]
oh	あら
oil	オイル
oil	油 [あぶら]
oil	油を引く [あぶらをひく]
oil	石油 [せきゆ]
oilcan	油壷 [あぶらつぼ]
oilcan	油差し [あぶらさし]
oilcloth	油単 [ゆたん]
oiliness	油気 [あぶらけ]
oiliness	脂気 [あぶらけ]
oilskin	オイルスキン
oily	油っ濃い [あぶらっこい]
oily	油性 [ゆせい]
oily	油状 [ゆじょう]
oily	脂ぎった [あぶらぎった]
oily	脂っこい [あぶらっこい]
oily	脂っ濃い [あぶらっこい]
oily	脂濃い [あぶらっこい]
ointment	付け薬 [つけぐすり]
ointment	傷薬 [きずぐすり]
ointment	塗り薬 [ぬりぐすり]
ointment	塗布剤 [とふざい]
ointment	塗擦剤 [とさつざい]
ointment	疵薬 [きずぐすり]
ointment	膏薬 [こうやく]
ointment	軟膏 [なんこう]
ok	善い [よい]
ok	良い [よい]
okra	オクラ
old	中古 [ちゅうこ]
old	中古 [ちゅうぶる]
old	先 [せん]
old	古 [こ]
old-timer	オールドタイマー
old-timer	先輩 [せんぱい]
old-timer	古株 [ふるかぶ]
old-timer	古狐 [ふるきつね]
old-timer	古狐 [ふるぎつね]
old-timer	古老 [ころう]
old-timer	古豪 [こごう]
