inattentiveness	不熱心 [ふねっしん]
inaugural	新任 [しんにん]
inauguration	就任 [しゅうにん]
inauguration	就職 [しゅうしょく]
inauguration	発足 [はっそく]
inauguration	発足 [ほっそく]
inauguration	草創 [そうそう]
inauspicious	不祥 [ふしょう]
inauthentic	不確実 [ふかくじつ]
inboard	船内 [せんない]
inborn	先天的 [せんてんてき]
inborn	本然 [ほんぜん]
inborn	本然 [ほんねん]
incalculable	数え切れない [かぞえきれない]
incandescence	灼熱 [しゃくねつ]
incandescence	白熱 [はくねつ]
incantation	加持 [かじ]
incantation	呪文 [じゅもん]
incantation	呪術 [じゅじゅつ]
incapacity	菲才 [ひさい]
incapacity	非才 [ひさい]
incarceration	幽閉 [ゆうへい]
incarnation	具現 [ぐげん]
incarnation	権化 [ごんげ]
incarnation	権現 [ごんげん]
incendiarism	付け火 [つけび]
incendiary	火付 [ひつけ]
incendiary	火付け [ひつけ]
incense	インセンス
incense	抹香 [まっこう]
incense	末香 [まっこう]
incense	薫香 [くんこう]
incense	香 [こう]
incentive	インセンティブ
incentive	刺戟 [しげき]
incentive	刺戟性 [しげきせい]
incentive	刺戟物 [しげきぶつ]
incentive	刺激 [しげき]
incentive	刺激性 [しげきせい]
incentive	刺激物 [しげきぶつ]
incentive	励み [はげみ]
incentive	動機 [どうき]
incentive	導因 [どういん]
incentive	誘因 [ゆういん]
incessantly	どかどか
incessantly	引っ切り無し [ひっきりなし]
incessantly	絶え間なく [たえまなく]
incessantly	頻りに [しきりに]
incest	インセスト
incest	畜生道 [ちくしょうどう]
incest	破倫 [はりん]
incest	近親相姦 [きんしんそうかん]
inch	インチ
inch	吋 [いんち]
incidence	入射 [にゅうしゃ]
incidence	発生 [はっせい]
incident	インシデント
incident	事件 [じけん]
incident	事変 [じへん]
incident	事故 [じこ]
incident	入射 [にゅうしゃ]
incident	出来事 [できごと]
incident	変 [へん]
incidental	付属 [ふぞく]
incidental	付帯 [ふたい]
incidental	付帯的 [ふたいてき]
incidental	偶発 [ぐうはつ]
incidental	偶発的 [ぐうはつてき]
incidental	従たる [じゅうたる]
incidental	附属 [ふぞく]
incidental	附帯 [ふたい]
incidentally	それはそうと
incidentally	不図 [ふと]
incidentally	因みに [ちなみに]
incidentally	序でに [ついでに]
incidentally	序に [ついでに]
