assure	請合う [うけあう]
aster	嫁菜 [よめな]
aster	野菊 [のぎく]
asterisk	アスタリスク
asterisk	アスター
asterisk	アステリ
asterisk	アステリスク
asterisk	伏せ字 [ふせじ]
asterisk	伏字 [ふせじ]
asterisk	星印 [ほしじるし]
asteroid	小惑星 [しょうわくせい]
asteroid	星状体 [せいじょうたい]
asthma	喘ぎ [あえぎ]
asthma	喘息 [ぜんそく]
astigmatism	乱視 [らんし]
astonishing	驚くべき [おどろくべき]
astonishment	吃驚 [きっきょう]
astonishment	吃驚 [びっくり]
astonishment	喫驚 [きっきょう]
astonishment	喫驚 [びっくり]
astonishment	愕然 [がくぜん]
astonishment	感歎 [かんたん]
astonishment	驚き [おどろき]
astringency	収斂 [しゅうれん]
astringency	渋味 [しぶみ]
astringent	アストリンゼント
astrology	アストロロジー
astrology	九星 [きゅうせい]
astrology	九星家 [きゅうせいか]
astrology	九星術 [きゅうせいじゅつ]
astrology	占星術 [せんせいじゅつ]
astrology	星占い [ほしうらない]
astronaut	アストロノート
astronaut	宇宙飛行士 [うちゅうひこうし]
astronomer	天文学者 [てんもんがくしゃ]
astronomer	天文家 [てんもんか]
astronomical	天文学的 [てんもんがくてき]
astronomy	天文 [てんもん]
astronomy	天文学 [てんもんがく]
astrophysics	宇宙物理学 [うちゅうぶつりがく]
astute	抜け目ない [ぬけめない]
asylum	収容所 [しゅうようじょ]
asymmetry	アシンメトリー
asymmetry	不均斉 [ふきんせい]
asymmetry	不斉 [ふせい]
asymmetry	不釣り合い [ふつりあい]
asymmetry	不釣合い [ふつりあい]
asymmetry	非対称 [ひたいしょう]
asymptote	漸近 [ぜんきん]
asynchronous	非同期 [ひどうき]
at	における
at	アット
at	於 [お]
at	於いて [おいて]
at	於ける [おける]
atavism	隔世遺伝 [かくせいいでん]
atheism	無神論 [むしんろん]
atheist	無神論者 [むしんろんしゃ]
atherosclerosis	アテローム性動脈硬化症 [アテロームせいどうみゃくこうかしょう]
athlete	アスリート
athlete	体育家 [たいいくか]
athlete	協技者 [きょうぎしゃ]
athlete	運動選手 [うんどうせんしゅ]
atmosphere	アトモスフィア
atmosphere	含み [ふくみ]
atmosphere	大気 [たいき]
atmosphere	情調 [じょうちょう]
atmosphere	気圏 [きけん]
atmosphere	空気 [くうき]
atoll	環礁 [かんしょう]
atom	アトム
atom	原子 [げんし]
atom	微塵 [みじん]
atomic	アトミック
atomic	不可分 [ふかぶん]
atomizer	噴霧器 [ふんむき]
atomizer	霧吹き [きりふき]
atonement	償い [つぐない]
atonement	罪滅ぼし [つみほろぼし]
atrium	アトリウム
atrium	心房 [しんぼう]
atrocious	兇悪 [きょうあく]
atrocious	兇暴 [きょうぼう]
atrocious	凶悪 [きょうあく]
atrocious	凶暴 [きょうぼう]
atrocious	惨い [むごい]
atrocious	惨烈 [さんれつ]
atrocious	無惨 [むざん]
atrocious	猛悪 [もうあく]
atrocity	大凶 [だいきょう]
atrocity	悪虐 [あくぎゃく]
atrocity	悪逆 [あくぎゃく]
atrocity	惨酷 [ざんこく]
atrocity	暴戻 [ぼうれい]
atrocity	暴虐 [ぼうぎゃく]
atrocity	残忍 [ざんにん]
atrocity	無残 [むざん]
atrocity	虐殺 [ぎゃくさつ]
atrophy	委縮 [いしゅく]
atrophy	萎縮 [いしゅく]
atrophy	萎縮症 [いしゅくしょう]
attach	くっ付ける [くっつける]
attach	アタッチ
attach	副える [そえる]
attach	添える [そえる]
attache	公使館員 [こうしかんいん]
attachment	アタッチメント
attachment	吸着 [きゅうちゃく]
attachment	執心 [しゅうしん]
attachment	執着 [しゅうじゃく]
attachment	執着 [しゅうちゃく]
attachment	執著 [しゅうじゃく]
attachment	執著 [しゅうちゃく]
attachment	差し押え [さしおさえ]
attachment	差し押さえ [さしおさえ]
attachment	恋情 [こいなさけ]
attachment	恋情 [れんじょう]
attachment	恋慕 [れんぼ]
attachment	恋着 [れんちゃく]
attachment	愛執 [あいしゅう]
attachment	愛慕 [あいぼ]
attachment	愛着 [あいじゃく]
attachment	愛着 [あいちゃく]
attachment	懸想 [けそう]
attachment	未練 [みれん]
attachment	添付 [てんぷ]
attachment	添付ファイル [てんぷファイル]
attachment	添附 [てんぷ]
attachment	配属 [はいぞく]
attack	アタック
attack	伐 [ばつ]
attack	伐つ [うつ]
attack	切り込む [きりこむ]
attack	打ち寄せる [うちよせる]
attack	批難 [ひなん]
attack	指弾 [しだん]
attack	撃つ [うつ]
attack	攻め [せめ]
attack	攻める [せめる]
attack	攻め込む [せめこむ]
attack	攻撃 [こうげき]
attack	来襲 [らいしゅう]
attack	突く [つく]
attack	突く [つつく]
attack	襲い掛かる [おそいかかる]
attack	襲う [おそう]
attack	襲撃 [しゅうげき]
attack	襲来 [しゅうらい]
attack	討つ [うつ]
attack	迎え撃つ [むかえうつ]
attack	進攻 [しんこう]
attack	非難 [ひなん]
attacker	アタッカー
attain	到る [いたる]
attain	勝ち得る [かちえる]
attainment	力 [ちから]
attempt	企て [くわだて]
attempt	企てる [くわだてる]
attempt	企及 [ききゅう]
attempt	図る [はかる]
attempt	試す [ためす]
attempt	謀る [たばかる]
attempt	謀る [はかる]
attend	接する [せっする]
attendance	傍聴 [ぼうちょう]
attendance	入場者 [にゅうじょうしゃ]
attendance	出仕 [しゅっし]
attendance	出席 [しゅっせき]
attendance	出席者 [しゅっせきしゃ]
attendance	列席 [れっせき]
attendance	列座 [れつざ]
attendance	勤怠 [きんたい]
attendance	勤惰 [きんだ]
attendance	参会者 [さんかいしゃ]
attendance	参列 [さんれつ]
attendance	同列 [どうれつ]
attendance	奉仕 [ほうし]
attendance	来会 [らいかい]
attendance	来会者 [らいかいしゃ]
attendance	来場 [らいじょう]
attendance	来場 [らいば]
attendance	来聴 [らいちょう]
attendance	来臨 [らいりん]
attendance	聴衆 [ちょうしゅう]
attendance	臨場 [りんじょう]
attendance	臨席 [りんせき]
attendance	随伴 [ずいはん]
attendant	お付き [おつき]
attendant	お供 [おとも]
attendant	付き人 [つきびと]
attendant	付き添い [つきそい]
attendant	付き添い人 [つきそいにん]
attendant	付き者 [つきもの]
attendant	付け人 [つけびと]
attendant	付人 [つけびと]
attendant	付添 [つきそい]
attendant	付添い [つきそい]
attendant	伽 [とぎ]
attendant	侍者 [じしゃ]
attendant	侍臣 [じしん]
