thyroxine	チロキシン
tibia	脛骨 [けいこつ]
tick	ダニ
tick	チェックマーク
tick	壁蝨 [だに]
ticket	チケット
ticket	ティケット
ticket	切符 [きっぷ]
ticket	切符売り場 [きっぷうりば]
ticket	切符売場 [きっぷうりば]
ticket	券 [けん]
ticket	票 [ひょう]
ticking	布団皮 [ふとんがわ]
ticking	蒲団皮 [ふとんがわ]
tickle	擽ぐる [くすぐる]
tickle	擽る [くすぐる]
ticklish	こそばゆい
ticklish	擽ぐったい [くすぐったい]
ticklish	擽ったい [くすぐったい]
tidal	タイダル
tide	潮 [うしお]
tide	潮 [しお]
tide	潮汐 [ちょうせき]
tide	潮流 [ちょうりゅう]
tide	風潮 [ふうちょう]
tidily	整然と [せいぜんと]
tidings	便り [たより]
tidings	音信 [いんしん]
tidings	音信 [おんしん]
tidy	こざっぱり
tidy	奇麗 [きれい]
tidy	小さっぱりした [こさっぱりした]
tidy	小奇麗 [こぎれい]
tidy	清楚 [せいそ]
tidy	清爽 [かわらか]
tidy	清爽 [せいそう]
tidy	綺麗 [きれい]
tie	つなぎ止める [つなぎとめる]
tie	ダービータイ
tie	ネクタイ
tie	五分 [ごぶ]
tie	五分五分 [ごぶごぶ]
tie	分け [わけ]
tie	同点 [どうてん]
tie	相子 [あいこ]
tie	結び合せる [むすびあわせる]
tie	結ぶ [むすぶ]
tie	締める [しめる]
tie	縛りつける [しばりつける]
tie	縛り付ける [しばりつける]
tie	縛る [しばる]
tie	繋ぎ止める [つなぎとめる]
tie	繋ぐ [つなぐ]
tie	預かり [あずかり]
tie-up	タイアップ
tie-up	不通 [ふつう]
tie-up	停滞 [ていたい]
tie-up	提携 [ていけい]
tiebreaker	タイブレーカー
tiebreaker	同点決勝戦 [どうてんけっしょうせん]
tiger	虎 [とら]
tight	きつい
tight	タイト
tight	窮屈 [きゅうくつ]
tighten	引き締める [ひきしめる]
tighten	引締める [ひきしめる]
tighten	張る [はる]
tighten	締めつける [しめつける]
tighten	締め付ける [しめつける]
tightening	引き締め [ひきしめ]
tightening	引締め [ひきしめ]
tightly	かっちり
tightly	がっちり
tightly	きっちり
tightly	きゅっと
tightly	ぎっしり
tightly	ぎっちり
tightly	ぴたりと
tightly	犇々 [ひしひし]
tightly	犇犇 [ひしひし]
tightly	確り [しっかり]
tightly	聢り [しっかり]
tightness	梗塞 [こうそく]
till	耕す [たがやす]
till	金入れ [かねいれ]
till	銭入れ [ぜにいれ]
tiller	耕耘機 [こううんき]
tiller	耕運機 [こううんき]
tilt	傾ぐ [かしぐ]
tilt	傾ぐ [かたぐ]
tilt	傾ける [かたむける]
tilt	傾げる [かしげる]
tilt	傾げる [かたげる]
timber	木 [き]
timber	木材 [もくざい]
timber	材木 [ざいもく]
timbre	音色 [おんいろ]
timbre	音色 [おんしょく]
timbre	音色 [ねいろ]
time	ひと時 [ひととき]
time	タイム
time	一時 [ひととき]
time	余裕 [よゆう]
time	光陰 [こういん]
time	刻 [こく]
time	刻限 [こくげん]
time	手間 [てま]
time	日月 [じつげつ]
time	日月 [にちげつ]
time	日間 [ひあい]
time	星霜 [せいそう]
time	時分 [じぶん]
time	時刻 [じこく]
time	時日 [じじつ]
time	時期 [じき]
time	時間 [じかん]
time	暦年 [れきねん]
time	暦日 [れきじつ]
time	月日 [つきひ]
time	期 [き]
time	歳月 [さいげつ]
time	歳月 [としつき]
time	歴年 [れきねん]
time	節 [せつ]
time	調子 [ちょうし]
time	間 [ま]
time	頃 [けい]
time	頃 [ころ]
time	頃 [ごろ]
timekeeper	計時係 [けいじがかり]
timeliness	即時性 [そくじせい]
timely	タイムリ
timely	タイムリー
timely	適時 [てきじ]
timer	タイマ
timer	タイマー
timetable	定刻 [ていこく]
timetable	時刻表 [じこくひょう]
timetable	時間割 [じかんわり]
timetable	時間割り [じかんわり]
timid	いじいじ
timid	小心 [しょうしん]
timid	弱気 [よわき]
timid	意気地のない [いくじのない]
timid	気が弱い [きがよわい]
timid	気弱 [きよわ]
timid	気後れ [きおくれ]
timid	臆 [おく]
timidity	内気 [うちき]
timidity	小胆 [しょうたん]
timidity	心後れ [こころおくれ]
timidity	怖がり [こわがり]
timidity	恐がり [こわがり]
timidity	物怖じ [ものおじ]
timidity	臆病 [おくびょう]
timidly	怖ず怖ず [おずおず]
timidly	恐々 [こわごわ]
timidly	恐る恐る [おそるおそる]
timidly	恐恐 [こわごわ]
timidness	憶病 [おくびょう]
timing	タイミング
timing	計時 [けいじ]
timpani	ティンパニー
tin	缶 [かん]
tin	錫 [すず]
tincture	チンキ剤 [チンキざい]
tinge	色合い [いろあい]
tingle	ぴりぴり
tinkle	ちんちん
tinkle	ちんちん鳴る [ちんちんなる]
tinnitus	耳鳴り [みみなり]
tint	色合い [いろあい]
tinware	錫製品 [すずせいひん]
tiny	ちっぽけ
tiny	小さ [ちいさ]
tiny	小さい [ちいさい]
tiny	小っちゃい [ちっちゃい]
tiny	小型 [こがた]
tiny	小形 [こがた]
tiny	猫の額 [ねこのひたい]
tiny	猫額大 [びょうがくだい]
tiny	豆 [まめ]
tip	チップ
tip	上端 [じょうたん]
tip	付け届け [つけとどけ]
tip	傾ぐ [かしぐ]
tip	傾ぐ [かたぐ]
tip	傾ける [かたむける]
tip	先 [さき]
tip	先端 [せんたん]
tip	吸い口 [すいくち]
tip	外れ [はずれ]
tip	尖端 [せんたん]
tip	末 [うら]
tip	末 [すえ]
tip	末梢 [まっしょう]
tip	末端 [まったん]
tip	祝儀 [しゅうぎ]
tip	突先 [とっさき]
tip	端 [はし]
