passivity	消極性 [しょうきょくせい]
passport	パスポート
passport	旅券 [りょけん]
password	合い言葉 [あいことば]
password	合い詞 [あいことば]
password	合言葉 [あいことば]
password	暗号 [あんごう]
password	暗証化 [あんしょうか]
password	符丁 [ふちょう]
password	符牒 [ふちょう]
past	曰く [いわく]
past	身元 [みもと]
past	身許 [みもと]
past	過ぎ [すぎ]
pasta	パスタ
paste	パスタ剤 [パスタざい]
paste	ペースト
paste	張りつける [はりつける]
paste	張り付ける [はりつける]
paste	張る [はる]
paste	糊 [のり]
paste	貼りつける [はりつける]
paste	貼り付ける [はりつける]
paste	貼る [はる]
paste	貼付 [ちょうふ]
paste	貼付 [てんぷ]
pastel	パステル
pastel	パステル画 [パステルが]
pasteurization	低温殺菌 [ていおんさっきん]
pastime	遊び事 [あそびごと]
pastime	道楽 [どうらく]
pastor	牧師 [ぼくし]
pastoral	パストラル
pastoral	牧歌的 [ぼっかてき]
pastry	菓子 [かし]
pasturage	放牧 [ほうぼく]
pasture	放牧地 [ほうぼくち]
pasture	牧草 [ぼくそう]
pasture	牧草地 [ぼくそうち]
pat	パット
patch	パッチ
patchwork	パッチワーク
patchwork	寄せ切れ [よせぎれ]
patchwork	継ぎ当て [つぎあて]
patella	膝蓋骨 [しつがいこつ]
patent	パテント
patent	特許 [とっきょ]
patentee	特許主 [とっきょぬし]
paternalism	温情主義 [おんじょうしゅぎ]
paternity	父性 [ふせい]
path	パス
path	小径 [しょうけい]
path	小道 [こみち]
path	径路 [けいろ]
path	通り道 [とおりみち]
path	道筋 [みちすじ]
pathetic	いじらしい
pathetic	パセティック
pathetic	傷々しい [いたいたしい]
pathetic	傷傷しい [いたいたしい]
pathetic	可哀想 [かわいそう]
pathetic	可哀相 [かわいそう]
pathetic	哀切 [あいせつ]
pathetic	悲壮 [ひそう]
pathetic	悲愴 [ひそう]
pathetic	痛々しい [いたいたしい]
pathetic	痛痛しい [いたいたしい]
pathfinder	草分け [くさわけ]
pathogen	病原体 [びょうげんたい]
pathology	病理 [びょうり]
pathology	病理学 [びょうりがく]
pathos	パトス
pathos	ペーソス
pathos	哀れ [あわれ]
pathos	哀愁 [あいしゅう]
pathos	哀感 [あいかん]
pathos	悲痛 [ひつう]
pathway	通路 [つうろ]
patience	堪え性 [こらえしょう]
patience	我慢 [がまん]
patience	機根 [きこん]
patience	辛抱 [しんぼう]
patience	隠忍 [いんにん]
patient	がまん強い [がまんつよい]
patient	我慢強い [がまんつよい]
patient	気長 [きなが]
patient	病人 [びょうにん]
patient	辛抱強い [しんぼうづよい]
patiently	じっと
patio	パティオ
patriarch	家長 [かちょう]
patriarch	族長 [ぞくちょう]
patriot	国士 [こくし]
patriot	志士 [しし]
patriot	愛国の志士 [あいこくのしし]
patriot	愛国者 [あいこくしゃ]
patriot	烈士 [れっし]
patriotism	パトリオティズム
patriotism	報国 [ほうこく]
patriotism	愛国 [あいこく]
patriotism	愛国主義 [あいこくしゅぎ]
patriotism	愛国心 [あいこくしん]
patriotism	憂国 [ゆうこく]
patriotism	祖国愛 [そこくあい]
patrol	パトロウル
patrol	パトロール
patrol	偵察隊 [ていさつたい]
patrol	巡回 [じゅんかい]
patrol	巡行 [じゅんこう]
patrol	斥候 [せっこう]
patrol	見回る [みまわる]
patrol	警ら [けいら]
patrol	警衛 [けいえい]
patrol	警邏 [けいら]
patron	ドル箱 [ドルばこ]
patron	パトロン
patron	保護者 [ほごしゃ]
patron	常客 [じょうきゃく]
patron	常得意 [じょうとくい]
patron	引き手 [ひきて]
patron	引手 [ひきて]
patron	恩人 [おんじん]
patron	試筋 [ためすじ]
patron	顧客 [こかく]
patron	顧客 [こきゃく]
patronage	保護 [ほご]
patronage	取り立て [とりたて]
patronage	庇護 [ひご]
patronage	引き立て [ひきたて]
patronage	恩顧 [おんこ]
patronage	愛顧 [あいこ]
patronage	肩入れ [かたいれ]
patronage	賛助 [さんじょ]
patronage	贔屓 [ひいき]
pattern	パタン
pattern	パターン
pattern	亀鑑 [きかん]
pattern	儀刑 [ぎけい]
pattern	儀型 [ぎけい]
pattern	儀形 [ぎけい]
pattern	典型 [てんけい]
pattern	原型 [げんけい]
pattern	図柄 [ずがら]
pattern	師表 [しひょう]
pattern	手本 [てほん]
pattern	文様 [もんよう]
pattern	文目 [あやめ]
pattern	柄 [がら]
pattern	様式 [ようしき]
pattern	模様 [もよう]
pattern	紋様 [もんよう]
pattern	絵柄 [えがら]
pattern	規範 [きはん]
pattern	軌範 [きはん]
pattern	鑑 [かがみ]
pattern	類型 [るいけい]
pattern	類形 [るいけい]
