parrot	鸚鵡 [おうむ]
parry	交す [かわす]
parry	交わす [かわす]
parry	体を交わす [たいをかわす]
parse	パーズ
parsec	パーセク
parsley	パセリ
parsonage	牧師館 [ぼくしかん]
part	パート
part	一半 [いっぱん]
part	一端 [いったん]
part	個所 [かしょ]
part	側 [かわ]
part	側 [がわ]
part	分 [ぶ]
part	局部 [きょくぶ]
part	役割 [やくわり]
part	役割り [やくわり]
part	役回り [やくまわり]
part	比重 [ひじゅう]
part	箇所 [かしょ]
part	部 [ぶ]
part	部位 [ぶい]
part	部分 [ぶぶん]
part	部局 [ぶきょく]
part	離す [はなす]
part-timer	パートタイマー
parthenogenesis	単為生殖 [たんいせいしょく]
partial	パーシャル
partial	不全 [ふぜん]
partial	片手落ち [かたておち]
partiality	不公平 [ふこうへい]
partiality	依估贔屓 [えこひいき]
partiality	依怙 [えこ]
partiality	依怙贔屓 [えこひいき]
partiality	偏好 [へんこう]
partiality	偏愛 [へんあい]
partiality	厚薄 [こうはく]
partiality	欲目 [よくめ]
partiality	贔屓 [ひいき]
partiality	趣好 [しゅこう]
partially	稍 [やや]
participant	加入者 [かにゅうしゃ]
participant	参与者 [さんよしゃ]
participant	参加者 [さんかしゃ]
participate	携わる [たずさわる]
participation	パーティシペーション
participation	出場 [しゅつじょう]
participation	加担 [かたん]
participation	加盟 [かめい]
participation	参与 [さんよ]
participation	参列 [さんれつ]
participation	参加 [さんか]
participation	干与 [かんよ]
participation	荷担 [かたん]
participation	関与 [かんよ]
participle	分詞 [ぶんし]
particle	一点 [いってん]
particle	微塵 [みじん]
particle	粒子 [りゅうし]
particle	質点 [しつてん]
particular	別 [べつ]
particular	変わった [かわった]
particular	小うるさい [こうるさい]
particular	特定 [とくてい]
particularly	分けて [わけて]
particularly	別けて [わけて]
particularly	別して [べっして]
particularly	別て [わけて]
particularly	別段 [べつだん]
particularly	就中 [なかんずく]
particularly	特に [とくに]
particularly	立てて [たてて]
parting	一別 [いちべつ]
parting	別れ [わかれ]
parting	別離 [べつり]
parting	訣別 [けつべつ]
partisan	パルチザン
partition	パーティション
partition	中仕切 [なかじきり]
partition	仕切り [しきり]
partition	仕切る [しきる]
partition	分け目 [わけめ]
partition	分割 [ぶんかつ]
partition	区処 [くしょ]
partition	隔て [へだて]
partition	隔膜 [かくまく]
partly	一は [いつは]
partly	半ば [なかば]
partner	パートナー
partner	仲間 [なかま]
partner	伴侶 [はんりょ]
partner	片棒 [かたぼう]
partner	相手 [あいて]
partner	相手役 [あいてやく]
partner	相方 [あいかた]
partner	相棒 [あいぼう]
partnership	パートナーシップ
partnership	共同組合 [きょうどうくみあい]
partridge	山鶉 [やまうずら]
partridge	鷓鴣 [しゃこ]
partridge	鷓鴣 [やまうずら]
parturition	分娩作用 [ぶんべんさよう]
parturition	分身 [ぶんしん]
party	コンパ
party	パーティ
party	パーティー
party	一党 [いっとう]
party	一党一派 [いっとういっぱ]
party	一団 [いちだん]
party	一派 [いっぱ]
party	一行 [いちぎょう]
party	一行 [いっこう]
party	一隊 [いったい]
party	会 [かい]
party	同勢 [どうぜい]
party	団 [だん]
party	宴 [うたげ]
party	宴会 [えんかい]
party	徒 [と]
party	招宴 [しょうえん]
party	班 [はん]
party	連 [れん]
party	隊 [たい]
parvenu	成り上がり [なりあがり]
parvenu	成り上がり者 [なりあがりもの]
pass	パース
pass	乗り越す [のりこす]
pass	乗越す [のりこす]
pass	明かす [あかす]
pass	為る [する]
pass	経つ [たつ]
pass	経る [へる]
pass	超す [こす]
pass	通り過ぎる [とおりすぎる]
pass	過ぎる [すぎる]
pass	過ぎ去る [すぎさる]
pass	過ぎ行く [すぎいく]
pass	過ぎ行く [すぎゆく]
pass	過ごす [すごす]
passable	可 [か]
passage	パッサージ
passage	一節 [いっせつ]
passage	一節 [ひとふし]
passage	個所 [かしょ]
passage	句 [く]
passage	可決 [かけつ]
passage	渡り廊下 [わたりろうか]
passage	章句 [しょうく]
passage	箇所 [かしょ]
passage	経過 [けいか]
passage	船賃 [ふなちん]
passage	通じ [つうじ]
passage	通り道 [とおりみち]
passage	通行 [つうこう]
passage	通路 [つうろ]
passageway	歩廊 [ほろう]
passbook	通帳 [つうちょう]
passenger	パッセンジャー
passenger	乗り手 [のりて]
passenger	乗客 [じょうかく]
passenger	乗客 [じょうきゃく]
passenger	乗手 [のりて]
passenger	搭乗者 [とうじょうしゃ]
passenger	渡航者 [とこうしゃ]
passenger	舟人 [ふなびと]
passenger	船人 [ふなびと]
passenger	船客 [せんきゃく]
passer-by	行人 [こうじん]
passing	パッシング
passing	暮れ行く [くれゆく]
passing	泡沫的 [ほうまつてき]
passing	行きずり [ゆきずり]
passing	行き摺り [ゆきずり]
passing	追い越し [おいこし]
passing	通りすがり [とおりすがり]
passing	通行 [つうこう]
passing	通過 [つうか]
passing	長逝 [ちょうせい]
passion	パッション
passion	受難 [じゅなん]
passion	向かっ腹 [むかっぱら]
passion	恋愛 [れんあい]
passion	情 [じょう]
passion	情慾 [じょうよく]
passion	情炎 [じょうえん]
passion	情熱 [じょうねつ]
passion	愛慾 [あいよく]
passion	愛欲 [あいよく]
passion	欲念 [よくねん]
passion	激情 [げきじょう]
passion	癇癪 [かんしゃく]
passionate	パッショネート
passionate	熱烈 [ねつれつ]
passive	パッシブ
passive	受け身 [うけみ]
passive	受動 [じゅどう]
passive	受動的 [じゅどうてき]
passive	受身 [うけみ]
passive	消極的 [しょうきょくてき]
