retrace	遡源 [さくげん]
retractable	リトラクタブル
retreat	幽居 [ゆうきょ]
retreat	庵 [いおり]
retreat	庵室 [あんしつ]
retreat	庵室 [あんじつ]
retreat	引き去る [ひきさる]
retreat	引っ込み [ひっこみ]
retreat	後へ引く [あとへひく]
retreat	後へ退く [あとへひく]
retreat	後退 [こうたい]
retreat	後退る [あとずさる]
retreat	撤退 [てったい]
retreat	謝する [しゃする]
retreat	退却 [たいきゃく]
retreat	退陣 [たいじん]
retrenchment	切り詰め [きりつめ]
retrenchment	節減 [せつげん]
retrenchment	緊縮 [きんしゅく]
retrial	再審 [さいしん]
retribution	冥罰 [めいばつ]
retribution	因果応報 [いんがおうほう]
retribution	報 [ほう]
retribution	報い [むくい]
retribution	報復 [ほうふく]
retribution	応報 [おうほう]
retribution	罰 [ばち]
retroactive	遡及的 [そきゅうてき]
retrograde	逆行 [ぎゃっこう]
retrogression	退化 [たいか]
retrogression	退行 [たいこう]
retrogression	逆戻り [ぎゃくもどり]
retrospect	遡上 [そじょう]
retrospective	レトロ
retrospective	回顧的 [かいこてき]
retrovirus	レトロウイルス
retry	リトライ
return	お帰り [おかえり]
return	ぶり返す [ぶりかえす]
return	リターン
return	再来 [さいらい]
return	再現 [さいげん]
return	再発 [さいはつ]
return	取って返す [とってかえす]
return	報い [むくい]
return	帰って来る [かえってくる]
return	帰り [かえり]
return	帰る [かえる]
return	帰着 [きちゃく]
return	帰還 [きかん]
return	御帰り [おかえり]
return	復帰 [ふっき]
return	戻す [もどす]
return	戻り [もどり]
return	戻る [もどる]
return	来復 [らいふく]
return	立ち戻る [たちもどる]
return	返る [かえる]
return	返付 [へんぷ]
return	返還 [へんかん]
return	還る [かえる]
return	還付 [かんぷ]
return	酬い [むくい]
returning	帰来 [きらい]
returning	帰途 [きと]
returning	戻し [もどし]
returning	返戻 [へんれい]
reunion	再会 [さいかい]
reunion	親睦 [しんぼく]
reuse	再利用 [さいりよう]
revaluation	平価切り上げ [へいかきりあげ]
reveal	写し出す [うつしだす]
reveal	披歴 [ひれき]
reveal	明かす [あかす]
reveal	洩らす [もらす]
reveal	漏らす [もらす]
reveal	現ずる [げんずる]
reveal	表す [あらわす]
reveal	表わす [あらわす]
revelation	お告げ [おつげ]
revelation	啓示 [けいじ]
revelation	暴露 [ばくろ]
revelation	曝露 [ばくろ]
revelation	流露 [りゅうろ]
revelation	示し [しめし]
revelation	霊夢 [れいむ]
revelation	顕示 [けんじ]
revelry	飲めや歌え [のめやうたえ]
revenge	お返し [おかえし]
revenge	リベンジ
revenge	仇 [あた]
revenge	仇 [あだ]
revenge	仇 [かたき]
revenge	仇討ち [あだうち]
revenge	仇討ち [かたきうち]
revenge	仇讎 [きゅうしゅう]
revenge	仕返し [しかえし]
revenge	御返し [おかえし]
revenge	復しゅう [ふくしゅう]
revenge	復仇 [ふくきゅう]
revenge	復仇 [ふっきゅう]
revenge	復讎 [ふくしゅう]
revenge	復讐 [ふくしゅう]
revenge	意趣晴らし [いしゅばらし]
revenge	意趣返し [いしゅがえし]
revenge	敵討ち [かたきうち]
revenge	腹いせ [はらいせ]
revenge	腹イセ [はらイセ]
revenge	腹癒 [はらいせ]
revenge	腹癒せ [はらいせ]
revenge	返礼 [へんれい]
revenge	雪辱 [せつじょく]
revenue	上がり高 [あがりだか]
revenue	収入 [しゅうにゅう]
revenue	国税局 [こくぜいきょく]
revenue	税収 [ぜいしゅう]
reverberate	鳴り響く [なりひびく]
reverberation	交響 [こうきょう]
reverberation	余韻 [よいん]
reverberation	反射 [はんしゃ]
reverberation	反響 [はんきょう]
reverberation	残響 [ざんきょう]
reverberation	響 [ひびき]
reverberation	響き [ひびき]
revere	仰ぐ [あおぐ]
revere	奉る [たてまつる]
revere	奉る [まつる]
revere	崇める [あがめる]
reverence	仰ぎ望み [あおぎのぞみ]
reverence	仰望 [ぎょうぼう]
