proton	陽子 [ようし]
protoplasm	原形質 [げんけいしつ]
prototype	プロトタイプ
prototype	原型 [げんけい]
prototype	祖型 [そけい]
protozoan	原生動物 [げんせいどうぶつ]
protozoan	原虫 [げんちゅう]
protractor	分度器 [ぶんどき]
protrude	出っ張る [でっぱる]
protrude	出張る [でばる]
protrude	飛び出す [とびだす]
protrusion	凸状 [とつじょう]
protrusion	出っ張り [でっぱり]
protrusion	突出 [とっしゅつ]
protuberance	たんこぶ
protuberance	瘤 [こぶ]
protuberance	突起 [とっき]
protuberance	隆起 [りゅうき]
protuberant	便々たる [べんべんたる]
protuberant	便便たる [べんべんたる]
proud	傲然 [ごうぜん]
proud	傲然たる [ごうぜんたる]
proud	得意気 [とくいげ]
proud	昂然たる [こうぜんたる]
proud	誇らしい [ほこらしい]
proud	誇り高い [ほこりたかい]
proud	高慢 [こうまん]
proud	高然たる [こうぜんたる]
proud	鼻が高い [はながたかい]
proud	鼻息が荒い [はないきがあらい]
proudly	得得 [とくとく]
proudly	誇らしげ [ほこらしげ]
proudly	鼻高々 [はなたかだか]
proudly	鼻高高 [はなたかだか]
prove	証拠立てる [しょうこだてる]
proverb	俗諺 [ぞくげん]
proverb	俚諺 [りげん]
proverb	箴言 [しんげん]
proverb	諺 [ことわざ]
provide	備えつける [そなえつける]
provide	備え付ける [そなえつける]
provide	設える [しつらえる]
providential	天為 [てんい]
province	州 [しゅう]
provincial	井の中の蛙大海を知らず [いのなかのかわずたいかいをしらず]
provision	供与 [きょうよ]
provision	供給 [きょうきゅう]
provision	備え [そなえ]
provision	備え付け [そなえつけ]
provision	備付 [そなえつけ]
provision	定め [さだめ]
provision	支給 [しきゅう]
provision	条款 [じょうかん]
provision	準備 [じゅんび]
provision	給付 [きゅうふ]
provision	設け [もうけ]
provision	調達 [ちょうたつ]
provisional	仮 [か]
provisional	仮 [かり]
provisional	仮設 [かせつ]
provisional	仮説 [かせつ]
provisional	暫定的 [ざんていてき]
provisional	試験的 [しけんてき]
provisionally	仮に [かりに]
proviso	なお書 [なおがき]
proviso	但し書き [ただしがき]
proviso	但書 [ただしがき]
proviso	但書き [ただしがき]
proviso	尚書き [なおがき]
provocation	惹起 [じゃっき]
provocation	挑撥 [ちょうはつ]
provocation	挑発 [ちょうはつ]
provocation	触発 [しょくはつ]
provocative	挑発的 [ちょうはつてき]
provoke	吹っ掛ける [ふっかける]
