native-born	生え抜き [はえぬき]
nativity	ご降誕 [ごこうたん]
nativity	御降誕 [ごこうたん]
nativity	生誕 [せいたん]
nativity	降誕 [こうたん]
natural	ナチュラル
natural	同然 [どうぜん]
natural	天為 [てんい]
natural	尤も [もっとも]
natural	庶民的 [しょみんてき]
natural	当たり前 [あたりまえ]
natural	当り前 [あたりまえ]
natural	本然 [ほんぜん]
natural	本然 [ほんねん]
naturalism	ナチュラリズム
naturalism	自然主義 [しぜんしゅぎ]
naturalist	ナチュラリスト
naturalistic	ナチュラリスティック
naturalization	ナチュラリゼーション
naturalization	帰化 [きか]
naturalize	ナチュラライズ
naturally	一人でに [ひとりでに]
naturally	何時のなしに [いつのなしに]
naturally	元来 [がんらい]
naturally	勿論 [もちろん]
naturally	天然に [てんねんに]
naturally	当然 [とうぜん]
naturally	本来 [ほんらい]
naturally	無論 [むろん]
naturally	独りでに [ひとりでに]
naturally	生まれながら [うまれながら]
naturally	生来 [しょうらい]
naturally	生来 [せいらい]
naturally	自ずから [おのずから]
naturally	自ずと [おのずと]
naturally	自然に [しぜんに]
nature	大自然 [だいしぜん]
nature	天地 [あめつち]
nature	天地 [てんち]
nature	天性 [てんせい]
nature	天然 [てんねん]
nature	天生 [てんせい]
nature	天資 [てんし]
nature	得体 [えたい]
nature	心性 [しんせい]
nature	心根 [こころね]
nature	性分 [しょうぶん]
nature	性情 [せいじょう]
nature	性根 [しょうね]
nature	性質 [せいしつ]
nature	本然 [ほんぜん]
nature	本然 [ほんねん]
nature	根性 [こんじょう]
nature	気だて [きだて]
nature	気立 [きだて]
nature	気立て [きだて]
nature	禀性 [ひんせい]
nature	禀性 [りんせい]
nature	自然 [しぜん]
nature	自然界 [しぜんかい]
nature	資質 [ししつ]
nature	賦性 [ふせい]
naught	無 [む]
naught	絶無 [ぜつむ]
naughtiness	腕白 [わんぱく]
naughty	やんちゃ
nausea	むかむか
nausea	吐き気 [はきけ]
nausea	嘔き気 [はきけ]
nausea	悪心 [おしん]
nave	外陣 [げじん]
nave	本堂 [ほんどう]
navel	お臍 [おへそ]
navel	ネーブル
navel	臍 [へそ]
navigation	回航 [かいこう]
navigation	舟行 [しゅうこう]
navigation	航法 [こうほう]
navigation	通航 [つうこう]
navigator	ナビゲーター
navvy	土方 [どかた]
navy	ネービー
navy	海軍 [かいぐん]
nay	否 [いいえ]
nay	否 [いいや]
nay	否 [いえ]
nay	否 [いな]
nay	否 [いや]
ne'er-do-well	碌でなし [ろくでなし]
ne'er-do-well	能無し [のうなし]
near	の辺りに [のほとりに]
near	手近 [てぢか]
near	直ぐ側 [すぐそば]
near	程近い [ほどちかい]
near	近い [ちかい]
near	近く [ちかく]
nearby	側ら [かたわら]
nearby	側近く [そばちかく]
nearby	傍ら [かたわら]
nearby	傍らに [かたわらに]
nearby	最寄り [もより]
nearby	比隣 [ひりん]
nearby	真近 [まぢか]
nearby	辺り [あたり]
nearby	辺り [ほとり]
nearby	近間 [ちかま]
nearby	間近 [まぢか]
nearest	最寄り [もより]
nearly	八九分 [はっくぶ]
nearly	前後 [ぜんご]
nearly	危うく [あやうく]
nearness	真近 [まぢか]
nearness	近々 [きんきん]
nearness	近々 [ちかぢか]
nearness	近近 [きんきん]
nearness	近近 [ちかぢか]
nearness	間近 [まぢか]
neat	きりっとした
neat	さっぱり
neat	すかっと
neat	すっきり
neat	すっきりと
neat	ニート
neat	小ぎれい [こぎれい]
neat	小さっぱりした [こさっぱりした]
neat	小じんまりと [こじんまりと]
neat	小奇麗 [こぎれい]
neat	小気味よい [こきみよい]
neat	楚々 [そそ]
neat	楚楚 [そそ]
neat	瀟洒 [しょうしゃ]
neatly	ぴったり
neatly	正々 [せいせい]
neatly	正々と [せいせいと]
neatly	正正 [せいせい]
neatly	正正と [せいせいと]
nebula	星雲 [せいうん]
nebula	白濁 [はくだく]
necessarily	やむを得ず [やむをえず]
necessarily	余儀無く [よぎなく]
necessarily	余業無く [よぎょうなく]
necessarily	勢い [いきおい]
necessarily	已むを得ず [やむをえず]
necessarily	必ず [かならず]
necessarily	止むを得ず [やむをえず]
necessary	必然 [ひつぜん]
necessary	必然的 [ひつぜんてき]
necessary	必要 [ひつよう]
necessary	必需 [ひつじゅ]
necessary	所要 [しょよう]
necessity	入り用 [いりよう]
necessity	入用 [にゅうよう]
necessity	必然性 [ひつぜんせい]
necessity	必要性 [ひつようせい]
neck	ネック
neck	衿 [えり]
neck	襟 [えり]
neck	項領 [こうりょう]
neck	頸 [くび]
neck	首 [くび]
neckband	衿 [えり]
neckband	襟 [えり]
neckerchief	ネッカチーフ
neckerchief	首巻 [くびまき]
neckerchief	首巻き [くびまき]
necklace	ネックレス
necklace	頸輪 [くびわ]
necklace	首輪 [くびわ]
necklace	首飾り [くびかざり]
neckline	ネックライン
necktie	ダービータイ
necktie	ネクタイ
necromancy	口寄せ [くちよせ]
necromancy	巫女寄せ [みこよせ]
necrophilia	ネクロフィリア
necropsy	剖検 [ぼうけん]
necrosis	壊死 [えし]
nectar	甘露 [かんろ]
nectar	花蜜 [かみつ]
nectar	蜜 [みつ]
needle	ニードル
needle	針 [はり]
needle	鍼 [はり]
needless	要らぬ [いらぬ]
needlework	縫い物 [ぬいもの]
needlework	針仕事 [はりしごと]
needs	ニーズ
needy	貧しい [まずしい]
nefarious	不届き [ふとどき]
negate	打ち消す [うちけす]
negate	打消す [うちけす]
negation	匪 [ひ]
negation	否定 [ひてい]
negation	否決 [ひけつ]
negation	否認 [ひにん]
negative	ネガティブ
negative	否定的 [ひていてき]
negative	打ち消し [うちけし]
negative	打消 [うちけし]
negative	打消し [うちけし]
