eccentric	風変わり [ふうがわり]
eccentricity	偏執 [へんしつ]
eccentricity	偏執 [へんしゅう]
eccentricity	偏奇 [へんき]
eccentricity	偏屈 [へんくつ]
eccentricity	偏癖 [へんぺき]
eccentricity	偏窟 [へんくつ]
eccentricity	離心率 [りしんりつ]
echelon	部隊 [ぶたい]
echidna	針土竜 [はりもぐら]
echinoderm	棘皮動物 [きょくひどうぶつ]
echo	エコー
echo	反響 [はんきょう]
echo	残響 [ざんきょう]
echo	音響 [おんきょう]
echo	響 [ひびき]
echo	響き [ひびき]
echo	鳴り響く [なりひびく]
echo	鳴る [なる]
eclair	エクレア
eclair	エクレーア
eclecticism	折衷 [せっちゅう]
eclecticism	折衷主義 [せっちゅうしゅぎ]
eclipse	凌 [りょう]
eclipse	凌ぐ [しのぐ]
ecliptic	黄道 [おうどう]
ecliptic	黄道 [こうどう]
ecology	エコロジ
ecology	エコロジー
ecology	生態 [せいたい]
ecology	生態学 [せいたいがく]
economic	経済的 [けいざいてき]
economical	お徳 [おとく]
economical	エコノミカル
economical	倹しい [つましい]
economical	割り安 [わりやす]
economical	割安 [わりやす]
economical	徳用 [とくよう]
economical	経済的 [けいざいてき]
economist	エコノミスト
economist	倹約家 [けんやくか]
economize	切り詰める [きりつめる]
economize	省く [はぶく]
economy	エコノミ
economy	エコノミー
economy	倹 [けん]
economy	倹約 [けんやく]
economy	安上がり [やすあがり]
economy	安上り [やすあがり]
economy	理財 [りざい]
economy	節倹 [せっけん]
economy	節減 [せつげん]
economy	経済 [けいざい]
economy	緊縮 [きんしゅく]
economy	財政 [ざいせい]
ecosystem	エコシステム
ecosystem	生態系 [せいたいけい]
ecstasy	エクスタシー
ecstasy	夢中 [むちゅう]
ecstasy	忘我 [ぼうが]
ecstasy	恍惚 [こうこつ]
ecstasy	有頂天 [うちょうてん]
ecstasy	有頂点 [うちょうてん]
ecstasy	法悦 [ほうえつ]
ecstasy	狂喜 [きょうき]
ectoderm	外胚葉 [がいはいよう]
ecumenism	エキュメニズム
eczema	湿疹 [しっしん]
eddy	渦巻 [うずまき]
eddy	渦巻き [うずまき]
eddy	渦巻く [うずまく]
edema	水気 [すいき]
edema	水腫 [すいしゅ]
edema	浮腫 [ふしゅ]
edema	浮腫 [むくみ]
edge	エッジ
edge	小口 [こぐち]
edge	端 [はし]
edge	端 [はな]
edge	端線 [たんせん]
edge	縁辺 [えんぺん]
edge	辺幅 [へんぷく]
edge	際 [きわ]
edging	エッジング
edging	縁飾り [ふちかざり]
edible	食用 [しょくよう]
edict	公示 [こうし]
edict	公示 [こうじ]
edict	布告 [ふこく]
edification	啓発 [けいはつ]
edification	啓迪 [けいてき]
edifice	堂宇 [どうう]
edify	啓く [ひらく]
edit	エディット
edit	エディト
edit	編む [あむ]
editing	エディティング
editing	修撰 [しゅうせん]
editing	割り付け [わりつけ]
editing	割付 [わりつけ]
editing	割付け [わりつけ]
editing	撰修 [せんしゅう]
editing	撰述 [せんじゅつ]
editing	撰録 [せんろく]
editing	編 [へん]
editing	編修 [へんしゅう]
editing	編輯 [へんしゅう]
editing	編集 [へんしゅう]
editing	輯録 [しゅうろく]
editing	選 [せん]
editing	集録 [しゅうろく]
edition	エディション
edition	版 [はん]
editor	エディタ
editor	撰者 [せんじゃ]
editor	編纂者 [へんさんしゃ]
editor	編者 [へんしゃ]
editor	編者 [へんじゃ]
editorial	エディトリアル
editorial	社説 [しゃせつ]
editorial	論説 [ろんせつ]
educate	仕込む [しこむ]
educate	育て上げる [そだてあげる]
education	エデュケーション
education	教化 [きょうか]
education	教育 [きょういく]
education	教養 [きょうよう]
education	文教 [ぶんきょう]
education	育英 [いくえい]
education	薫陶 [くんとう]
education	陶冶 [とうや]
educational	教育的 [きょういくてき]
educationalist	教育者 [きょういくしゃ]
educator	教育家 [きょういくか]
educe	抽出 [ちゅうしゅつ]
eel	鰻 [うなぎ]
eerie	不気味 [ぶきみ]
eerie	底気味悪い [そこきみわるい]
eerie	怖い [こわい]
eerie	恐い [こわい]
eerie	無気味 [ぶきみ]
eerie	薄気味悪い [うすきみわるい]
efface	磨り消す [すりけす]
effacement	消却 [しょうきゃく]
effacement	滅却 [めっきゃく]
effacement	銷却 [しょうきゃく]
effect	エフェクト
effect	作用 [さよう]
effect	出来具合 [できぐあい]
effect	出来映え [できばえ]
effect	出来栄え [できばえ]
effect	利き目 [ききめ]
effect	効 [こう]
effect	効き目 [ききめ]
effect	効力 [こうりょく]
effect	効果 [こうか]
effect	効用 [こうよう]
effect	効目 [ききめ]
effect	効能 [こうのう]
effect	効験 [こうけん]
effect	影響 [えいきょう]
effect	手答え [てごたえ]
effect	甲斐 [かい]
effective	エフェクティブ
effective	利き [きき]
effective	効果的 [こうかてき]
effective	甲斐が有る [かいがある]
effectiveness	効果 [こうか]
effectiveness	有効 [ゆうこう]
effectiveness	有効性 [ゆうこうせい]
effector	エフェクター
effeminacy	柔弱 [にゅうじゃく]
effeminate	女々しい [めめしい]
effeminate	女っぽい [おんなっぽい]
effeminate	女女しい [めめしい]
effeminate	女性的 [じょせいてき]
effeminate	惰弱 [だじゃく]
effete	惰弱 [だじゃく]
efficacy	利き [きき]
efficacy	利き目 [ききめ]
efficacy	力 [ちから]
efficacy	効 [こう]
efficacy	効き目 [ききめ]
efficacy	効力 [こうりょく]
efficacy	効果 [こうか]
efficacy	効目 [ききめ]
efficacy	効能 [こうのう]
efficacy	効験 [こうけん]
efficacy	奏効 [そうこう]
efficacy	実効 [じっこう]
efficiency	効 [こう]
efficiency	効率 [こうりつ]
