impossibility	不能 [ふのう]
impossible	インポシブル
impossible	不可能 [ふかのう]
impossible	無理 [むり]
imposter	ぺてん師 [ぺてんし]
imposter	偽者 [にせもの]
imposter	山師 [やまし]
imposter	詐欺師 [さぎし]
imposter	贋者 [にせもの]
impostor	似非者 [えせもの]
impostor	偽り者 [いつわりもの]
impotence	インポ
impotence	インポテンス
impotence	インポテンツ
impotence	陰萎 [いんい]
impound	差し押える [さしおさえる]
impound	差し押さえる [さしおさえる]
impoverishment	疲弊 [ひへい]
impoverishment	貧窮化 [ひんきゅうか]
impractical	非実際的 [ひじっさいてき]
impregnable	難攻不落 [なんこうふらく]
impregnate	注ぎ込む [そそぎこむ]
impregnate	注ぎ込む [つぎこむ]
impregnation	受精 [じゅせい]
impress	心を動かす [こころをうごかす]
impress	心を捉える [こころをとらえる]
impression	インプレッション
impression	付き [つき]
impression	付き [づき]
impression	写り [うつり]
impression	利き目 [ききめ]
impression	効き目 [ききめ]
impression	効目 [ききめ]
impression	印象 [いんしょう]
impression	圧痕 [あっこん]
impression	心証 [しんしょう]
impression	心象 [しんしょう]
impression	感 [かん]
impression	感じ [かんじ]
impression	感動 [かんどう]
impression	感懐 [かんかい]
impression	感激 [かんげき]
impression	所感 [しょかん]
impressionism	印象主義 [いんしょうしゅぎ]
impressionism	印象派美術 [いんしょうはびじゅつ]
impressive	すげい
impressive	インプレッシブ
impressive	印象的 [いんしょうてき]
impressive	厳か [おごそか]
impressive	堂々 [どうどう]
impressive	堂堂 [どうどう]
impressive	荘重 [そうちょう]
impressive	見応え [みごたえ]
impressive	高大 [こうだい]
impressive	魁偉 [かいい]
impressiveness	荘厳 [そうごん]
imprison	押し込める [おしこめる]
imprison	押込める [おしこめる]
imprison	閉じ込める [とじこめる]
imprisonment	入所 [にゅうしょ]
imprisonment	入牢 [にゅうろう]
imprisonment	入獄 [にゅうごく]
imprisonment	入監 [にゅうかん]
imprisonment	収監 [しゅうかん]
imprisonment	囚われ [とらわれ]
imprisonment	幽囚 [ゆうしゅう]
imprisonment	幽閉 [ゆうへい]
imprisonment	投獄 [とうごく]
imprisonment	捕らわれ [とらわれ]
imprisonment	留置 [りゅうち]
imprisonment	禁固 [きんこ]
imprisonment	禁獄 [きんごく]
imprisonment	禁錮 [きんこ]
impromptu	アンプロンプチュ
impromptu	偶成 [ぐうせい]
impromptu	即座 [そくざ]
impromptu	即興 [そっきょう]
improper	不似合い [ふにあい]
improper	不可 [ふか]
improper	不相応 [ふそうおう]
improper	不適切 [ふてきせつ]
improper	淫ら [みだら]
impropriety	不体裁 [ふていさい]
impropriety	不倫 [ふりん]
impropriety	不当 [ふとう]
impropriety	不正 [ふせい]
impropriety	不穏 [ふおん]
impropriety	不穏当 [ふおんとう]
impropriety	不義 [ふぎ]
impropriety	不道徳 [ふどうとく]
impropriety	不適 [ふてき]
impropriety	不適当 [ふてきとう]
impropriety	不都合 [ふつごう]
impropriety	失当 [しっとう]
improve	上がる [あがる]
improve	上る [あがる]
improve	快方に向かう [かいほうにむかう]
improve	快方に赴く [かいほうにおもむく]
improve	持ち直す [もちなおす]
improve	持直す [もちなおす]
improve	磨く [みがく]
improve	進む [すすむ]
improvement	上り調子 [のぼりちょうし]
improvement	上り調子 [のぼりぢょうし]
improvement	上達 [じょうたつ]
improvement	加筆 [かひつ]
improvement	向上 [こうじょう]
improvement	回復 [かいふく]
improvement	快復 [かいふく]
improvement	恢復 [かいふく]
improvement	推敲 [すいこう]
improvement	改修 [かいしゅう]
improvement	改善 [かいぜん]
improvement	改良 [かいりょう]
improvement	磨き [みがき]
improvement	補筆 [ほひつ]
improvement	進境 [しんきょう]
improvisation	インプロビゼーション
improvisation	インプロヴァイゼィション
improvisation	即興 [そっきょう]
imprudence	不心得 [ふこころえ]
imprudence	不所存 [ふしょぞん]
imprudence	不謹慎 [ふきんしん]
imprudence	心得違い [こころえちがい]
imprudence	抜け目 [ぬけめ]
imprudence	浅慮 [せんりょ]
imprudence	短慮 [たんりょ]
impudence	厚顔 [こうがん]
impudence	口幅ったい [くちはばったい]
impudence	小生意気 [こなまいき]
impudence	鉄面皮 [てつめんぴ]
impudent	ふてぶて
impudent	厚かましい [あつかましい]
impudent	図々しい [ずうずうしい]
impudent	図図しい [ずうずうしい]
impudent	小癪 [こしゃく]
impudent	洒落臭い [しゃらくくさい]
impudent	洒落臭い [しゃらくさい]
impudent	臆面もない [おくめんもない]
impulse	インパルス
impulse	勢 [はずみ]
impulse	衝動 [しょうどう]
impulsive	衝動的 [しょうどうてき]
impulsively	ふとした
impulsiveness	刹那主義 [せつなしゅぎ]
impulsiveness	直情 [ちょくじょう]
impure	不潔 [ふけつ]
impurity	不浄 [ふじょう]
impurity	不純 [ふじゅん]
impurity	夾雑物 [きょうざつぶつ]
impurity	汚れ [けがれ]
impurity	淫靡 [いんび]
impurity	混ざり物 [まざりもの]
impurity	混じり気 [まじりけ]
impurity	混じり物 [まじりもの]
impurity	穢れ [けがれ]
imputation	転嫁 [てんか]
in	における
in	に対する [にたいする]
in	に於いて [において]
in	イン
in	於 [お]
in	於いて [おいて]
in	於ける [おける]
in	裏に [うちに]
in-law	姻族 [いんぞく]
inability	不敏 [ふびん]
inability	無能力 [むのうりょく]
inaccuracy	不正確 [ふせいかく]
