repentance	改悟 [かいご]
repercussion	反響 [はんきょう]
repertoire	レパートリー
repertory	レパートリー
repetition	くり返し [くりかえし]
repetition	反復 [はんぷく]
repetition	反覆 [はんぷく]
repetition	復唱 [ふくしょう]
repetition	復誦 [ふくしょう]
repetition	折り返し [おりかえし]
repetition	繰り言 [くりごと]
repetition	繰り返し [くりかえし]
repetition	繰言 [くりごと]
repetition	重複 [じゅうふく]
repetition	重複 [ちょうふく]
repetitively	くどくど
replace	リプレース
replace	付け換える [つけかえる]
replace	付け替える [つけかえる]
replace	代える [かえる]
replace	代置 [だいち]
replace	入れ代える [いれかえる]
replace	入れ換える [いれかえる]
replace	入れ替える [いれかえる]
replace	切り換える [きりかえる]
replace	切り替える [きりかえる]
replace	取り換える [とりかえる]
replace	取り替える [とりかえる]
replace	取換る [とりかえる]
replace	差し換える [さしかえる]
replace	差し替える [さしかえる]
replace	挿し替える [さしかえる]
replace	掛け替える [かけかえる]
replace	換える [かえる]
replace	替える [かえる]
replace	置き換える [おきかえる]
replacement	付け替え [つけかえ]
replacement	入れ換え [いれかえ]
replacement	入れ替え [いれかえ]
replacement	入れ替わり [いれかわり]
replacement	切り換え [きりかえ]
replacement	切り替え [きりかえ]
replacement	切換 [きりかえ]
replacement	切替 [きりかえ]
replacement	切替 [せったい]
replacement	切替え [きりかえ]
replacement	差し替え [さしかえ]
replacement	後釜 [あとがま]
replacement	掛け替え [かけがえ]
replacement	新陳代謝 [しんちんたいしゃ]
replenish	充填 [じゅうてん]
replenishment	填補 [てんぽ]
replenishment	補い [おぎない]
replenishment	補充 [ほじゅう]
replenishment	補給 [ほきゅう]
replenishment	補綴 [ほてい]
replenishment	補綴 [ほてつ]
replica	レプリカ
replica	複製品 [ふくせいひん]
replicate	リプリケート
replication	リプリケーション
reply	リプライ
reply	受け答え [うけこたえ]
reply	回報 [かいほう]
reply	回答 [かいとう]
reply	復答 [ふくとう]
reply	応答 [おうとう]
reply	応酬 [おうしゅう]
reply	答える [こたえる]
reply	答弁 [とうべん]
reply	答申 [とうしん]
reply	返事 [へんじ]
reply	返信 [へんしん]
reply	返書 [へんしょ]
reply	返答 [へんとう]
reply	返辞 [へんじ]
report	リポート
report	レポ
report	レポート
report	会報 [かいほう]
report	伝える [つたえる]
report	伝聞 [でんぶん]
report	噂 [うわさ]
report	報じる [ほうじる]
report	報ずる [ほうずる]
report	報告 [ほうこく]
report	報道 [ほうどう]
report	届 [とどけ]
report	届け [とどけ]
report	届ける [とどける]
report	届け出 [とどけで]
report	届け出る [とどけでる]
report	届出 [とどけで]
report	帳票 [ちょうひょう]
report	特輯 [とくしゅう]
report	特集 [とくしゅう]
report	申し入れ [もうしいれ]
report	申し出 [もうしで]
report	申し出で [もうしいで]
report	申入 [もうしいれ]
report	申出 [もうしで]
report	申出で [もうしいで]
report	申告 [しんこく]
report	申告書 [しんこくしょ]
report	答申 [とうしん]
report	記事 [きじ]
report	通報 [つうほう]
report	風聞 [ふうぶん]
report	風評 [ふうひょう]
reportage	ルポ
reportage	ルポルタージュ
reportage	記録文学 [きろくぶんがく]
reporter	リポーター
reporter	レポーター
reporter	報告者 [ほうこくしゃ]
reporter	記者 [きしゃ]
reporting	復命 [ふくめい]
repose	休まる [やすまる]
repose	安息 [あんそく]
repose	憩う [いこう]
repose	静止 [せいし]
reposition	整復 [せいふく]
represent	形どる [かたどる]
represent	形取る [かたどる]
represent	象る [かたどる]
representation	代理 [だいり]
representation	代表 [だいひょう]
representation	表明 [ひょうめい]
representation	表記法 [ひょうきほう]
representative	代人 [だいにん]
representative	代理人 [だいりにん]
representative	代理者 [だいりしゃ]
representative	代表 [だいひょう]
representative	代表格 [だいひょうかく]
representative	代表的 [だいひょうてき]
representative	代表者 [だいひょうしゃ]
representative	代議員 [だいぎいん]
representative	典型的 [てんけいてき]
representative	出張員 [しゅっちょういん]
representative	名代 [みょうだい]
representative	総代 [そうだい]
repress	抑え付ける [おさえつける]
repress	押えつける [おさえつける]
repress	押える [おさえる]
repress	押え付ける [おさえつける]
repress	押さえる [おさえる]
repress	押さえ付ける [おさえつける]
repression	リプレッション
repression	制御 [せいぎょ]
repression	制禦 [せいぎょ]
repression	制馭 [せいぎょ]
repression	平定 [へいてい]
reprimand	叱咤 [しった]
reprimand	叱責 [しっせき]
reprimand	問責 [もんせき]
reprimand	懲戒 [ちょうかい]
reprimand	懲罰 [ちょうばつ]
reprimand	訓告 [くんこく]
reprimand	詰責 [きっせき]
reprimand	譴責 [けんせき]
reprimand	難詰 [なんきつ]
reprint	リプリント
reprint	再刊 [さいかん]
reprint	翻刻 [ほんこく]
reprisal	仕返し [しかえし]
reprisal	復仇 [ふくきゅう]
reprisal	復仇 [ふっきゅう]
reproach	怨み言 [うらみごと]
reproach	詰責 [きっせき]
reproachful	怨めしい [うらめしい]
reproachful	恨めしい [うらめしい]
reproachfully	恨めし気に [うらめしげに]
reproduce	写 [しゃ]
reproduce	写す [うつす]
reproduction	リプロタクション
reproduction	再現 [さいげん]
reproduction	再生産 [さいせいさん]
reproduction	摸写 [もしゃ]
