melon	真桑瓜 [まくわうり]
melt	メルト
melt	溶かす [とかす]
melt	溶ける [とける]
melt	熔ける [とける]
melt	融ける [とける]
melt	鎔ける [とける]
melting	冶 [や]
melting	氷解 [ひょうかい]
melting	溶化 [ようか]
melting	溶融 [ようゆう]
melting	熔融 [ようゆう]
melting	熔解 [ようかい]
melting	鎔解 [ようかい]
member	メンバ
member	メンバー
member	一員 [いちいん]
member	会員 [かいいん]
member	加入者 [かにゅうしゃ]
member	員 [いん]
member	成員 [せいいん]
member	正員 [せいいん]
member	部員 [ぶいん]
member	部財 [ぶざい]
member	顔ぶれ [かおぶれ]
member	顔触れ [かおぶれ]
membership	メンバシップ
membership	メンバーシップ
membrane	皮膜 [ひまく]
membrane	膜 [まく]
membranous	膜状 [まくじょう]
memento	形見 [かたみ]
memento	忘れ形見 [わすれがたみ]
memento	記念品 [きねんひん]
memento	記念物 [きねんぶつ]
memo	控え書き [ひかえがき]
memo	覚え書き [おぼえがき]
memo	覚書 [おぼえがき]
memorandum	メモ
memorandum	メモランダム
memorandum	備忘録 [びぼうろく]
memorandum	念書 [ねんしょ]
memorandum	手控え [てびかえ]
memorandum	手記 [しゅき]
memorandum	控え [ひかえ]
memorandum	覚書き [おぼえがき]
memorandum	通牒 [つうちょう]
memorial	建白 [けんぱく]
memorial	覚え書き [おぼえがき]
memorial	覚書 [おぼえがき]
memorial	追悼 [ついとう]
memorize	そらで覚える [そらでおぼえる]
memorize	憶える [おぼえる]
memorize	空で覚える [そらでおぼえる]
memorize	覚える [おぼえる]
memorize	諳んじる [そらんじる]
memory	メモリ
memory	メモリー
memory	名残 [なごり]
memory	名残り [なごり]
memory	心覚え [こころおぼえ]
memory	物覚え [ものおぼえ]
memory	脳 [のう]
memory	覚え [おぼえ]
memory	記念 [きねん]
memory	記憶 [きおく]
memory	記憶力 [きおくりょく]
memory	記憶装置 [きおくそうち]
men	人々 [にんにん]
men	人々 [ひとびと]
men	人人 [にんにん]
men	人人 [ひとびと]
men	殿方 [とのがた]
men	男衆 [おとこしゅう]
menace	威嚇 [いかく]
menace	威迫 [いはく]
menace	猛威 [もうい]
menace	脅す [おどす]
menace	脅喝 [きょうかつ]
menace	脅威 [きょうい]
menace	脅迫 [きょうはく]
mend	繕う [つくろう]
menial	下人 [げにん]
menial	下司 [げす]
menial	下郎 [げろう]
menial	卑屈 [ひくつ]
menial	召し使い [めしつかい]
menial	召使 [めしつかい]
menial	召使い [めしつかい]
meningitis	脳膜炎 [のうまくえん]
meningitis	髄膜炎 [ずいまくえん]
menopausal	閉経期 [へいけいき]
menopause	更年期 [こうねんき]
menopause	更生期 [こうせいき]
menopause	閉経 [へいけい]
menopause	閉経期 [へいけいき]
menses	メンス
menses	不浄 [ふじょう]
menses	月の障り [つきのさわり]
menses	生理 [せいり]
menstruation	月の物 [つきのもの]
menstruation	月事 [げつじ]
menstruation	月経 [げっけい]
mental	メンタル
mental	内的 [ないてき]
mental	心理的 [しんりてき]
mental	心的 [しんてき]
mental	精神的 [せいしんてき]
mentalism	唯心論 [ゆいしんろん]
mentality	メンタリティー
mentality	心情 [しんじょう]
mentality	心理 [しんり]
mentality	精神状態 [せいしんじょうたい]
menthol	メンソール
menthol	メントール
mention	上げる [あげる]
mention	乗せる [のせる]
mention	記載 [きさい]
mention	説き及ぶ [ときおよぶ]
mention	論及 [ろんきゅう]
mention	載せる [のせる]
mention	述べる [のべる]
menu	メニュー
menu	品書き [しながき]
menu	献立 [こんだて]
meow	にゃあ
meow	にゃお
mercantilism	マーカンヒリズム
mercantilism	重商主義 [じゅうしょうしゅぎ]
mercenary	勘定高い [かんじょうだかい]
mercenary	打算的 [ださんてき]
mercenary	現金 [げんきん]
merchandise	商品 [しょうひん]
merchandiser	マーチャンダイザー
merchant	マーチャント
merchant	商人 [あきうど]
merchant	商人 [あきびと]
merchant	商人 [あきゅうど]
merchant	商人 [あきんど]
merchant	商人 [しょうにん]
merchant	商売人 [しょうばいにん]
merchant	商家 [しょうか]
merchant	市人 [しじん]
merchant	業者 [ぎょうしゃ]
merchant	町人 [ちょうにん]
merciless	惨い [むごい]
merciless	無慈悲 [むじひ]
mercury	水銀 [すいぎん]
mercy	仁恵 [じんけい]
mercy	容赦 [ようしゃ]
mercy	情け容赦 [なさけようしゃ]
mercy	慈心 [じしん]
mercy	慈悲 [じひ]
mercy	憐愍 [れんびん]
mercy	憐憫 [れんびん]
mere	一介 [いっかい]
mere	単なる [たんなる]
mere	只 [ただ]
mere	唯 [ただ]
mere	本の [ほんの]
merely	たった
merely	ぽっきり
merely	メアリ
merely	僅々 [きんきん]
merely	僅か [わずか]
merely	僅僅 [きんきん]
merely	単に [たんに]
merely	啻に [ただに]
merely	許り [ばかり]
merge	マージ
merge	併合 [へいごう]
merge	合流 [ごうりゅう]
merger	企業合併 [きぎょうがっぺい]
merger	併呑 [へいどん]
merger	合併 [がっぺい]
merger	合併 [ごうへい]
merger	吸収合併 [きゅうしゅうがっぺい]
merger	大同団結 [だいどうだんけつ]
merger	并合 [へいごう]
merger	并呑 [へいどん]
merger	混同 [こんどう]
meridian	経線 [けいせん]
meringue	メレンゲ
merit	メリット
merit	一得 [いっとく]
merit	価 [あたい]
merit	価する [あたいする]
merit	価値 [かち]
merit	値 [あたい]
merit	値 [ね]
merit	値する [あたいする]
merit	功績 [こうせき]
merit	取り得 [とりえ]
merit	取り所 [とりどころ]
merit	取り柄 [とりえ]
merit	取得 [とりえ]
merit	取柄 [とりえ]
merit	実力 [じつりょく]
merit	有功 [ゆうこう]
merit	特長 [とくちょう]
