wisdom	開悟 [かいご]
wise	ワイズ
wise	俐巧 [りこう]
wise	利口 [りこう]
wise	悧巧 [りこう]
wise	旨い [うまい]
wise	甘い [うまい]
wise	美味い [うまい]
wise	英明 [えいめい]
wise	賢い [かしこい]
wisecrack	寸言 [すんげん]
wish	希望 [きぼう]
wish	幸 [さち]
wish	志望 [しぼう]
wish	思い [おもい]
wish	想い [おもい]
wish	所望 [しょもう]
wish	所願 [しょがん]
wish	望み [のぞみ]
wish	欲念 [よくねん]
wish	祈る [いのる]
wish	願 [がん]
wish	願い [ねがい]
wish	願い事 [ねがいごと]
wish	願う [ねがう]
wish	願事 [ねがいごと]
wish	願望 [がんぼう]
wish	願望 [がんもう]
wishful	希望的 [きぼうてき]
wisteria	藤 [ふじ]
wit	ウィット
wit	ウイット
wit	機智 [きち]
wit	機知 [きち]
wit	知恵 [ちえ]
witch	鬼女 [きじょ]
witch	鬼婆 [おにばば]
witch	魔女 [まじょ]
witch	魔法使い [まほうつかい]
witchcraft	妖術 [ようじゅつ]
witchcraft	巫術 [ふじゅつ]
witchcraft	幻術 [げんじゅつ]
witchcraft	魔法 [まほう]
with	共 [きょう]
with	共 [とも]
with	共に [ともに]
withdraw	取り下げる [とりさげる]
withdraw	引き上げる [ひきあげる]
withdraw	引き下がる [ひきさがる]
withdraw	引き下げる [ひきさげる]
withdraw	引き出す [ひきだす]
withdraw	引き去る [ひきさる]
withdraw	引き揚げる [ひきあげる]
withdraw	引上げる [ひきあげる]
withdraw	引下げる [ひきさげる]
withdraw	引出す [ひきだす]
withdraw	斥く [しりぞく]
withdraw	立ち退く [たちのく]
withdraw	罷り出る [まかりでる]
withdraw	退く [しりぞく]
withdraw	退く [どく]
withdraw	退く [のく]
withdraw	退く [ひく]
withdrawal	取り下げ [とりさげ]
withdrawal	取下げ [とりさげ]
withdrawal	撤去 [てっきょ]
withdrawal	撤収 [てっしゅう]
withdrawal	撤回 [てっかい]
withdrawal	撤退 [てったい]
withdrawal	退出 [たいしゅつ]
withdrawal	退却 [たいきゃく]
withdrawal	退陣 [たいじん]
withdrawal	離脱 [りだつ]
withdrawal	願い下げ [ねがいさげ]
withdrawn	引っ込み思案 [ひっこみじあん]
wither	凋む [しぼむ]
wither	枯れる [かれる]
wither	萎える [なえる]
wither	萎む [しぼむ]
wither	萎れる [しおれる]
wither	衰える [おとろえる]
within	以内 [いない]
without	でないと
without	でなければ
without	ならでは
without	亡しで [なしで]
without	亡しに [なしに]
without	無し [なし]
withstand	堪える [たえる]
withstand	耐える [たえる]
witness	引き合い [ひきあい]
witness	引合 [ひきあい]
witness	引合い [ひきあい]
witness	目撃者 [もくげきしゃ]
witness	立会人 [たちあいにん]
witness	証人 [しょうにん]
witness	証左 [しょうさ]
witticism	洒落 [しゃれ]
witty	乙 [おつ]
witty	味な [あじな]
witty	奇警 [きけい]
witty	軽妙 [けいみょう]
witty	軽妙洒脱 [けいみょうしゃだつ]
wizard	ウィザード
wizard	ウイザード
wizard	ヴィザード
wizard	仙 [せん]
wizard	仙人 [せんにん]
wizard	鬼才 [きさい]
wizard	魔法使い [まほうつかい]
wizardry	仙術 [せんじゅつ]
wolf	ウルフ
wolf	狼 [おおかみ]
woman	ウーマン
woman	一女 [いちじょ]
woman	女 [おんな]
woman	女 [じょ]
woman	女の人 [おんなのひと]
woman	女子 [おなご]
woman	女子 [じょし]
woman	女性 [じょせい]
woman	婦人 [ふじん]
woman	婦女 [ふじょ]
