interpretive	インタプリティブ
interrelation	相関 [そうかん]
interrelationship	交絡 [こうらく]
interrelationship	相互関係 [そうごかんけい]
interrogation	審問 [しんもん]
interrogation	訊問 [じんもん]
interrogator	質問者 [しつもんしゃ]
interrogatory	尋問調書 [じんもんちょうしょ]
interrupt	インタラプト
interrupt	インターラプト
interrupt	割り込む [わりこむ]
interrupt	割込む [わりこむ]
interrupt	遮る [さえぎる]
interruption	不通 [ふつう]
interruption	中断 [ちゅうだん]
interruption	中止 [ちゅうし]
interruption	中絶 [ちゅうぜつ]
interruption	仲断 [ちゅうだん]
interruption	停止 [ていし]
interruption	切れ目 [きれめ]
interruption	切目 [きれめ]
interruption	割り込み [わりこみ]
interruption	割込み [わりこみ]
interruption	断線 [だんせん]
interruption	杜絶 [とぜつ]
interruption	横槍 [よこやり]
interruption	途絶 [とぜつ]
intersect	交わる [まじわる]
intersection	交わり [まじわり]
intersection	交叉 [こうさ]
intersection	交叉点 [こうさてん]
intersection	交差点 [こうさてん]
intersection	四つ辻 [よつつじ]
intersection	筋違い [すじちかい]
intersection	筋違い [すじちがい]
interval	インタバル
interval	インターバル
interval	切れ間 [きれま]
interval	合間 [あいま]
interval	絶え間 [たえま]
interval	間 [あいだ]
interval	間合い [まあい]
interval	間隔 [かんかく]
interval	隔たり [へだたり]
intervene	取り成す [とりなす]
intervene	執り成す [とりなす]
intervening	間にある [あいだにある]
intervention	介入 [かいにゅう]
intervention	介在 [かいざい]
intervention	内政干渉 [ないせいかんしょう]
intervention	干渉 [かんしょう]
interview	インタビュ
interview	インタビュウ
interview	インタビュー
interview	インタヴュー
interview	会う [あう]
interview	会見 [かいけん]
interview	会談 [かいだん]
interview	口答試問 [こうとうしもん]
interview	口頭試問 [こうとうしもん]
interview	対面 [たいめん]
interview	引接 [いんせつ]
interview	引見 [いんけん]
interview	往訪 [おうほう]
interview	接見 [せっけん]
interview	来談 [らいだん]
interview	目見え [めみえ]
interview	試問 [しもん]
interview	面会 [めんかい]
interview	面接 [めんせつ]
interview	面接試験 [めんせつしけん]
interview	面談 [めんだん]
interviewer	インタビュアー
interviewer	インタヴュアー
interviewer	会見者 [かいけんしゃ]
interweave	織り成す [おりなす]
intimacy	交情 [こうじょう]
intimacy	信愛 [しんあい]
intimacy	別懇 [べっこん]
intimacy	情交 [じょうこう]
intimacy	慇懃 [いんぎん]
intimacy	懇意 [こんい]
intimacy	懇親 [こんしん]
intimacy	昵懇 [じっこん]
intimacy	深間 [ふかま]
intimacy	親しみ [したしみ]
intimacy	親交 [しんこう]
intimacy	親密 [しんみつ]
intimacy	誼 [ぎ]
intimacy	誼 [よしみ]
intimacy	誼み [よしみ]
intimacy	馴染 [なじ]
intimacy	馴染み [なじみ]
intimate	仄めかす [ほのめかす]
